trueR , trueI
-0.294651 , -0.186998
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI
5461 , 4163 , 54610 , 20006 , -0.295229 , -0.186703 , 0.000000 , 0.000000
10922 , 7591 , 109220 , 40208 , -0.298835 , -0.188705 , 0.000018 , 0.000003
16383 , 10925 , 163830 , 60251 , -0.297627 , -0.188084 , 0.000009 , 0.000001
21844 , 14270 , 218440 , 80164 , -0.296609 , -0.187299 , 0.000004 , 0.000000
27305 , 19108 , 273050 , 100444 , -0.298034 , -0.188406 , 0.000011 , 0.000002
32766 , 22424 , 327660 , 120395 , -0.296212 , -0.187376 , 0.000002 , 0.000000
38227 , 25767 , 382270 , 140333 , -0.294973 , -0.186754 , 0.000000 , 0.000000
43688 , 29098 , 436880 , 160785 , -0.296702 , -0.187907 , 0.000004 , 0.000001
49149 , 32430 , 491490 , 180952 , -0.296138 , -0.188280 , 0.000002 , 0.000002
54610 , 35754 , 546100 , 201075 , -0.296356 , -0.188332 , 0.000003 , 0.000002
60071 , 39101 , 600710 , 221174 , -0.296400 , -0.188360 , 0.000003 , 0.000002
65532 , 42421 , 655320 , 241223 , -0.296486 , -0.188279 , 0.000003 , 0.000002
70993 , 45780 , 709930 , 261321 , -0.296418 , -0.188096 , 0.000003 , 0.000001
76454 , 49103 , 764540 , 281272 , -0.295756 , -0.187817 , 0.000001 , 0.000001
81915 , 52449 , 819150 , 301237 , -0.295433 , -0.187589 , 0.000001 , 0.000000
87376 , 55773 , 873760 , 321278 , -0.295079 , -0.187371 , 0.000000 , 0.000000
92837 , 59105 , 928370 , 341405 , -0.295281 , -0.187408 , 0.000000 , 0.000000
98298 , 62419 , 982980 , 361651 , -0.295519 , -0.187681 , 0.000001 , 0.000000
103759 , 65760 , 1037590 , 381534 , -0.295313 , -0.187452 , 0.000000 , 0.000000
109220 , 69059 , 1092200 , 401410 , -0.294966 , -0.187199 , 0.000000 , 0.000000
114681 , 72393 , 1146810 , 421620 , -0.295289 , -0.187338 , 0.000000 , 0.000000
120142 , 75721 , 1201420 , 442143 , -0.295791 , -0.187794 , 0.000001 , 0.000001
125603 , 79056 , 1256030 , 462258 , -0.295887 , -0.187831 , 0.000002 , 0.000001
131064 , 82375 , 1310640 , 482401 , -0.296034 , -0.187858 , 0.000002 , 0.000001
136525 , 85728 , 1365250 , 502263 , -0.295869 , -0.187756 , 0.000001 , 0.000001
141986 , 89051 , 1419860 , 522210 , -0.295788 , -0.187596 , 0.000001 , 0.000000
147447 , 92398 , 1474470 , 542230 , -0.295582 , -0.187537 , 0.000001 , 0.000000
152908 , 95703 , 1529080 , 562252 , -0.295484 , -0.187505 , 0.000001 , 0.000000
158369 , 99044 , 1583690 , 582275 , -0.295379 , -0.187448 , 0.000001 , 0.000000
163830 , 102365 , 1638300 , 602231 , -0.295025 , -0.187266 , 0.000000 , 0.000000
169291 , 105711 , 1692910 , 622307 , -0.294995 , -0.187207 , 0.000000 , 0.000000
174752 , 109020 , 1747520 , 642241 , -0.295011 , -0.187190 , 0.000000 , 0.000000
180213 , 112368 , 1802130 , 662369 , -0.295121 , -0.187230 , 0.000000 , 0.000000
185674 , 115707 , 1856740 , 682379 , -0.295042 , -0.187239 , 0.000000 , 0.000000
191135 , 119059 , 1911350 , 702333 , -0.294974 , -0.187200 , 0.000000 , 0.000000
196596 , 122372 , 1965960 , 722454 , -0.294988 , -0.187261 , 0.000000 , 0.000000
202057 , 125722 , 2020570 , 742575 , -0.295074 , -0.187276 , 0.000000 , 0.000000
207518 , 129030 , 2075180 , 762579 , -0.294987 , -0.187192 , 0.000000 , 0.000000
212979 , 132372 , 2129790 , 782567 , -0.294872 , -0.187130 , 0.000000 , 0.000000
218440 , 135686 , 2184400 , 802468 , -0.294714 , -0.187016 , 0.000000 , 0.000000
223901 , 138782 , 2239010 , 822401 , -0.294580 , -0.186973 , 0.000000 , 0.000000
229362 , 142100 , 2293620 , 842522 , -0.294603 , -0.187003 , 0.000000 , 0.000000
234823 , 145441 , 2348230 , 862542 , -0.294531 , -0.186954 , 0.000000 , 0.000000
240284 , 148756 , 2402840 , 882372 , -0.294413 , -0.186813 , 0.000000 , 0.000000
245745 , 152096 , 2457450 , 902432 , -0.294485 , -0.186814 , 0.000000 , 0.000000
251206 , 155414 , 2512060 , 922552 , -0.294569 , -0.186862 , 0.000000 , 0.000000
256667 , 158726 , 2566670 , 942419 , -0.294401 , -0.186759 , 0.000000 , 0.000000
262128 , 162039 , 2621280 , 962617 , -0.294501 , -0.186814 , 0.000000 , 0.000000
267589 , 163889 , 2675890 , 982552 , -0.294458 , -0.186781 , 0.000000 , 0.000000
273050 , 167186 , 2730500 , 1002684 , -0.294535 , -0.186832 , 0.000000 , 0.000000
278511 , 170515 , 2785110 , 1022877 , -0.294594 , -0.186848 , 0.000000 , 0.000000
283972 , 173858 , 2839720 , 1043050 , -0.294720 , -0.186910 , 0.000000 , 0.000000
289433 , 177192 , 2894330 , 1063098 , -0.294752 , -0.186905 , 0.000000 , 0.000000
294894 , 180523 , 2948940 , 1083062 , -0.294696 , -0.186838 , 0.000000 , 0.000000
300355 , 183870 , 3003550 , 1103236 , -0.294797 , -0.186872 , 0.000000 , 0.000000
305816 , 187178 , 3058160 , 1123289 , -0.294827 , -0.186871 , 0.000000 , 0.000000
311277 , 190511 , 3112770 , 1143168 , -0.294661 , -0.186762 , 0.000000 , 0.000000
316738 , 193821 , 3167380 , 1163286 , -0.294733 , -0.186786 , 0.000000 , 0.000000
322199 , 197162 , 3221990 , 1183433 , -0.294826 , -0.186863 , 0.000000 , 0.000000
327660 , 200487 , 3276600 , 1203478 , -0.294777 , -0.186856 , 0.000000 , 0.000000
333121 , 203830 , 3331210 , 1223362 , -0.294703 , -0.186809 , 0.000000 , 0.000000
338582 , 207136 , 3385820 , 1243367 , -0.294702 , -0.186813 , 0.000000 , 0.000000
344043 , 210470 , 3440430 , 1263051 , -0.294520 , -0.186677 , 0.000000 , 0.000000
349504 , 213783 , 3495040 , 1283237 , -0.294516 , -0.186719 , 0.000000 , 0.000000
354965 , 217121 , 3549650 , 1303267 , -0.294466 , -0.186714 , 0.000000 , 0.000000
360426 , 220420 , 3604260 , 1322880 , -0.294181 , -0.186563 , 0.000000 , 0.000000
365887 , 223755 , 3658870 , 1342840 , -0.294210 , -0.186566 , 0.000000 , 0.000000
371348 , 227068 , 3713480 , 1363074 , -0.294334 , -0.186670 , 0.000000 , 0.000000
376809 , 230403 , 3768090 , 1383147 , -0.294347 , -0.186688 , 0.000000 , 0.000000
382270 , 233714 , 3822700 , 1403234 , -0.294393 , -0.186716 , 0.000000 , 0.000000
387731 , 237059 , 3877310 , 1423389 , -0.294475 , -0.186776 , 0.000000 , 0.000000
