trueR,trueI
-2.946506e-01,-1.869979e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,17640,163840,60311,-2.561334e-01,-1.824748e-01,1.483578e-03,2.045855e-05
32768,18289,327680,120319,-2.792222e-01,-1.850091e-01,2.380372e-04,3.955319e-06
49152,18296,491520,180446,-2.788348e-01,-1.870837e-01,2.501403e-04,7.364349e-09
65536,18310,655360,240816,-2.855688e-01,-1.850284e-01,8.247983e-05,3.878994e-06
81920,18310,819200,301257,-2.892378e-01,-1.856800e-01,2.929859e-05,1.736909e-06
98304,18309,983040,361502,-2.930089e-01,-1.859542e-01,2.695246e-06,1.089200e-06
114688,18313,1146880,421894,-2.908667e-01,-1.859140e-01,1.431776e-05,1.174862e-06
131072,18315,1310720,482557,-2.928317e-01,-1.868274e-01,3.308597e-06,2.906486e-08
147456,18330,1474560,542539,-2.930430e-01,-1.869988e-01,2.584464e-06,8.262280e-13
163840,18334,1638400,602728,-2.948261e-01,-1.873844e-01,3.081277e-08,1.494217e-07
180224,18333,1802240,662858,-2.935568e-01,-1.870372e-01,1.196344e-06,1.544047e-09
196608,18344,1966080,723177,-2.931971e-01,-1.872655e-01,2.112630e-06,7.164699e-08
212992,18348,2129920,783156,-2.937560e-01,-1.873800e-01,8.002668e-07,1.459970e-07
229376,18356,2293760,843409,-2.946646e-01,-1.874370e-01,1.945324e-10,1.928284e-07
245760,18358,2457600,903304,-2.952195e-01,-1.873899e-01,3.236433e-07,1.536912e-07
262144,18372,2621440,963399,-2.949743e-01,-1.873845e-01,1.047514e-07,1.494908e-07
278528,18434,2785280,1023413,-2.968583e-01,-1.877730e-01,4.874055e-06,6.007782e-07
294912,18439,2949120,1083629,-2.969213e-01,-1.877019e-01,5.155936e-06,4.956655e-07
311296,18445,3112960,1143293,-2.953618e-01,-1.870900e-01,5.057668e-07,8.485906e-09
327680,18445,3276800,1203538,-2.951697e-01,-1.870544e-01,2.694925e-07,3.192838e-09
344064,18447,3440640,1263626,-2.944742e-01,-1.871076e-01,3.112746e-08,1.204114e-08
360448,18450,3604480,1323682,-2.949700e-01,-1.869735e-01,1.019919e-07,5.957554e-10
376832,18451,3768320,1383533,-2.947045e-01,-1.869465e-01,2.906547e-09,2.635231e-09
393216,18459,3932160,1443282,-2.949277e-01,-1.868965e-01,7.675249e-08,1.027338e-08
409600,18459,4096000,1503363,-2.949819e-01,-1.871576e-01,1.097284e-07,2.551701e-08
425984,18462,4259840,1563636,-2.947335e-01,-1.871394e-01,6.869137e-09,2.003531e-08
442368,18464,4423680,1624063,-2.946263e-01,-1.874109e-01,5.899503e-10,1.706064e-07
458752,18465,4587520,1684419,-2.952829e-01,-1.876779e-01,3.998234e-07,4.624197e-07
475136,18465,4751360,1744483,-2.955405e-01,-1.877369e-01,7.918642e-07,5.462212e-07
491520,18467,4915200,1804735,-2.961797e-01,-1.878768e-01,2.337957e-06,7.724919e-07
507904,18471,5079040,1865036,-2.966598e-01,-1.881141e-01,4.036937e-06,1.246038e-06
524288,18475,5242880,1925166,-2.965367e-01,-1.881316e-01,3.557259e-06,1.285400e-06
540672,18478,5406720,1985300,-2.965225e-01,-1.880606e-01,3.503838e-06,1.129344e-06
557056,18480,5570560,2045287,-2.967123e-01,-1.881115e-01,4.250463e-06,1.240057e-06
573440,18479,5734400,2105725,-2.967475e-01,-1.881410e-01,4.396828e-06,1.306741e-06
589824,18482,5898240,2165883,-2.969073e-01,-1.881521e-01,5.092656e-06,1.332348e-06
606208,18482,6062080,2226056,-2.971393e-01,-1.882489e-01,6.193640e-06,1.565106e-06
