trueR,trueI
-2.946506e-01,-1.869979e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,12193,163840,59940,-3.147290e-01,-1.860721e-01,4.031430e-04,8.569846e-07
32768,12222,327680,119724,-3.079014e-01,-1.845046e-01,1.755829e-04,6.216431e-06
49152,12232,491520,179791,-3.047493e-01,-1.861038e-01,1.019837e-04,7.993339e-07
65536,12244,655360,239666,-3.019626e-01,-1.855914e-01,5.346534e-05,1.978300e-06
81920,12249,819200,299999,-3.013694e-01,-1.854156e-01,4.514167e-05,2.503609e-06
98304,12276,983040,360330,-3.023923e-01,-1.866923e-01,5.993330e-05,9.336888e-08
114688,12277,1146880,420496,-3.027339e-01,-1.872865e-01,6.533948e-05,8.331045e-08
131072,12279,1310720,480546,-3.019457e-01,-1.867397e-01,5.321851e-05,6.664794e-08
147456,12282,1474560,540964,-3.015481e-01,-1.871699e-01,4.757563e-05,2.958028e-08
163840,12282,1638400,600643,-3.004469e-01,-1.866369e-01,3.359690e-05,1.303178e-07
180224,12283,1802240,660872,-3.020589e-01,-1.868541e-01,5.488234e-05,2.066878e-08
196608,12291,1966080,721030,-3.012824e-01,-1.868734e-01,4.398066e-05,1.549634e-08
212992,12296,2129920,781169,-3.014455e-01,-1.869438e-01,4.617107e-05,2.922636e-09
229376,12295,2293760,841127,-3.013455e-01,-1.869034e-01,4.482146e-05,8.925216e-09
245760,12295,2457600,901414,-3.016506e-01,-1.870326e-01,4.899957e-05,1.202356e-09
262144,12309,2621440,961473,-3.010285e-01,-1.873794e-01,4.067806e-05,1.455305e-07
278528,12311,2785280,1021966,-3.014390e-01,-1.877293e-01,4.608160e-05,5.349368e-07
294912,12314,2949120,1081851,-3.008569e-01,-1.873810e-01,3.851747e-05,1.468067e-07
311296,12315,3112960,1141872,-2.991111e-01,-1.871881e-01,1.989592e-05,3.616977e-08
327680,12317,3276800,1201670,-2.981634e-01,-1.865250e-01,1.233955e-05,2.235952e-07
344064,12316,3440640,1261600,-2.977036e-01,-1.862966e-01,9.320867e-06,4.917288e-07
360448,12318,3604480,1321669,-2.979103e-01,-1.863520e-01,1.062538e-05,4.171172e-07
376832,12321,3768320,1381422,-2.978346e-01,-1.859942e-01,1.013761e-05,1.007289e-06
393216,12323,3932160,1441724,-2.982720e-01,-1.862477e-01,1.311453e-05,5.627090e-07
409600,12333,4096000,1501729,-2.982597e-01,-1.863823e-01,1.302554e-05,3.789777e-07
425984,12335,4259840,1561920,-2.977254e-01,-1.859906e-01,9.454365e-06,1.014630e-06
442368,12367,4423680,1621987,-2.972597e-01,-1.858240e-01,6.807112e-06,1.377933e-06
458752,12375,4587520,1681750,-2.966755e-01,-1.852638e-01,4.100055e-06,3.006975e-06
475136,12378,4751360,1741867,-2.963890e-01,-1.852264e-01,3.022032e-06,3.138246e-06
491520,12384,4915200,1802340,-2.960812e-01,-1.855374e-01,2.046534e-06,2.133082e-06
507904,12385,5079040,1862831,-2.960645e-01,-1.858500e-01,1.998977e-06,1.317563e-06
524288,12386,5242880,1922886,-2.959439e-01,-1.859151e-01,1.672552e-06,1.172505e-06
540672,12392,5406720,1983245,-2.953922e-01,-1.858214e-01,5.499720e-07,1.384202e-06
557056,12394,5570560,2042995,-2.948903e-01,-1.855910e-01,5.745613e-08,1.979223e-06
573440,12399,5734400,2102707,-2.948909e-01,-1.855190e-01,5.771359e-08,2.187220e-06
589824,12402,5898240,2162977,-2.954766e-01,-1.857426e-01,6.822779e-07,1.575675e-06
606208,12406,6062080,2223328,-2.956176e-01,-1.857800e-01,9.350235e-07,1.483212e-06
622592,12407,6225920,2283381,-2.962299e-01,-1.858641e-01,2.494234e-06,1.285501e-06
638976,12409,6389760,2343892,-2.965226e-01,-1.860351e-01,3.504396e-06,9.270294e-07
655360,12414,6553600,2404189,-2.966475e-01,-1.861702e-01,3.987628e-06,6.850871e-07
671744,12415,6717440,2464312,-2.968627e-01,-1.859878e-01,4.893286e-06,1.020192e-06
688128,12420,6881280,2524679,-2.970218e-01,-1.860814e-01,5.622551e-06,8.399921e-07
704512,12418,7045120,2584965,-2.966906e-01,-1.859993e-01,4.161473e-06,9.970855e-07
720896,12420,7208960,2644695,-2.962919e-01,-1.859719e-01,2.693876e-06,1.052716e-06
737280,12420,7372800,2704846,-2.964295e-01,-1.860193e-01,3.164381e-06,9.575491e-07
753664,12422,7536640,2765214,-2.962835e-01,-1.862366e-01,2.666262e-06,5.795328e-07
770048,12422,7700480,2825332,-2.959928e-01,-1.862028e-01,1.801440e-06,6.321068e-07
786432,12424,7864320,2885283,-2.955655e-01,-1.862256e-01,8.370448e-07,5.964203e-07
802816,12424,8028160,2945864,-2.958882e-01,-1.864233e-01,1.531509e-06,3.301523e-07
819200,12431,8192000,3005529,-2.958771e-01,-1.863714e-01,1.504192e-06,3.924331e-07
835584,12434,8355840,3065862,-2.962072e-01,-1.865279e-01,2.423112e-06,2.209117e-07
851968,12441,8519680,3126243,-2.962092e-01,-1.865223e-01,2.429054e-06,2.261390e-07
868352,12442,8683520,3186384,-2.958878e-01,-1.864315e-01,1.530698e-06,3.208181e-07
884736,12454,8847360,3246197,-2.957641e-01,-1.863604e-01,1.239892e-06,4.063511e-07
901120,12473,9011200,3306497,-2.960137e-01,-1.864868e-01,1.857957e-06,2.612028e-07
917504,12510,9175040,3366210,-2.958140e-01,-1.864042e-01,1.353415e-06,3.524349e-07
933888,12529,9338880,3426078,-2.958662e-01,-1.864224e-01,1.477628e-06,3.311805e-07
950272,12535,9502720,3486411,-2.956596e-01,-1.863236e-01,1.018116e-06,4.547105e-07
966656,12547,9666560,3546415,-2.950578e-01,-1.862870e-01,1.658273e-07,5.053853e-07
983040,12550,9830400,3606586,-2.949471e-01,-1.863001e-01,8.787887e-08,4.868715e-07
999424,12561,9994240,3666731,-2.948926e-01,-1.863194e-01,5.856151e-08,4.602942e-07
1015808,12564,10158080,3726773,-2.950849e-01,-1.863301e-01,1.885728e-07,4.458912e-07
1032192,12768,10321920,3787037,-2.948554e-01,-1.863322e-01,4.191927e-08,4.431888e-07
1048576,12773,10485760,3847381,-2.949385e-01,-1.863812e-01,8.286374e-08,3.803366e-07
1064960,17115,10649600,3907340,-2.948869e-01,-1.863536e-01,5.582484e-08,4.150603e-07
1081344,17147,10813440,3967422,-2.948531e-01,-1.863320e-01,4.098486e-08,4.434269e-07
1097728,17156,10977280,4027440,-2.948621e-01,-1.862795e-01,4.472264e-08,5.160127e-07
1114112,17173,11141120,4087707,-2.950611e-01,-1.862879e-01,1.684590e-07,5.041361e-07
1130496,17186,11304960,4148103,-2.949877e-01,-1.862635e-01,1.136123e-07,5.392613e-07
1146880,17203,11468800,4207909,-2.948350e-01,-1.861766e-01,3.399855e-08,6.745457e-07
1163264,17204,11632640,4267907,-2.941217e-01,-1.857506e-01,2.797686e-07,1.555576e-06
1179648,17206,11796480,4328000,-2.942216e-01,-1.857902e-01,1.840960e-07,1.458454e-06
1196032,17208,11960320,4388190,-2.942848e-01,-1.858337e-01,1.338050e-07,1.355253e-06
1212416,17212,12124160,4448672,-2.944104e-01,-1.858840e-01,5.769927e-08,1.240788e-06
1228800,17218,12288000,4508532,-2.942070e-01,-1.857862e-01,1.967877e-07,1.468188e-06
1245184,17227,12451840,4568329,-2.941757e-01,-1.857340e-01,2.255300e-07,1.597485e-06
1261568,17229,12615680,4628775,-2.942766e-01,-1.857838e-01,1.399126e-07,1.474007e-06
1277952,17233,12779520,4688806,-2.939574e-01,-1.857840e-01,4.805703e-07,1.473573e-06
1294336,17238,12943360,4748726,-2.937798e-01,-1.858187e-01,7.583342e-07,1.390380e-06
1310720,17239,13107200,4809313,-2.941053e-01,-1.859452e-01,2.973771e-07,1.108224e-06
1327104,17241,13271040,4869518,-2.938671e-01,-1.859430e-01,6.138304e-07,1.112810e-06
1343488,17242,13434880,4929690,-2.938717e-01,-1.859588e-01,6.067527e-07,1.079734e-06
1359872,17243,13598720,4989975,-2.938695e-01,-1.859747e-01,6.101001e-07,1.046884e-06
1376256,17245,13762560,5049984,-2.938353e-01,-1.859348e-01,6.647662e-07,1.130073e-06
1392640,17245,13926400,5111052,-2.938335e-01,-1.860854e-01,6.677339e-07,8.325518e-07
1409024,17249,14090240,5171457,-2.941609e-01,-1.861783e-01,2.397884e-07,6.716605e-07
1425408,17250,14254080,5231618,-2.941734e-01,-1.861700e-01,2.277717e-07,6.853091e-07
1441792,17260,14417920,5291784,-2.942931e-01,-1.862110e-01,1.278338e-07,6.191421e-07
1458176,17262,14581760,5351928,-2.942659e-01,-1.862232e-01,1.480081e-07,6.000853e-07
1474560,17268,14745600,5412458,-2.944173e-01,-1.863032e-01,5.442543e-08,4.826386e-07
1490944,17294,14909440,5472621,-2.943850e-01,-1.862894e-01,7.055829e-08,5.019589e-07
1507328,17301,15073280,5532824,-2.944969e-01,-1.863264e-01,2.362079e-08,4.508402e-07
1523712,17308,15237120,5592831,-2.944292e-01,-1.862904e-01,4.904500e-08,5.004820e-07
1540096,17311,15400960,5652758,-2.944220e-01,-1.861490e-01,5.225056e-08,7.205878e-07
1556480,17313,15564800,5713138,-2.944370e-01,-1.861680e-01,4.562207e-08,6.886685e-07
1572864,17317,15728640,5773219,-2.943026e-01,-1.861885e-01,1.210845e-07,6.551063e-07
1589248,17318,15892480,5833657,-2.942972e-01,-1.862307e-01,1.249098e-07,5.885062e-07
1605632,17322,16056320,5894007,-2.943831e-01,-1.862991e-01,7.155927e-08,4.883074e-07
1622016,17328,16220160,5954120,-2.943718e-01,-1.863363e-01,7.776308e-08,4.377101e-07
1638400,17330,16384000,6014433,-2.944048e-01,-1.863942e-01,6.042234e-08,3.644245e-07
1654784,17331,16547840,6074962,-2.945064e-01,-1.863480e-01,2.079751e-08,4.223690e-07
1671168,17337,16711680,6134995,-2.944811e-01,-1.863135e-01,2.872544e-08,4.683359e-07
1687552,17337,16875520,6195027,-2.944671e-01,-1.863189e-01,3.369152e-08,4.609415e-07
1703936,17338,17039360,6255078,-2.944084e-01,-1.863183e-01,5.866252e-08,4.618524e-07
1720320,17341,17203200,6315634,-2.946052e-01,-1.864158e-01,2.062862e-09,3.388218e-07
1736704,17348,17367040,6376082,-2.943766e-01,-1.863976e-01,7.509373e-08,3.603520e-07
1753088,17349,17530880,6436038,-2.942943e-01,-1.863530e-01,1.269403e-07,4.158286e-07
