trueR , trueI
-0.294651 , -0.186998
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 1024 , -0.346588 , -0.185531, 0.002697, 0.000002
2048 , 2048 , -0.336845 , -0.190731, 0.001780, 0.000014
3072 , 3072 , -0.345572 , -0.192673, 0.002593, 0.000032
4096 , 4096 , -0.332561 , -0.193726, 0.001437, 0.000045
5120 , 5120 , -0.325834 , -0.190387, 0.000972, 0.000011
6144 , 6144 , -0.321740 , -0.188424, 0.000734, 0.000002
7168 , 7168 , -0.322171 , -0.189271, 0.000757, 0.000005
8192 , 8192 , -0.323374 , -0.190498, 0.000825, 0.000012
9216 , 9216 , -0.330650 , -0.193096, 0.001296, 0.000037
10240 , 10240 , -0.325764 , -0.192687, 0.000968, 0.000032
11264 , 11264 , -0.323687 , -0.193641, 0.000843, 0.000044
12288 , 12288 , -0.325342 , -0.194751, 0.000942, 0.000060
13312 , 13312 , -0.329144 , -0.195496, 0.001190, 0.000072
14336 , 14336 , -0.328327 , -0.195077, 0.001134, 0.000065
15360 , 15360 , -0.326320 , -0.195407, 0.001003, 0.000071
16384 , 16384 , -0.318379 , -0.193555, 0.000563, 0.000043
17408 , 17408 , -0.317649 , -0.192861, 0.000529, 0.000034
18432 , 18432 , -0.316217 , -0.191719, 0.000465, 0.000022
19456 , 19456 , -0.315888 , -0.192571, 0.000451, 0.000031
20480 , 20480 , -0.318832 , -0.193164, 0.000585, 0.000038
21504 , 21504 , -0.319114 , -0.193221, 0.000598, 0.000039
22528 , 22528 , -0.319157 , -0.193130, 0.000601, 0.000038
23552 , 23552 , -0.311418 , -0.193684, 0.000281, 0.000045
24576 , 24576 , -0.315232 , -0.194919, 0.000424, 0.000063
25600 , 25600 , -0.314767 , -0.194330, 0.000405, 0.000054
26624 , 26624 , -0.313950 , -0.194428, 0.000372, 0.000055
27648 , 27648 , -0.315394 , -0.195125, 0.000430, 0.000066
28672 , 28672 , -0.313607 , -0.194513, 0.000359, 0.000056
29696 , 29696 , -0.315959 , -0.195018, 0.000454, 0.000064
30720 , 30720 , -0.315759 , -0.195448, 0.000446, 0.000071
31744 , 31744 , -0.316049 , -0.195413, 0.000458, 0.000071
32768 , 32768 , -0.314979 , -0.195212, 0.000413, 0.000067
33792 , 33792 , -0.317615 , -0.194623, 0.000527, 0.000058
34816 , 34816 , -0.316147 , -0.194180, 0.000462, 0.000052
35840 , 35840 , -0.316930 , -0.194545, 0.000496, 0.000057
36864 , 36864 , -0.310889 , -0.189709, 0.000264, 0.000007
37888 , 37888 , -0.310756 , -0.189495, 0.000259, 0.000006
38912 , 38912 , -0.310569 , -0.189249, 0.000253, 0.000005
39936 , 39936 , -0.309831 , -0.189243, 0.000230, 0.000005
40960 , 40960 , -0.308895 , -0.189080, 0.000203, 0.000004
41984 , 41984 , -0.321170 , -0.185930, 0.000703, 0.000001
43008 , 43008 , -0.321479 , -0.186281, 0.000720, 0.000001
44032 , 44032 , -0.321501 , -0.186432, 0.000721, 0.000000
45056 , 45056 , -0.321431 , -0.185982, 0.000717, 0.000001
46080 , 46080 , -0.322078 , -0.186553, 0.000752, 0.000000
47104 , 47104 , -0.320641 , -0.186230, 0.000675, 0.000001
48128 , 48128 , -0.320978 , -0.186570, 0.000693, 0.000000
49152 , 49152 , -0.322001 , -0.186877, 0.000748, 0.000000
50176 , 50176 , -0.322153 , -0.187094, 0.000756, 0.000000
51200 , 51200 , -0.321909 , -0.187510, 0.000743, 0.000000
52224 , 52224 , -0.323130 , -0.187965, 0.000811, 0.000001
53248 , 53248 , -0.322922 , -0.188379, 0.000799, 0.000002
54272 , 54272 , -0.322868 , -0.188432, 0.000796, 0.000002
55296 , 55296 , -0.321903 , -0.187871, 0.000743, 0.000001
56320 , 56320 , -0.320874 , -0.187692, 0.000688, 0.000000
