trueR , trueI
0.318325 , -0.041093
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 1024 , 0.356245 , -0.045188, 0.001438, 0.000017
2048 , 2048 , 0.326220 , -0.039128, 0.000062, 0.000004
3072 , 3072 , 0.314342 , -0.036871, 0.000016, 0.000018
4096 , 4096 , 0.312325 , -0.035114, 0.000036, 0.000036
5120 , 5120 , 0.329524 , -0.038197, 0.000125, 0.000008
6144 , 6144 , 0.328367 , -0.038650, 0.000101, 0.000006
7168 , 7168 , 0.335956 , -0.040042, 0.000311, 0.000001
8192 , 8192 , 0.315623 , -0.036096, 0.000007, 0.000025
9216 , 9216 , 0.322319 , -0.037383, 0.000016, 0.000014
10240 , 10240 , 0.332829 , -0.042327, 0.000210, 0.000002
11264 , 11264 , 0.333937 , -0.042458, 0.000244, 0.000002
12288 , 12288 , 0.335095 , -0.042597, 0.000281, 0.000002
13312 , 13312 , 0.334261 , -0.042137, 0.000254, 0.000001
14336 , 14336 , 0.351073 , -0.062570, 0.001072, 0.000461
15360 , 15360 , 0.350669 , -0.061316, 0.001046, 0.000409
16384 , 16384 , 0.343275 , -0.057266, 0.000623, 0.000262
17408 , 17408 , 0.349545 , -0.059172, 0.000975, 0.000327
18432 , 18432 , 0.348296 , -0.057940, 0.000898, 0.000284
19456 , 19456 , 0.345553 , -0.056631, 0.000741, 0.000241
20480 , 20480 , 0.343226 , -0.055470, 0.000620, 0.000207
21504 , 21504 , 0.342188 , -0.054556, 0.000569, 0.000181
22528 , 22528 , 0.340915 , -0.053888, 0.000510, 0.000164
23552 , 23552 , 0.338677 , -0.052749, 0.000414, 0.000136
24576 , 24576 , 0.336206 , -0.051840, 0.000320, 0.000116
25600 , 25600 , 0.336783 , -0.051546, 0.000341, 0.000109
26624 , 26624 , 0.333775 , -0.050479, 0.000239, 0.000088
27648 , 27648 , 0.333880 , -0.050190, 0.000242, 0.000083
28672 , 28672 , 0.336419 , -0.051397, 0.000327, 0.000106
29696 , 29696 , 0.337200 , -0.051195, 0.000356, 0.000102
30720 , 30720 , 0.338115 , -0.051031, 0.000392, 0.000099
31744 , 31744 , 0.332442 , -0.048985, 0.000199, 0.000062
32768 , 32768 , 0.331572 , -0.048521, 0.000175, 0.000055
33792 , 33792 , 0.330755 , -0.048085, 0.000155, 0.000049
34816 , 34816 , 0.332526 , -0.049089, 0.000202, 0.000064
35840 , 35840 , 0.332209 , -0.048722, 0.000193, 0.000058
36864 , 36864 , 0.331396 , -0.048436, 0.000171, 0.000054
37888 , 37888 , 0.332371 , -0.048387, 0.000197, 0.000053
38912 , 38912 , 0.331167 , -0.047834, 0.000165, 0.000045
39936 , 39936 , 0.333060 , -0.048761, 0.000217, 0.000059
40960 , 40960 , 0.332728 , -0.048556, 0.000207, 0.000056
41984 , 41984 , 0.332002 , -0.048309, 0.000187, 0.000052
43008 , 43008 , 0.333447 , -0.048344, 0.000229, 0.000053
44032 , 44032 , 0.332554 , -0.047881, 0.000202, 0.000046
45056 , 45056 , 0.332710 , -0.047771, 0.000207, 0.000045
46080 , 46080 , 0.332086 , -0.047468, 0.000189, 0.000041
47104 , 47104 , 0.334255 , -0.048238, 0.000254, 0.000051
48128 , 48128 , 0.334425 , -0.048136, 0.000259, 0.000050
49152 , 49152 , 0.336070 , -0.048905, 0.000315, 0.000061
50176 , 50176 , 0.338220 , -0.049715, 0.000396, 0.000074
51200 , 51200 , 0.336126 , -0.048744, 0.000317, 0.000059
52224 , 52224 , 0.335641 , -0.048563, 0.000300, 0.000056
53248 , 53248 , 0.335767 , -0.048463, 0.000304, 0.000054
54272 , 54272 , 0.334999 , -0.048085, 0.000278, 0.000049
55296 , 55296 , 0.333272 , -0.047596, 0.000223, 0.000042
56320 , 56320 , 0.334708 , -0.048192, 0.000268, 0.000050
57344 , 57344 , 0.334542 , -0.048069, 0.000263, 0.000049
58368 , 58368 , 0.334480 , -0.047962, 0.000261, 0.000047
59392 , 59392 , 0.333993 , -0.047650, 0.000246, 0.000043
60416 , 60416 , 0.333420 , -0.047487, 0.000228, 0.000041
61440 , 61440 , 0.332172 , -0.047093, 0.000192, 0.000036
62464 , 62464 , 0.332245 , -0.047021, 0.000194, 0.000035
63488 , 63488 , 0.333219 , -0.047519, 0.000222, 0.000041
64512 , 64512 , 0.331990 , -0.047137, 0.000187, 0.000037
65536 , 65536 , 0.331413 , -0.046844, 0.000171, 0.000033
66560 , 66560 , 0.329734 , -0.046119, 0.000130, 0.000025
67584 , 67584 , 0.326711 , -0.045103, 0.000070, 0.000016
68608 , 68608 , 0.325594 , -0.044705, 0.000053, 0.000013
69632 , 69632 , 0.324567 , -0.044392, 0.000039, 0.000011
70656 , 70656 , 0.325091 , -0.044347, 0.000046, 0.000011
71680 , 71680 , 0.326017 , -0.044420, 0.000059, 0.000011
72704 , 72704 , 0.326205 , -0.044401, 0.000062, 0.000011
73728 , 73728 , 0.325999 , -0.044333, 0.000059, 0.000010
74752 , 74752 , 0.326321 , -0.044271, 0.000064, 0.000010
75776 , 75776 , 0.325838 , -0.044110, 0.000056, 0.000009
76800 , 76800 , 0.325832 , -0.044072, 0.000056, 0.000009
77824 , 77824 , 0.325368 , -0.043918, 0.000050, 0.000008
78848 , 78848 , 0.325645 , -0.043860, 0.000054, 0.000008
79872 , 79872 , 0.325376 , -0.043736, 0.000050, 0.000007
80896 , 80896 , 0.325411 , -0.043709, 0.000050, 0.000007
81920 , 81920 , 0.325762 , -0.043723, 0.000055, 0.000007
82944 , 82944 , 0.325016 , -0.043543, 0.000045, 0.000006
83968 , 83968 , 0.324752 , -0.043714, 0.000041, 0.000007
84992 , 84992 , 0.326023 , -0.044238, 0.000059, 0.000010
86016 , 86016 , 0.336556 , -0.042958, 0.000332, 0.000003
87040 , 87040 , 0.336378 , -0.042879, 0.000326, 0.000003
88064 , 88064 , 0.336138 , -0.043120, 0.000317, 0.000004
89088 , 89088 , 0.335873 , -0.043029, 0.000308, 0.000004
90112 , 90112 , 0.343459 , -0.043775, 0.000632, 0.000007
91136 , 91136 , 0.344107 , -0.043855, 0.000665, 0.000008
92160 , 92160 , 0.343681 , -0.043799, 0.000643, 0.000007
93184 , 93184 , 0.343634 , -0.043791, 0.000641, 0.000007
94208 , 94208 , 0.343619 , -0.043786, 0.000640, 0.000007
95232 , 95232 , 0.343488 , -0.043671, 0.000633, 0.000007
96256 , 96256 , 0.343087 , -0.043619, 0.000613, 0.000006
97280 , 97280 , 0.342753 , -0.043576, 0.000597, 0.000006
