trueR,trueI
-2.946506e-01,-1.869979e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,6883,16384,1997,-3.061481e-01,-1.932272e-01,1.321911e-04,3.880413e-05
32768,6883,32768,3908,-2.670607e-01,-1.718649e-01,7.612019e-04,2.290079e-04
49152,6884,49152,5799,-2.737768e-01,-1.760379e-01,4.357174e-04,1.201219e-04
65536,6886,65536,7796,-2.733898e-01,-1.794537e-01,4.520215e-04,5.691390e-05
81920,6890,81920,9714,-2.773658e-01,-1.809595e-01,2.987637e-04,3.646242e-05
98304,6897,98304,11712,-2.800742e-01,-1.815203e-01,2.124716e-04,3.000386e-05
114688,6897,114688,13753,-2.854374e-01,-1.840049e-01,8.488267e-05,8.958064e-06
131072,6897,131072,15754,-2.874146e-01,-1.854133e-01,5.236018e-05,2.511018e-06
147456,6900,147456,17657,-2.869401e-01,-1.851161e-01,5.945206e-05,3.541033e-06
163840,6901,163840,19676,-2.830031e-01,-1.841382e-01,1.356641e-04,8.177610e-06
180224,6904,180224,21603,-2.869920e-01,-1.845301e-01,5.865462e-05,6.089871e-06
196608,6904,196608,23511,-2.858654e-01,-1.840617e-01,7.718058e-05,8.621178e-06
212992,6904,212992,25484,-2.854232e-01,-1.849194e-01,8.514427e-05,4.320176e-06
229376,6906,229376,27412,-2.855089e-01,-1.848817e-01,8.357147e-05,4.478064e-06
245760,6911,245760,29398,-2.856894e-01,-1.851973e-01,8.030418e-05,3.242041e-06
262144,6911,262144,31442,-2.862362e-01,-1.857835e-01,7.080293e-05,1.474622e-06
278528,6913,278528,33358,-2.871264e-01,-1.858285e-01,5.661437e-05,1.367493e-06
294912,6915,294912,35323,-2.867980e-01,-1.857188e-01,6.166401e-05,1.635946e-06
311296,6916,311296,37233,-2.917638e-01,-1.870765e-01,8.333453e-06,6.176188e-09
327680,6920,327680,39228,-2.921536e-01,-1.873831e-01,6.234947e-06,1.483867e-07
344064,6927,344064,41171,-2.918951e-01,-1.873138e-01,7.592741e-06,9.982397e-08
360448,6929,360448,43121,-2.904063e-01,-1.875246e-01,1.801432e-05,2.774092e-07
376832,6932,376832,45042,-2.909149e-01,-1.875035e-01,1.395584e-05,2.556579e-07
393216,6943,393216,46989,-2.899561e-01,-1.865102e-01,2.203853e-05,2.378223e-07
409600,6945,409600,48981,-2.905231e-01,-1.868205e-01,1.703652e-05,3.147545e-08
425984,6948,425984,50994,-2.898637e-01,-1.868731e-01,2.291449e-05,1.556691e-08
442368,6949,442368,52891,-2.897710e-01,-1.865772e-01,2.381044e-05,1.770048e-07
458752,6948,458752,54852,-2.905710e-01,-1.867301e-01,1.664322e-05,7.172679e-08
475136,6952,475136,56789,-2.909330e-01,-1.868499e-01,1.382034e-05,2.188587e-08
491520,6952,491520,58743,-2.914241e-01,-1.870156e-01,1.041061e-05,3.149661e-10
507904,6952,507904,60654,-2.916211e-01,-1.869130e-01,9.178023e-06,7.199049e-09
524288,6954,524288,62610,-2.909153e-01,-1.866258e-01,1.395250e-05,1.384672e-07
540672,6961,540672,64589,-2.914734e-01,-1.868578e-01,1.009476e-05,1.963239e-08
557056,6961,557056,66622,-2.919343e-01,-1.868776e-01,7.378139e-06,1.446780e-08
573440,6965,573440,68510,-2.911719e-01,-1.866639e-01,1.210160e-05,1.115425e-07
589824,6972,589824,70417,-2.909574e-01,-1.862834e-01,1.363968e-05,5.104191e-07
606208,6986,606208,72330,-2.910863e-01,-1.862242e-01,1.270422e-05,5.985857e-07
622592,6985,622592,74299,-2.916169e-01,-1.863684e-01,9.203683e-06,3.961947e-07
638976,6995,638976,76247,-2.908245e-01,-1.865335e-01,1.463890e-05,2.156347e-07
655360,6996,655360,78257,-2.908174e-01,-1.865924e-01,1.469323e-05,1.643862e-07
671744,7000,671744,80162,-2.903371e-01,-1.864190e-01,1.860601e-05,3.351197e-07
688128,7008,688128,82184,-2.908010e-01,-1.866397e-01,1.481985e-05,1.283137e-07
704512,7018,704512,84155,-2.916438e-01,-1.867866e-01,9.040942e-06,4.462186e-08
720896,7019,720896,86109,-2.916826e-01,-1.868225e-01,8.809103e-06,3.075526e-08
737280,7020,737280,88107,-2.918389e-01,-1.870050e-01,7.905657e-06,5.115908e-11
753664,7030,753664,90053,-2.923420e-01,-1.870861e-01,5.329804e-06,7.787123e-09
770048,7031,770048,92028,-2.921752e-01,-1.871182e-01,6.127658e-06,1.446780e-08
786432,7032,786432,93972,-2.922605e-01,-1.871380e-01,5.712514e-06,1.962821e-08
802816,7032,802816,95909,-2.922191e-01,-1.871153e-01,5.912105e-06,1.378773e-08
819200,7033,819200,97943,-2.930166e-01,-1.873586e-01,2.669962e-06,1.301134e-07
835584,7034,835584,99974,-2.931108e-01,-1.874268e-01,2.371065e-06,1.840065e-07
851968,7035,851968,102033,-2.935505e-01,-1.875041e-01,1.210336e-06,2.562761e-07
868352,7039,868352,104074,-2.942421e-01,-1.877126e-01,1.668970e-07,5.108450e-07
884736,7039,884736,105971,-2.938243e-01,-1.874418e-01,6.827211e-07,1.970389e-07
901120,7046,901120,107918,-2.939913e-01,-1.874553e-01,4.346986e-07,2.092339e-07
917504,7053,917504,109909,-2.938458e-01,-1.874630e-01,6.476739e-07,2.163550e-07
933888,7053,933888,111860,-2.940823e-01,-1.875332e-01,3.230332e-07,2.866039e-07
950272,7059,950272,113846,-2.936226e-01,-1.873523e-01,1.056848e-06,1.256270e-07
966656,7073,966656,115796,-2.948085e-01,-1.877638e-01,2.493011e-08,5.866102e-07
983040,7179,983040,117723,-2.947745e-01,-1.877030e-01,1.535568e-08,4.971563e-07
999424,7468,999424,119649,-2.947558e-01,-1.876799e-01,1.105496e-08,4.652003e-07
1015808,7468,1015808,121631,-2.951334e-01,-1.877873e-01,2.330360e-07,6.232527e-07
1032192,7476,1032192,123575,-2.949127e-01,-1.875055e-01,6.870240e-08,2.576659e-07
1048576,7489,1048576,125616,-2.953374e-01,-1.876223e-01,4.716867e-07,3.898982e-07
1064960,9653,1064960,127635,-2.953303e-01,-1.875456e-01,4.620347e-07,3.000320e-07
1081344,9653,1081344,129555,-2.951322e-01,-1.875223e-01,2.319726e-07,2.749815e-07
1097728,9691,1097728,131514,-2.943215e-01,-1.875473e-01,1.083311e-07,3.018631e-07
1114112,9903,1114112,133406,-2.936937e-01,-1.873561e-01,9.156441e-07,1.283030e-07
1130496,9956,1130496,135504,-2.941313e-01,-1.876057e-01,2.697091e-07,3.694975e-07
1146880,9987,1146880,137502,-2.943883e-01,-1.877278e-01,6.882744e-08,5.328245e-07
1163264,10024,1163264,139498,-2.942616e-01,-1.876381e-01,1.513054e-07,4.099496e-07
1179648,10040,1179648,141481,-2.943664e-01,-1.876862e-01,8.078371e-08,4.738588e-07
1196032,10060,1196032,143423,-2.944433e-01,-1.876761e-01,4.297534e-08,4.599910e-07
1212416,10101,1212416,145465,-2.945367e-01,-1.876687e-01,1.296744e-08,4.499401e-07
1228800,10105,1228800,147413,-2.939764e-01,-1.875647e-01,4.545296e-07,3.213078e-07
1245184,10112,1245184,149293,-2.940149e-01,-1.875241e-01,4.041314e-07,2.768914e-07
1261568,10116,1261568,151256,-2.940401e-01,-1.875266e-01,3.727110e-07,2.795638e-07
1277952,10117,1277952,153178,-2.944740e-01,-1.874288e-01,3.118006e-08,1.857235e-07
1294336,10118,1294336,155197,-2.945288e-01,-1.874150e-01,1.485027e-08,1.739587e-07
1310720,10119,1310720,157116,-2.941958e-01,-1.873637e-01,2.068822e-07,1.338486e-07
1327104,10126,1327104,159172,-2.940944e-01,-1.874240e-01,3.093593e-07,1.815601e-07
1343488,10128,1343488,161181,-2.942606e-01,-1.874993e-01,1.521412e-07,2.514261e-07
1359872,10130,1359872,163148,-2.943254e-01,-1.875335e-01,1.057376e-07,2.868433e-07
1376256,10130,1376256,165128,-2.945211e-01,-1.875967e-01,1.676794e-08,3.586188e-07
1392640,10134,1392640,167124,-2.943171e-01,-1.875819e-01,1.112341e-07,3.410808e-07
1409024,10135,1409024,169105,-2.943054e-01,-1.876327e-01,1.191838e-07,4.029955e-07
1425408,10141,1425408,171130,-2.944164e-01,-1.877307e-01,5.485735e-08,5.370750e-07
1441792,10141,1441792,173113,-2.946164e-01,-1.878090e-01,1.170534e-09,6.578832e-07
1458176,10147,1458176,175082,-2.946526e-01,-1.878402e-01,4.106937e-12,7.095246e-07
1474560,10153,1474560,177072,-2.947111e-01,-1.878684e-01,3.663701e-09,7.577893e-07
1490944,10171,1490944,179009,-2.949424e-01,-1.878895e-01,8.514405e-08,7.950233e-07
1507328,10204,1507328,181000,-2.949951e-01,-1.879591e-01,1.186494e-07,9.239043e-07
1523712,10235,1523712,182920,-2.945320e-01,-1.880271e-01,1.406203e-08,1.059239e-06
1540096,10252,1540096,184897,-2.945157e-01,-1.880241e-01,1.820209e-08,1.053052e-06
1556480,10278,1556480,187008,-2.944593e-01,-1.881817e-01,3.661892e-08,1.401507e-06
1572864,10310,1572864,189113,-2.944459e-01,-1.882743e-01,4.190706e-08,1.629206e-06
1589248,10326,1589248,191128,-2.945534e-01,-1.883055e-01,9.456586e-09,1.709952e-06
1605632,10340,1605632,193150,-2.944987e-01,-1.883009e-01,2.307435e-08,1.697854e-06
1622016,10369,1622016,195095,-2.946617e-01,-1.883257e-01,1.235714e-10,1.763087e-06
1638400,10408,1638400,197060,-2.947097e-01,-1.884108e-01,3.489053e-09,1.996282e-06
1654784,10429,1654784,199037,-2.947216e-01,-1.884182e-01,5.035226e-09,2.017222e-06
1671168,10438,1671168,200985,-2.947299e-01,-1.884336e-01,6.293849e-09,2.061397e-06
1687552,10460,1687552,202949,-2.946150e-01,-1.884247e-01,1.270465e-09,2.035719e-06
1703936,10493,1703936,204949,-2.947293e-01,-1.883837e-01,6.185560e-09,1.920464e-06
1720320,10518,1720320,206892,-2.948380e-01,-1.884055e-01,3.510647e-08,1.981529e-06
1736704,10524,1736704,208847,-2.949734e-01,-1.884237e-01,1.041927e-07,2.032871e-06
1753088,10568,1753088,210875,-2.950795e-01,-1.883233e-01,1.839425e-07,1.756642e-06
1769472,10584,1769472,212879,-2.953081e-01,-1.883717e-01,4.322263e-07,1.887525e-06
1785856,10626,1785856,214863,-2.954845e-01,-1.883944e-01,6.953375e-07,1.950357e-06
1802240,10661,1802240,216886,-2.956426e-01,-1.884745e-01,9.840642e-07,2.180306e-06
1818624,10680,1818624,218901,-2.958062e-01,-1.885454e-01,1.335377e-06,2.394942e-06
1835008,10683,1835008,220852,-2.957356e-01,-1.885291e-01,1.177189e-06,2.344661e-06
