trueR , trueI
0.066002 , -0.215410
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
5461 , 6059 , 60071 , 13670 ,0.067705,-0.229723,2.900208999999987e-06,0.00020486196900000058,0.00020776217800000057,0.014413957749348392
10922 , 8957 , 120142 , 27340 ,0.068514,-0.224154,6.310144000000002e-06,7.645753600000003e-05,8.276768000000004e-05,0.009097674428116233
16383 , 14352 , 180213 , 40993 ,0.070106,-0.213033,1.684281599999997e-05,5.650128999999954e-06,2.2492944999999925e-05,0.004742672769652142
21844 , 14535 , 240284 , 54889 ,0.071112,-0.21675,2.6112099999999892e-05,1.795600000000021e-06,2.7907699999999912e-05,0.005282773892568176
27305 , 19829 , 300355 , 68632 ,0.072462,-0.220979,4.173159999999992e-05,3.101376100000021e-05,7.274536100000013e-05,0.00852908910728456
32766 , 25061 , 360426 , 82170 ,0.070193,-0.224602,1.7564481000000002e-05,8.44928640000001e-05,0.0001020573450000001,0.010102343539991109
38227 , 25069 , 420497 , 95895 ,0.071328,-0.22275,2.8366275999999974e-05,5.387560000000019e-05,8.224187600000017e-05,0.009068730671929792
43688 , 30136 , 480568 , 109691 ,0.070752,-0.221577,2.2562499999999908e-05,3.803188900000007e-05,6.059438899999997e-05,0.007784239783048822
49149 , 30170 , 540639 , 123283 ,0.070586,-0.222627,2.1013055999999915e-05,5.208508900000002e-05,7.309814499999993e-05,0.008549745317844266
54610 , 30181 , 600710 , 136840 ,0.069332,-0.222437,1.1088899999999998e-05,4.9378729000000076e-05,6.046762900000008e-05,0.007776093427936683
60071 , 30188 , 660781 , 150559 ,0.068767,-0.221001,7.645224999999943e-06,3.1259281000000144e-05,3.8904506000000084e-05,0.006237347673490719
65532 , 30233 , 720852 , 164423 ,0.069766,-0.219476,1.4167695999999921e-05,1.6532356000000113e-05,3.070005200000004e-05,0.005540762763374735
