trueR , trueI
0.066002 , -0.215410
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
5461 , 6695 , 60071 , 13746 ,0.066161,-0.215123,2.5280999999997608e-08,8.23689999999895e-08,1.0764999999998711e-07,0.0003281005943304387
10922 , 12222 , 120142 , 27634 ,0.066274,-0.216078,7.398399999999699e-08,4.462240000000026e-07,5.202079999999996e-07,0.0007212544627244947
16383 , 18174 , 180213 , 41288 ,0.066064,-0.215308,3.843999999999085e-09,1.0403999999998162e-08,1.4247999999997247e-08,0.00011936498649100266
21844 , 18192 , 240284 , 54994 ,0.065636,-0.21442,1.3395600000000382e-07,9.80099999999982e-07,1.1140559999999857e-06,0.0010554885124907734
27305 , 18199 , 300355 , 68723 ,0.065948,-0.214081,2.9159999999998373e-09,1.7662409999999915e-06,1.7691569999999913e-06,0.0013300966130322983
32766 , 18210 , 360426 , 82421 ,0.065945,-0.214024,3.2490000000001702e-09,1.9209959999999956e-06,1.9242449999999957e-06,0.0013871715827539128
38227 , 18216 , 420497 , 96026 ,0.065993,-0.213529,8.100000000016202e-11,3.5381609999999765e-06,3.538241999999977e-06,0.0018810215309772445
43688 , 18222 , 480568 , 109663 ,0.066056,-0.214163,2.9159999999998373e-09,1.5550089999999953e-06,1.5579249999999951e-06,0.001248168658475286
49149 , 18228 , 540639 , 123478 ,0.066274,-0.214375,7.398399999999699e-08,1.0712249999999594e-06,1.1452089999999565e-06,0.0010701443827820414
54610 , 18235 , 600710 , 137453 ,0.066455,-0.21522,2.0520899999999555e-07,3.609999999999838e-08,2.413089999999939e-07,0.0004912321243566975
60071 , 18240 , 660781 , 151218 ,0.066416,-0.216124,1.713959999999981e-07,5.097960000000288e-07,6.811920000000268e-07,0.0008253435648262042
65532 , 18246 , 720852 , 164898 ,0.066374,-0.216058,1.3838399999999802e-07,4.1990400000001255e-07,5.582880000000106e-07,0.0007471867236507957
70993 , 18252 , 780923 , 178554 ,0.066376,-0.215893,1.398759999999995e-07,2.3328900000001082e-07,3.7316500000001034e-07,0.0006108723270864464
76454 , 18258 , 840994 , 192298 ,0.066072,-0.21597,4.900000000000086e-09,3.136000000000055e-07,3.185000000000056e-07,0.0005643580423809034
81915 , 18264 , 901065 , 205903 ,0.066099,-0.215471,9.408999999999974e-09,3.7210000000006703e-09,1.3130000000000644e-08,0.00011458621208505255
87376 , 18269 , 961136 , 219448 ,0.066105,-0.215387,1.060899999999835e-08,5.289999999997813e-10,1.113799999999813e-08,0.00010553672346628036
92837 , 18275 , 1021207 , 233121 ,0.066098,-0.215521,9.215999999999781e-09,1.2320999999999997e-08,2.1536999999999778e-08,0.00014675489770361934
98298 , 24929 , 1081278 , 246630 ,0.065842,-0.215486,2.5600000000002353e-08,5.776000000003115e-09,3.137600000000547e-08,0.00017713271860389165
103759 , 24965 , 1141349 , 260553 ,0.065852,-0.215465,2.250000000000337e-08,3.0249999999999444e-09,2.5525000000003314e-08,0.00015976545308671496
109220 , 24976 , 1201420 , 274243 ,0.065769,-0.215651,5.428900000000511e-08,5.808100000000915e-08,1.1237000000001426e-07,0.00033521634805005297
114681 , 24985 , 1261491 , 287914 ,0.065703,-0.215313,8.940100000000455e-08,9.408999999997282e-09,9.881000000000182e-08,0.0003143405796266238
120142 , 24992 , 1321562 , 301573 ,0.065705,-0.215231,8.820900000000333e-08,3.204099999999453e-08,1.2024999999999786e-07,0.000346770817687991
125603 , 24999 , 1381633 , 315217 ,0.065711,-0.215479,8.468099999999976e-08,4.761000000001862e-09,8.944200000000163e-08,0.0002990685540139612
