trueR , trueI
-0.001721 , 0.001279
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 8192 , -0.002235 , 0.001874, 0.000000, 0.000000
2048 , 16384 , -0.002345 , 0.001785, 0.000000, 0.000000
3072 , 24576 , -0.002286 , 0.001869, 0.000000, 0.000000
4096 , 32768 , -0.001975 , 0.001391, 0.000000, 0.000000
5120 , 40960 , -0.002294 , 0.001984, 0.000000, 0.000000
6144 , 49152 , -0.001831 , 0.001534, 0.000000, 0.000000
7168 , 57344 , -0.001799 , 0.001451, 0.000000, 0.000000
8192 , 65536 , -0.001836 , 0.001374, 0.000000, 0.000000
9216 , 73728 , -0.001983 , 0.001503, 0.000000, 0.000000
10240 , 81920 , -0.002028 , 0.001718, 0.000000, 0.000000
11264 , 90112 , -0.002400 , 0.002252, 0.000000, 0.000001
12288 , 98304 , -0.002303 , 0.002113, 0.000000, 0.000001
13312 , 106496 , -0.002384 , 0.002248, 0.000000, 0.000001
14336 , 114688 , -0.002606 , 0.002550, 0.000001, 0.000002
15360 , 122880 , -0.002610 , 0.002589, 0.000001, 0.000002
16384 , 131072 , -0.002499 , 0.002462, 0.000001, 0.000001
17408 , 139264 , -0.002539 , 0.002533, 0.000001, 0.000002
18432 , 147456 , -0.002474 , 0.002437, 0.000001, 0.000001
19456 , 155648 , -0.002449 , 0.002396, 0.000001, 0.000001
20480 , 163840 , -0.002527 , 0.002534, 0.000001, 0.000002
21504 , 172032 , -0.002586 , 0.002602, 0.000001, 0.000002
22528 , 180224 , -0.002566 , 0.002603, 0.000001, 0.000002
23552 , 188416 , -0.002550 , 0.002580, 0.000001, 0.000002
24576 , 196608 , -0.002482 , 0.002480, 0.000001, 0.000001
25600 , 204800 , -0.002452 , 0.002399, 0.000001, 0.000001
26624 , 212992 , -0.002442 , 0.002360, 0.000001, 0.000001
27648 , 221184 , -0.002419 , 0.002311, 0.000000, 0.000001
28672 , 229376 , -0.002367 , 0.002252, 0.000000, 0.000001
29696 , 237568 , -0.002346 , 0.002208, 0.000000, 0.000001
30720 , 245760 , -0.002320 , 0.002159, 0.000000, 0.000001
31744 , 253952 , -0.002250 , 0.002008, 0.000000, 0.000001
32768 , 262144 , -0.002198 , 0.001960, 0.000000, 0.000000
33792 , 270336 , -0.002179 , 0.001933, 0.000000, 0.000000
34816 , 278528 , -0.002158 , 0.001914, 0.000000, 0.000000
