trueR , trueI
-0.001721 , 0.001279
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
5461 , 3708 , 43688 , 5474 ,-0.001632,0.001075,7.921000000000018e-09,4.161599999999999e-08,4.9537e-08,0.00022256909039666763
10922 , 4128 , 87376 , 10948 ,-0.001797,0.001307,5.775999999999984e-09,7.840000000000016e-10,6.559999999999986e-09,8.099382692526626e-05
16383 , 4173 , 131064 , 16423 ,-0.001686,0.001137,1.2250000000000064e-09,2.0163999999999994e-08,2.1389e-08,0.00014624978632463023
21844 , 4181 , 174752 , 21900 ,-0.001689,0.001214,1.024000000000008e-09,4.224999999999994e-09,5.249000000000002e-09,7.244998274671984e-05
27305 , 9859 , 218440 , 27381 ,-0.001845,0.001416,1.5375999999999995e-08,1.876899999999999e-08,3.4144999999999986e-08,0.00018478365728602728
32766 , 12931 , 262128 , 32852 ,-0.001782,0.001373,3.7209999999999825e-09,8.836000000000022e-09,1.2557000000000005e-08,0.00011205802068571443
38227 , 12939 , 305816 , 38329 ,-0.00172,0.001241,1.0000000000002655e-12,1.4440000000000043e-09,1.4450000000000046e-09,3.8013155617496486e-05
43688 , 12945 , 349504 , 43799 ,-0.00168,0.001208,1.6810000000000017e-09,5.040999999999984e-09,6.721999999999986e-09,8.198780397107845e-05
49149 , 12950 , 393192 , 49273 ,-0.001731,0.001259,9.999999999999619e-11,4.000000000000021e-10,4.999999999999983e-10,2.2360679774997857e-05
54610 , 12961 , 436880 , 54747 ,-0.001704,0.001237,2.89000000000003e-10,1.7639999999999947e-09,2.0529999999999978e-09,4.531004303683674e-05
60071 , 12966 , 480568 , 60220 ,-0.001713,0.001269,6.400000000000311e-11,1.0000000000000052e-10,1.6400000000000362e-10,1.280624847486584e-05
65532 , 12971 , 524256 , 65699 ,-0.001701,0.001206,4.000000000000021e-10,5.32899999999999e-09,5.728999999999992e-09,7.569015788066499e-05
70993 , 12975 , 567944 , 71173 ,-0.001659,0.001148,3.843999999999999e-09,1.716100000000001e-08,2.100500000000001e-08,0.00014493101807411694
76454 , 12980 , 611632 , 76642 ,-0.001702,0.001232,3.6100000000000516e-10,2.208999999999995e-09,2.5700000000000004e-09,5.069516742254631e-05
81915 , 12985 , 655320 , 82121 ,-0.001714,0.001244,4.9000000000000865e-11,1.2249999999999913e-09,1.273999999999992e-09,3.569313659514938e-05
87376 , 12990 , 699008 , 87601 ,-0.001705,0.00123,2.5600000000000553e-10,2.401e-09,2.657000000000005e-09,5.154609587543954e-05
92837 , 12995 , 742696 , 93083 ,-0.001695,0.00123,6.760000000000103e-10,2.401e-09,3.07700000000001e-09,5.547071299343474e-05
98298 , 13000 , 786384 , 98554 ,-0.001733,0.001259,1.4399999999999658e-10,4.000000000000021e-10,5.439999999999986e-10,2.3323807579381172e-05
103759 , 13005 , 830072 , 104022 ,-0.001733,0.001239,1.4399999999999658e-10,1.599999999999991e-09,1.7439999999999876e-09,4.176122603564205e-05
109220 , 13010 , 873760 , 109491 ,-0.001733,0.001283,1.4399999999999658e-10,1.600000000000078e-11,1.5999999999999735e-10,1.2649110640673413e-05
114681 , 13015 , 917448 , 114963 ,-0.001722,0.001274,9.999999999998318e-13,2.500000000000013e-11,2.5999999999999962e-11,5.099019513592781e-06
120142 , 13020 , 961136 , 120437 ,-0.001742,0.001256,4.409999999999987e-10,5.290000000000008e-10,9.699999999999993e-10,3.114482300479486e-05
125603 , 13025 , 1004824 , 125917 ,-0.001736,0.001265,2.2499999999999467e-10,1.9599999999999738e-10,4.2099999999999203e-10,2.0518284528682996e-05
131064 , 13030 , 1048512 , 131396 ,-0.001706,0.001263,2.250000000000012e-10,2.5599999999999855e-10,4.809999999999997e-10,2.1931712199461302e-05
136525 , 13034 , 1092200 , 136880 ,-0.001693,0.001301,7.840000000000016e-10,4.840000000000044e-10,1.268000000000006e-09,3.5608987629529796e-05
141986 , 13149 , 1135888 , 142356 ,-0.001698,0.001313,5.290000000000008e-10,1.1559999999999972e-09,1.684999999999998e-09,4.104875150354756e-05
147447 , 16124 , 1179576 , 147831 ,-0.001691,0.001327,9.000000000000048e-10,2.3040000000000078e-09,3.2040000000000125e-09,5.6603886792339735e-05
152908 , 16148 , 1223264 , 153306 ,-0.001698,0.001337,5.290000000000008e-10,3.3640000000000128e-09,3.893000000000014e-09,6.23939099592261e-05
158369 , 16155 , 1266952 , 158777 ,-0.001696,0.00132,6.250000000000033e-10,1.6810000000000017e-09,2.306000000000005e-09,4.802082881417193e-05
163830 , 16160 , 1310640 , 164248 ,-0.00168,0.001303,1.6810000000000017e-09,5.759999999999968e-10,2.2569999999999983e-09,4.7507894080878795e-05
169291 , 16165 , 1354328 , 169724 ,-0.001675,0.001304,2.116000000000003e-09,6.250000000000033e-10,2.741000000000006e-09,5.235456045083376e-05
174752 , 16170 , 1398016 , 175200 ,-0.00168,0.001287,1.6810000000000017e-09,6.399999999999964e-11,1.7450000000000013e-09,4.177319714841086e-05
180213 , 16174 , 1441704 , 180672 ,-0.00167,0.001231,2.601000000000005e-09,2.303999999999987e-09,4.904999999999992e-09,7.003570517957245e-05
185674 , 16190 , 1485392 , 186151 ,-0.001691,0.001247,9.000000000000048e-10,1.0239999999999942e-09,1.9239999999999987e-09,4.3863424398922604e-05
191135 , 16195 , 1529080 , 191627 ,-0.001692,0.00125,8.410000000000094e-10,8.409999999999969e-10,1.6820000000000064e-09,4.101219330881983e-05
196596 , 16200 , 1572768 , 197104 ,-0.001693,0.001251,7.840000000000016e-10,7.840000000000016e-10,1.5680000000000033e-09,3.9597979746446706e-05
202057 , 16204 , 1616456 , 202572 ,-0.001675,0.001227,2.116000000000003e-09,2.703999999999996e-09,4.8199999999999995e-09,6.942621983083913e-05
207518 , 16209 , 1660144 , 208047 ,-0.00168,0.001231,1.6810000000000017e-09,2.303999999999987e-09,3.984999999999989e-09,6.312685640834644e-05
212979 , 18967 , 1703832 , 213526 ,-0.001698,0.001246,5.290000000000008e-10,1.0890000000000028e-09,1.6180000000000035e-09,4.0224370722237576e-05
218440 , 18976 , 1747520 , 218997 ,-0.001682,0.001227,1.5210000000000147e-09,2.703999999999996e-09,4.2250000000000105e-09,6.500000000000008e-05
223901 , 18981 , 1791208 , 224469 ,-0.001685,0.001238,1.2960000000000005e-09,1.6810000000000017e-09,2.9770000000000024e-09,5.456189146281498e-05
229362 , 18987 , 1834896 , 229946 ,-0.001693,0.00125,7.840000000000016e-10,8.409999999999969e-10,1.6249999999999984e-09,4.0311288741492725e-05
234823 , 18992 , 1878584 , 235425 ,-0.001705,0.001259,2.5600000000000553e-10,4.000000000000021e-10,6.560000000000077e-10,2.5612496949731543e-05
240284 , 18997 , 1922272 , 240907 ,-0.001723,0.001282,3.999999999999327e-12,8.999999999999786e-12,1.2999999999999113e-11,3.6055512754638664e-06
245745 , 19001 , 1965960 , 246383 ,-0.001727,0.001321,3.5999999999999145e-11,1.7639999999999947e-09,1.7999999999999938e-09,4.242640687119278e-05
251206 , 19006 , 2009648 , 251864 ,-0.001731,0.00131,9.999999999999619e-11,9.609999999999997e-10,1.0609999999999958e-09,3.25729949498046e-05
256667 , 19011 , 2053336 , 257341 ,-0.001739,0.001312,3.240000000000001e-10,1.0890000000000028e-09,1.4130000000000029e-09,3.7589892258425045e-05
