trueR , trueI
-0.001721 , 0.001279
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 1024 , 0.000000 , 0.000000, 0.000003, 0.000002
2048 , 2048 , 0.000000 , 0.000000, 0.000003, 0.000002
3072 , 3072 , 0.000000 , 0.000000, 0.000003, 0.000002
4096 , 4096 , 0.000000 , 0.000000, 0.000003, 0.000002
5120 , 5120 , 0.000000 , 0.000000, 0.000003, 0.000002
6144 , 6144 , 0.000000 , 0.000000, 0.000003, 0.000002
7168 , 7168 , 0.000000 , 0.000000, 0.000003, 0.000002
8192 , 8192 , 0.000000 , 0.000000, 0.000003, 0.000002
9216 , 9216 , 0.000000 , 0.000000, 0.000003, 0.000002
10240 , 10240 , 0.000000 , 0.000000, 0.000003, 0.000002
11264 , 11264 , 0.000000 , 0.000000, 0.000003, 0.000002
12288 , 12288 , 0.000000 , 0.000000, 0.000003, 0.000002
13312 , 13312 , 0.000000 , 0.000000, 0.000003, 0.000002
14336 , 14336 , 0.000000 , 0.000000, 0.000003, 0.000002
15360 , 15360 , 0.000000 , 0.000000, 0.000003, 0.000002
16384 , 16384 , 0.000000 , 0.000000, 0.000003, 0.000002
17408 , 17408 , 0.000000 , 0.000000, 0.000003, 0.000002
18432 , 18432 , 0.000000 , 0.000000, 0.000003, 0.000002
19456 , 19456 , 0.000000 , 0.000000, 0.000003, 0.000002
20480 , 20480 , 0.000000 , 0.000000, 0.000003, 0.000002
21504 , 21504 , 0.000000 , 0.000000, 0.000003, 0.000002
22528 , 22528 , 0.000000 , 0.000000, 0.000003, 0.000002
23552 , 23552 , 0.000000 , 0.000000, 0.000003, 0.000002
24576 , 24576 , 0.000000 , 0.000000, 0.000003, 0.000002
25600 , 25600 , 0.000000 , 0.000000, 0.000003, 0.000002
26624 , 26624 , 0.000000 , 0.000000, 0.000003, 0.000002
27648 , 27648 , 0.000000 , 0.000000, 0.000003, 0.000002
28672 , 28672 , 0.000000 , 0.000000, 0.000003, 0.000002
29696 , 29696 , -0.006708 , 0.009635, 0.000025, 0.000070
30720 , 30720 , -0.006485 , 0.009314, 0.000023, 0.000065
31744 , 31744 , -0.006276 , 0.009013, 0.000021, 0.000060
32768 , 32768 , -0.006080 , 0.008731, 0.000019, 0.000056
33792 , 33792 , -0.005895 , 0.008467, 0.000017, 0.000052
34816 , 34816 , -0.005722 , 0.008218, 0.000016, 0.000048
35840 , 35840 , -0.005558 , 0.007983, 0.000015, 0.000045
36864 , 36864 , -0.005404 , 0.007761, 0.000014, 0.000042
37888 , 37888 , -0.005258 , 0.007552, 0.000013, 0.000039
38912 , 38912 , -0.005120 , 0.007353, 0.000012, 0.000037
39936 , 39936 , -0.004988 , 0.007164, 0.000011, 0.000035
40960 , 40960 , -0.004864 , 0.006985, 0.000010, 0.000033
41984 , 41984 , -0.004745 , 0.006815, 0.000009, 0.000031
43008 , 43008 , -0.004632 , 0.006653, 0.000008, 0.000029
44032 , 44032 , -0.004524 , 0.006498, 0.000008, 0.000027
45056 , 45056 , -0.004421 , 0.006350, 0.000007, 0.000026
46080 , 46080 , -0.004323 , 0.006209, 0.000007, 0.000024
47104 , 47104 , -0.004229 , 0.006074, 0.000006, 0.000023
48128 , 48128 , -0.004139 , 0.005945, 0.000006, 0.000022
49152 , 49152 , -0.004053 , 0.005821, 0.000005, 0.000021
50176 , 50176 , -0.003970 , 0.005702, 0.000005, 0.000020
51200 , 51200 , -0.003891 , 0.005588, 0.000005, 0.000019
52224 , 52224 , -0.003815 , 0.005479, 0.000004, 0.000018
53248 , 53248 , -0.003741 , 0.005373, 0.000004, 0.000017
54272 , 54272 , -0.003671 , 0.005272, 0.000004, 0.000016
55296 , 55296 , -0.003603 , 0.005174, 0.000004, 0.000015
56320 , 56320 , -0.003537 , 0.005080, 0.000003, 0.000014
57344 , 57344 , -0.003474 , 0.004989, 0.000003, 0.000014
58368 , 58368 , -0.003413 , 0.004902, 0.000003, 0.000013
59392 , 59392 , -0.003354 , 0.004817, 0.000003, 0.000013
60416 , 60416 , -0.003297 , 0.004736, 0.000002, 0.000012
61440 , 61440 , -0.003242 , 0.004657, 0.000002, 0.000011
62464 , 62464 , -0.003189 , 0.004580, 0.000002, 0.000011
63488 , 63488 , -0.006276 , 0.009013, 0.000021, 0.000060
64512 , 64512 , -0.006176 , 0.008870, 0.000020, 0.000058
65536 , 65536 , -0.006080 , 0.008731, 0.000019, 0.000056
66560 , 66560 , -0.005986 , 0.008597, 0.000018, 0.000054
67584 , 67584 , -0.005895 , 0.008467, 0.000017, 0.000052
68608 , 68608 , -0.005807 , 0.008340, 0.000017, 0.000050
69632 , 69632 , -0.005722 , 0.008218, 0.000016, 0.000048
70656 , 70656 , -0.005639 , 0.008099, 0.000015, 0.000047
71680 , 71680 , -0.005558 , 0.007983, 0.000015, 0.000045
72704 , 72704 , -0.005480 , 0.007871, 0.000014, 0.000043
73728 , 73728 , -0.005404 , 0.007761, 0.000014, 0.000042
74752 , 74752 , -0.005330 , 0.007655, 0.000013, 0.000041
75776 , 75776 , -0.005258 , 0.007552, 0.000013, 0.000039
76800 , 76800 , -0.005188 , 0.007451, 0.000012, 0.000038
77824 , 77824 , -0.005120 , 0.007353, 0.000012, 0.000037
