trueR , trueI
-0.001721 , 0.001279
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
21845 , 27281 , 21845 , 0 ,0.0,0.0,2.9618410000000002e-06,1.635841e-06,4.597682e-06,0.0021442206043222325
43690 , 27284 , 43690 , 0 ,0.0,0.0,2.9618410000000002e-06,1.635841e-06,4.597682e-06,0.0021442206043222325
65535 , 27287 , 65535 , 1 ,0.0,0.0,2.9618410000000002e-06,1.635841e-06,4.597682e-06,0.0021442206043222325
87380 , 27287 , 87380 , 1 ,-0.001207,0.0,2.6419600000000015e-07,1.635841e-06,1.900037e-06,0.0013784182964543092
109225 , 27287 , 109225 , 2 ,-0.001824,0.002619,1.0609000000000003e-08,1.7955999999999996e-06,1.8062089999999996e-06,0.0013439527521456993
131070 , 27288 , 131070 , 2 ,-0.00152,0.002183,4.0401000000000006e-08,8.172160000000001e-07,8.576170000000001e-07,0.0009260761307797541
152915 , 27288 , 152915 , 2 ,-0.001303,0.001871,1.7472400000000016e-07,3.504640000000001e-07,5.251880000000003e-07,0.0007246985580225755
174760 , 27288 , 174760 , 2 ,-0.00114,0.001637,3.3756100000000015e-07,1.28164e-07,4.6572500000000016e-07,0.000682440473594584
196605 , 27288 , 196605 , 2 ,-0.00155,0.001455,2.924100000000005e-08,3.097599999999998e-08,6.021700000000003e-08,0.00024539152389599773
218450 , 27288 , 218450 , 2 ,-0.001395,0.00131,1.0627600000000007e-07,9.609999999999997e-10,1.0723700000000008e-07,0.0003274706093682303
240295 , 27288 , 240295 , 2 ,-0.001658,0.001191,3.9690000000000156e-09,7.743999999999995e-09,1.171300000000001e-08,0.00010822661410207754
262140 , 27288 , 262140 , 2 ,-0.00152,0.00121,4.0401000000000006e-08,4.761000000000007e-09,4.516200000000001e-08,0.00021251352898109808
283985 , 27288 , 283985 , 2 ,-0.001403,0.001117,1.0112400000000009e-07,2.624400000000001e-08,1.273680000000001e-07,0.0003568865365911134
305830 , 27289 , 305830 , 2 ,-0.001303,0.001871,1.7472400000000016e-07,3.504640000000001e-07,5.251880000000003e-07,0.0007246985580225755
327675 , 27289 , 327675 , 2 ,-0.001216,0.001746,2.5502500000000005e-07,2.1808899999999996e-07,4.7311400000000004e-07,0.0006878328285273974
349520 , 27289 , 349520 , 2 ,-0.00114,0.001637,3.3756100000000015e-07,1.28164e-07,4.6572500000000016e-07,0.000682440473594584
371365 , 27289 , 371365 , 2 ,-0.001609,0.001541,1.2544000000000026e-08,6.864400000000004e-08,8.118800000000006e-08,0.00028493508032532614
393210 , 27293 , 393210 , 2 ,-0.00152,0.001455,4.0401000000000006e-08,3.097599999999998e-08,7.137699999999999e-08,0.0002671647431829282
415055 , 34259 , 415055 , 3 ,-0.00144,0.002068,7.8961e-08,6.22521e-07,7.01482e-07,0.0008375452226596484
436900 , 34259 , 436900 , 3 ,-0.001368,0.001965,1.24609e-07,4.7059600000000025e-07,5.952050000000003e-07,0.0007714953013466772
458745 , 34260 , 458745 , 3 ,-0.001303,0.001871,1.7472400000000016e-07,3.504640000000001e-07,5.251880000000003e-07,0.0007246985580225755
480590 , 34260 , 480590 , 3 ,-0.002073,0.002381,1.2390400000000008e-07,1.2144039999999999e-06,1.338308e-06,0.0011568526267420583
502435 , 34260 , 502435 , 3 ,-0.001982,0.002278,6.812099999999986e-08,9.980010000000003e-07,1.066122e-06,0.0010325318397027764
524280 , 34260 , 524280 , 3 ,-0.0019,0.002729,3.204099999999997e-08,2.1025e-06,2.134541e-06,0.0014610068446109347
546125 , 34260 , 546125 , 4 ,-0.002,0.002619,7.784099999999998e-08,1.7955999999999996e-06,1.8734409999999996e-06,0.001368737009070771
567970 , 34260 , 567970 , 4 ,-0.002274,0.002519,3.058089999999999e-07,1.5376e-06,1.8434089999999998e-06,0.0013577219892157598
589815 , 34260 , 589815 , 4 ,-0.002189,0.002478,2.1902399999999988e-07,1.4376010000000005e-06,1.6566250000000004e-06,0.0012870994522568954
611660 , 34260 , 611660 , 4 ,-0.00228,0.002857,3.124809999999998e-07,2.4900840000000005e-06,2.802565e-06,0.0016740863179657136
633505 , 34260 , 633505 , 4 ,-0.002201,0.002759,2.3039999999999976e-07,2.1904000000000007e-06,2.4208000000000006e-06,0.0015558920271021382
655350 , 34260 , 655350 , 4 ,-0.002128,0.003056,1.6564900000000003e-07,3.1577290000000004e-06,3.3233780000000005e-06,0.0018230134393360901
677195 , 34260 , 677195 , 4 ,-0.002059,0.002957,1.1424399999999999e-07,2.815684e-06,2.929928e-06,0.001711703245308602
699040 , 39601 , 699040 , 4 ,-0.001995,0.002865,7.507599999999984e-08,2.515396e-06,2.5904719999999997e-06,0.0016094943305274485
720885 , 40673 , 720885 , 4 ,-0.001934,0.002778,4.536899999999994e-08,2.2470010000000005e-06,2.2923700000000003e-06,0.0015140574625819195
742730 , 40680 , 742730 , 6 ,-0.001878,0.002697,2.464899999999994e-08,2.0107240000000007e-06,2.0353730000000008e-06,0.0014266649922108556
764575 , 40680 , 764575 , 6 ,-0.001824,0.002619,1.0609000000000003e-08,1.7955999999999996e-06,1.8062089999999996e-06,0.0013439527521456993
786420 , 40680 , 786420 , 6 ,-0.001895,0.002547,3.027599999999996e-08,1.6078239999999995e-06,1.6380999999999994e-06,0.0012798828071350905
808265 , 40680 , 808265 , 7 ,-0.001844,0.002478,1.5128999999999963e-08,1.4376010000000005e-06,1.4527300000000005e-06,0.0012052924956208765
830110 , 40680 , 830110 , 7 ,-0.00192,0.002757,3.9600999999999985e-08,2.184484e-06,2.224085e-06,0.0014913366487818904
851955 , 40680 , 851955 , 7 ,-0.001871,0.002687,2.2499999999999986e-08,1.9824640000000004e-06,2.004964e-06,0.0014159675137516397
873800 , 40680 , 873800 , 7 ,-0.001934,0.002619,4.536899999999994e-08,1.7955999999999996e-06,1.8409689999999996e-06,0.0013568231277509976
895645 , 40680 , 895645 , 7 ,-0.001887,0.002556,2.7555999999999972e-08,1.6307290000000003e-06,1.6582850000000003e-06,0.001287744151607764
917490 , 40681 , 917490 , 7 ,-0.002059,0.002495,1.1424399999999999e-07,1.4786559999999996e-06,1.5928999999999996e-06,0.0012621014222319851
939335 , 47231 , 939335 , 7 ,-0.002011,0.002437,8.410000000000006e-08,1.3409639999999998e-06,1.4250639999999998e-06,0.0011937604449804827
961180 , 47231 , 961180 , 7 ,-0.001965,0.002381,5.953600000000004e-08,1.2144039999999999e-06,1.2739399999999998e-06,0.0011286895055771537
983025 , 47231 , 983025 , 7 ,-0.001922,0.002328,4.0401000000000006e-08,1.1004010000000005e-06,1.1408020000000006e-06,0.001068083330082443
1004870 , 47231 , 1004870 , 7 ,-0.00188,0.002278,2.5280999999999954e-08,9.980010000000003e-07,1.0232820000000001e-06,0.0010115740210187292
1026715 , 47231 , 1026715 , 7 ,-0.00184,0.002229,1.4160999999999992e-08,9.025000000000003e-07,9.166610000000002e-07,0.0009574241484316135
1048560 , 47232 , 1048560 , 7 ,-0.001801,0.002183,6.3999999999999986e-09,8.172160000000001e-07,8.236160000000001e-07,0.0009075329195131161
1070405 , 47232 , 1070405 , 9 ,-0.001765,0.002406,1.9359999999999987e-09,1.2701290000000005e-06,1.2720650000000006e-06,0.0011278585904270094
1092250 , 47232 , 1092250 , 9 ,-0.001729,0.002358,6.399999999999964e-11,1.1642409999999997e-06,1.1643049999999997e-06,0.001079029656682336
1114095 , 47232 , 1114095 , 9 ,-0.001696,0.002311,6.250000000000033e-10,1.0650240000000002e-06,1.0656490000000003e-06,0.00103230276566519
1135940 , 47232 , 1135940 , 10 ,-0.001663,0.002015,3.3640000000000128e-09,5.416959999999998e-07,5.450599999999998e-07,0.0007382817890209671
1157785 , 47232 , 1157785 , 11 ,-0.001632,0.002224,7.921000000000018e-09,8.930249999999998e-07,9.009459999999998e-07,0.0009491817528798159
1179630 , 53759 , 1179630 , 13 ,-0.001858,0.002668,1.876899999999999e-08,1.9293209999999994e-06,1.9480899999999993e-06,0.0013957399471248215
1201475 , 53759 , 1201475 , 13 ,-0.001824,0.002619,1.0609000000000003e-08,1.7955999999999996e-06,1.8062089999999996e-06,0.0013439527521456993
1223320 , 53759 , 1223320 , 13 ,-0.001791,0.002573,4.899999999999995e-09,1.6744360000000006e-06,1.6793360000000005e-06,0.001295891970806209
1245165 , 53759 , 1245165 , 13 ,-0.00192,0.002757,3.9600999999999985e-08,2.184484e-06,2.224085e-06,0.0014913366487818904
1267010 , 53759 , 1267010 , 13 ,-0.001887,0.00271,2.7555999999999972e-08,2.0477610000000005e-06,2.0753170000000005e-06,0.0014405960571929942
1288855 , 53759 , 1288855 , 13 ,-0.001855,0.002664,1.7956000000000002e-08,1.9182250000000006e-06,1.9361810000000007e-06,0.0013914672112558027
1310700 , 53759 , 1310700 , 13 ,-0.001824,0.002619,1.0609000000000003e-08,1.7955999999999996e-06,1.8062089999999996e-06,0.0013439527521456993
1332545 , 53759 , 1332545 , 13 ,-0.001794,0.002577,5.32899999999999e-09,1.6848039999999996e-06,1.6901329999999996e-06,0.001300051152839764
1354390 , 53760 , 1354390 , 13 ,-0.001765,0.002535,1.9359999999999987e-09,1.5775359999999999e-06,1.579472e-06,0.0012567704643251288
1376235 , 60311 , 1376235 , 13 ,-0.001737,0.002495,2.5599999999999855e-10,1.4786559999999996e-06,1.4789119999999996e-06,0.0012161052586022313
1398080 , 60312 , 1398080 , 13 ,-0.00171,0.002456,1.2100000000000349e-10,1.3853289999999996e-06,1.3854499999999996e-06,0.001177051400746798
1419925 , 60312 , 1419925 , 13 ,-0.001684,0.002418,1.3690000000000105e-09,1.297321e-06,1.29869e-06,0.0011396008073005213
1441770 , 60315 , 1441770 , 13 ,-0.001658,0.002381,3.9690000000000156e-09,1.2144039999999999e-06,1.218373e-06,0.0011037993477077254
1463615 , 60315 , 1463615 , 13 ,-0.001769,0.002541,2.303999999999987e-09,1.5926439999999997e-06,1.5949479999999998e-06,0.0012629125068665682
