trueR , trueI
-0.002738 , -0.009095
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
5461 , 32916 , 49149 , 5538 ,-0.002816,-0.011453,6.083999999999991e-09,5.560163999999995e-06,5.5662479999999956e-06,0.002359289723624463
10922 , 38122 , 98298 , 11050 ,-0.002253,-0.007004,2.3522500000000018e-07,4.3722810000000035e-06,4.6075060000000035e-06,0.0021465101909844274
16383 , 38143 , 147447 , 16578 ,-0.001719,-0.005417,1.0383609999999999e-06,1.3527684000000006e-05,1.4566045000000006e-05,0.003816548833697796
21844 , 38151 , 196596 , 22113 ,-0.001993,-0.0062,5.55025e-07,8.381025000000005e-06,8.936050000000006e-06,0.002989322665755573
27305 , 38157 , 245745 , 27631 ,-0.001688,-0.005298,1.1024999999999998e-06,1.4417209000000006e-05,1.5519709000000005e-05,0.0039395061873285595
32766 , 38163 , 294894 , 33155 ,-0.001707,-0.005364,1.062961e-06,1.3920361000000006e-05,1.4983322000000006e-05,0.003870829626837121
38227 , 38169 , 344043 , 38672 ,-0.001635,-0.005112,1.2166090000000002e-06,1.5864289000000003e-05,1.7080898000000002e-05,0.004132904305691096
43688 , 38175 , 393192 , 44198 ,-0.001883,-0.005922,7.310250000000001e-07,1.0067929000000003e-05,1.0798954000000004e-05,0.0032861761973454807
49149 , 38181 , 442341 , 49733 ,-0.002082,-0.006544,4.3033599999999986e-07,6.507601000000001e-06,6.937937000000001e-06,0.002633996393315678
54610 , 38192 , 491490 , 55268 ,-0.002232,-0.00695,2.5603599999999995e-07,4.601025000000005e-06,4.857061000000005e-06,0.0022038740889624353
60071 , 38198 , 540639 , 60803 ,-0.00234,-0.007322,1.5840399999999994e-07,3.143529000000001e-06,3.301933000000001e-06,0.0018171221753090793
65532 , 38204 , 589788 , 66327 ,-0.002205,-0.00692,2.840890000000001e-07,4.7306250000000035e-06,5.014714000000004e-06,0.0022393557109132984
70993 , 38210 , 638937 , 71868 ,-0.002487,-0.007725,6.300099999999996e-08,1.8769000000000015e-06,1.9399010000000014e-06,0.001392803288336153
76454 , 38216 , 688086 , 77419 ,-0.002348,-0.007293,1.5210000000000012e-07,3.2472040000000022e-06,3.3993040000000024e-06,0.0018437201523007775
81915 , 38222 , 737235 , 82953 ,-0.002381,-0.007406,1.2744900000000007e-07,2.8527210000000014e-06,2.9801700000000016e-06,0.0017263168886389316
87376 , 38228 , 786384 , 88475 ,-0.002417,-0.007533,1.0304100000000007e-07,2.439844000000003e-06,2.542885000000003e-06,0.0015946425931850695
92837 , 38234 , 835533 , 94003 ,-0.002491,-0.007754,6.100899999999991e-08,1.7982810000000029e-06,1.8592900000000028e-06,0.0013635578462243554
98298 , 38240 , 884682 , 99541 ,-0.002679,-0.008326,3.4810000000000028e-09,5.913610000000009e-07,5.948420000000008e-07,0.0007712600080387942
103759 , 38246 , 933831 , 105062 ,-0.002687,-0.008354,2.6009999999999826e-09,5.490810000000005e-07,5.516820000000005e-07,0.000742752987203687
109220 , 38252 , 982980 , 110587 ,-0.002695,-0.008384,1.849000000000006e-09,5.055209999999998e-07,5.073699999999998e-07,0.0007122990944820861
