n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
16384,52150,360448,12765,0.007667001666666667,-0.0020789366333333332,0.000121764123,2.254242315304743e-08
32768,52160,720896,25562,0.003511815333333333,0.0013776104666666665,4.5425986899999995e-05,9.810401113142262e-10
49152,52206,1081344,38320,0.002957018666666667,0.0014461863333333335,4.32601706e-05,8.676255623073478e-10
65536,52224,1441792,51127,0.004364784666666666,0.0005131809133333332,3.2008560913333334e-05,6.061946235727879e-10
81920,52262,1802240,63886,0.0003007669000000002,-0.0024473103333333334,8.228584200000001e-05,6.340845843773791e-09
98304,52278,2162688,76635,0.000166534,-0.0014067790000000001,6.828729333333332e-05,2.5639829725960235e-09
114688,52279,2523136,89399,-0.0003663660000000002,-0.00045043936666666645,5.235961063333334e-05,1.946315742800048e-09
131072,52280,2883584,102141,-0.00036301933333333344,-0.0004357616666666667,4.853347566666667e-05,1.3205008361910981e-09
147456,52316,3244032,114913,-0.0002622183333333336,-0.00014854226666666668,4.128084983333333e-05,9.713169248604902e-10
163840,52334,3604480,127685,-0.0020472583333333333,0.000641484,4.433608796666666e-05,3.24073795417532e-10
180224,52344,3964928,140411,-0.003423577,2.0085966666666616e-05,5.9693957666666657e-05,1.7316215642248475e-10
196608,52360,4325376,153143,-0.0025316149999999996,-0.00013104536666666666,4.6375315333333334e-05,9.312655347329397e-11
212992,52361,4685824,165943,-0.0016826613000000001,-0.0002037916666666667,3.7104568e-05,9.987828593973795e-11
229376,52396,5046272,178709,-0.0013155279,-2.801766666666665e-05,3.251989466666666e-05,4.4523404010886517e-11
245760,52411,5406720,191487,-0.0009603633666666667,-6.55538e-05,2.7916212e-05,3.380611424909606e-11
262144,52425,5767168,204257,-0.0007913139566666667,5.8771066666666725e-05,2.5328225333333334e-05,4.001702661640544e-11
278528,52437,6127616,217026,-0.0004459142,5.099146666666673e-05,2.283196366666667e-05,2.730194371472943e-11
294912,52442,6488064,229866,-0.0002733464666666667,0.00012056446666666666,2.1468816999999997e-05,1.9570241301688945e-11
311296,52444,6848512,242601,1.89074e-05,9.914173333333341e-05,1.9794140666666666e-05,2.3385684796512916e-11
327680,52446,7208960,255347,0.00010087536666666666,0.00013722693333333334,1.9485511000000002e-05,3.3154591927920565e-11
344064,52452,7569408,268130,0.0003132182333333333,3.6366333333333365e-05,1.7620532333333332e-05,1.8411501128724346e-11
360448,52468,7929856,280903,0.0003669202,5.341599999999985e-05,1.6857729333333332e-05,1.7897514468779548e-11
376832,52477,8290304,293659,0.0005355104866666666,7.871466666666659e-05,1.5165358333333332e-05,1.1489208967408263e-11
393216,52485,8650752,306446,0.0005466316333333334,0.0001806012333333333,1.4142271999999998e-05,5.030296894400693e-12
409600,52488,9011200,319202,0.0007138459,0.00014459576666666675,1.3029982333333335e-05,4.5561288464668156e-12
425984,52496,9371648,331991,0.0006826107,0.00022948269999999995,1.2418416333333335e-05,3.3314733784802054e-12
442368,52511,9732096,344794,0.0010152401666666667,9.531683333333335e-05,1.0245190999999998e-05,3.3480467085869686e-13
458752,52512,10092544,357556,0.0010757435,0.00012135356666666661,9.673086e-06,1.0657058351666002e-13
475136,52516,10452992,370293,0.0012837629666666666,0.00037472066666666674,8.568915666666666e-06,6.4034747064269e-12
491520,52524,10813440,383037,0.0012436048333333333,0.0012814836000000001,8.393269e-06,6.755934581318019e-12
507904,52525,11173888,395798,0.0014130006666666667,0.0013312208333333333,6.8853931333333334e-06,7.129698793250167e-12
524288,52530,11534336,408643,0.0015966243333333334,0.0013093739666666666,6.081927500000001e-06,5.001979350656157e-12
540672,52532,11894784,421409,0.0017680333333333334,0.0011942993666666667,5.035892266666667e-06,2.179878763658641e-12
