n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
16384,69773,360448,12811,0.006301036699999999,-0.0011410893333333335,3.504950966666667e-05,9.922225770095198e-10
32768,69789,720896,25548,0.0029328656666666665,0.0030494439899999997,5.6353174433333325e-05,8.513708188710048e-10
49152,69798,1081344,38300,0.006342421333333333,0.004313722666666666,6.316762633333333e-05,5.974335886674134e-10
65536,69815,1441792,51041,0.004909391666666666,0.004254349566666667,3.508743866666666e-05,6.922722644992296e-10
81920,69851,1802240,63829,0.0033466836666666664,0.003903517066666667,3.980692333333333e-05,1.3534905849370746e-09
98304,69870,2162688,76659,0.0031759,-0.00037969020000000014,5.817768270000001e-05,1.2625443561492787e-09
114688,69880,2523136,89423,0.002998704333333333,-0.00012101220000000005,4.1163927066666664e-05,6.862783619501643e-10
131072,69880,2883584,102193,0.0027309110666666665,0.0003422556666666668,2.9448320900000003e-05,4.1273519814215346e-10
147456,69891,3244032,114949,0.0030494586666666664,0.00013969666666666675,2.095125696e-05,2.5046261606395424e-10
163840,69896,3604480,127720,0.0028653976666666663,0.00030909933333333334,1.8987344066666667e-05,1.7979312170475648e-10
180224,69917,3964928,140512,0.0031609949999999998,0.0001619266666666667,1.52841269e-05,1.3035192926558416e-10
196608,69921,4325376,153286,0.003718375,0.0007853539999999998,1.694181549e-05,1.389268136904022e-10
212992,69928,4685824,166112,0.0041154853333333335,0.0003236779700000002,1.5202463966666667e-05,8.55076033740886e-11
229376,69938,5046272,178906,0.004331685,0.00026913781333333327,1.4038862566666664e-05,6.592834478359228e-11
245760,69939,5406720,191753,0.005049784,0.0006746619666666668,1.73885292e-05,1.3286318609331596e-10
262144,69960,5767168,204524,0.005048373666666666,0.0005458055,1.4689680633333333e-05,7.595549827874305e-11
278528,69963,6127616,217323,0.004871329333333333,0.0004508916000000001,1.3477204833333334e-05,5.142530426600673e-11
294912,69972,6488064,230090,0.004941511333333333,0.0003334238333333333,1.1418248766666668e-05,3.363559380860297e-11
311296,69975,6848512,242896,0.004711522,0.00035209056666666666,1.0343098473333335e-05,3.346053967154477e-11
327680,69990,7208960,255607,0.004426669333333333,0.0005196970966666666,9.065238567e-06,3.096890765111829e-11
344064,70008,7569408,268378,0.004205481333333334,0.0006093502999999999,8.086336626666668e-06,2.8999479142628717e-11
360448,70014,7929856,281114,0.004228291,0.0006453367333333332,7.537358103333333e-06,2.5506417180032956e-11
376832,70018,8290304,293947,0.004115735,0.0002757130999999999,4.7999782e-06,1.5807887133833147e-11
393216,70041,8650752,306722,0.004076265,0.0003056844999999999,5.071019432533333e-06,1.5551643345972875e-11
409600,70044,9011200,319516,0.0041339183333333335,0.0002151335999999999,4.806537518666667e-06,1.5085327543037468e-11
425984,70048,9371648,332288,0.004141585,0.00017283456666666668,4.847347076666666e-06,1.509211104443212e-11
442368,70049,9732096,345097,0.004136479666666667,0.00021406986666666674,5.3276094133333335e-06,2.0004570242738083e-11
458752,70048,10092544,357882,0.0034844903333333334,1.3817333333333327e-05,6.728969434666668e-06,4.0834739004141246e-11
475136,70064,10452992,370651,0.003669246333333333,-8.811280000000007e-05,6.51988356e-06,4.0094222196117474e-11
491520,70070,10813440,383425,0.0035837219999999997,3.003913333333331e-05,5.745527901333334e-06,3.0498285782208253e-11
507904,70081,11173888,396158,0.0035181253333333336,-1.094143333333329e-05,5.549752271333334e-06,3.1632746151223195e-11
524288,70093,11534336,408971,0.0035261106666666666,0.0003189506666666667,4.67223754e-06,1.8622365712578417e-11
540672,70114,11894784,421677,0.0033628919999999997,0.00024211836666666658,4.3315639728e-06,1.8338550471805134e-11
557056,70116,12255232,434466,0.0032746776666666665,0.0002703842999999999,4.290434011666667e-06,1.7435827272295545e-11
573440,70121,12615680,447219,0.0032928016666666665,0.00010255653333333329,3.184108096666667e-06,1.5774772183160922e-11
589824,70126,12976128,459998,0.0033373553333333333,6.38607333333334e-05,3.108856076666666e-06,1.500246858050165e-11
606208,70126,13336576,472873,0.003290146666666667,0.00024509410000000004,2.8227961293333334e-06,9.03122259797893e-12
622592,70127,13697024,485674,0.0034645060000000004,0.00014398090000000002,2.7315351408333335e-06,8.264807270275527e-12
638976,70130,14057472,498454,0.003152268333333333,0.0009417441666666667,1.8233062333333335e-06,2.3028753357663964e-12
655360,70131,14417920,511190,0.003137084666666667,0.0009279363666666666,1.7052879433333333e-06,2.0327807740389795e-12
671744,70150,14778368,523922,0.003268637333333333,-1.2716500000000062e-05,4.481424183333334e-06,1.3530191729999994e-11
688128,70158,15138816,536720,0.005884010333333334,-0.0030672591333333332,3.807886678333333e-05,2.2228999089496705e-09
704512,70160,15499264,549449,0.005989206666666666,-0.0038148951666666666,5.005101059e-05,4.071407369181225e-09
720896,70162,15859712,562191,0.005851319333333333,-0.003707184133333333,4.626170616333334e-05,3.43013365584717e-09
737280,70165,16220160,574982,0.005687458,-0.0035300961333333335,4.3141590643333334e-05,2.98483449600442e-09
753664,70165,16580608,587764,0.005734621,-0.003471251433333333,4.2211379603e-05,2.8781634260696973e-09
770048,70169,16941056,600606,0.0059325206666666665,-0.0030915249999999995,4.033408431633334e-05,2.613721047987158e-09
786432,70182,17301504,613367,0.005876939,-0.0030127813999999997,3.760622552e-05,2.2308714866799485e-09
802816,70191,17661952,626076,0.0057440830000000005,-0.0029599098333333335,3.578267150666666e-05,2.0439473950049943e-09
819200,70196,18022400,638853,0.005689403,-0.0028656555666666667,3.472078318633333e-05,1.959208371383905e-09
835584,70200,18382848,651591,0.005778629666666667,-0.0028762542333333335,3.523186777666667e-05,2.0133653620105473e-09
851968,70227,18743296,664427,0.005655009333333333,-0.002772487166666667,3.2999518313333334e-05,1.7545664268225599e-09
868352,70243,19103744,677252,0.0055895143333333334,-0.0026800961666666664,3.082439490333333e-05,1.504059880731899e-09
884736,70261,19464192,690009,0.005692970333333334,-0.0026337181666666667,3.0273907613333336e-05,1.429559697781953e-09
901120,70269,19824640,702777,0.005797363,-0.002625513066666667,2.9410140686666667e-05,1.3914463087639863e-09
917504,70277,20185088,715568,0.0057769456666666675,-0.0025257180333333336,2.798527611e-05,1.2828717205059572e-09
933888,70288,20545536,728309,0.005744478333333333,-0.0024703137666666664,2.626240523e-05,1.109156136948886e-09
950272,70300,20905984,741069,0.005529419333333334,-0.0023765905666666668,2.1689825833333333e-05,7.025134518203709e-10
966656,70301,21266432,753835,0.0054200026666666665,-0.0025889018,2.359408843333333e-05,8.493910802981061e-10
983040,70356,21626880,766622,0.005399998,-0.0025591334000000005,2.342780246666667e-05,8.44299512913099e-10
999424,70562,21987328,779431,0.005366688666666667,-0.002515174733333333,2.249384243333333e-05,7.745212294373712e-10
1015808,71287,22347776,792170,0.005356359000000001,-0.0024857525333333336,2.21950518e-05,7.567151663304433e-10
1032192,71340,22708224,804953,0.005531586666666667,-0.0025829802666666665,2.3206770385033335e-05,6.560463493250984e-10
1048576,71363,23068672,817699,0.005575731333333334,-0.002560871566666667,2.2878177313820002e-05,6.243126583709206e-10
1064960,71377,23429120,830523,0.005704534333333334,-0.002589393666666667,2.304341785666667e-05,6.072266510660439e-10
1081344,71398,23789568,843170,0.005724053333333333,-0.0025810913,2.3148790246666664e-05,6.248445176475808e-10
1097728,71404,24150016,855944,0.005690858666666666,-0.002537332533333333,2.2026981486666665e-05,5.443251984920326e-10
1114112,71407,24510464,868735,0.005857226333333333,-0.0023983248999999997,2.2154326949999997e-05,6.075922024939603e-10
1130496,71411,24870912,881469,0.005818599333333333,-0.002345325133333333,2.131897270333333e-05,5.686458401055129e-10
1146880,71434,25231360,894244,0.005769271666666666,-0.0023193988666666662,2.08098604e-05,5.497815353668164e-10
1163264,71435,25591808,906945,0.005710234666666667,-0.0022797809,1.996394236e-05,5.019547096679705e-10
1179648,71447,25952256,919747,0.005306907,-0.0024030054000000003,1.8220502083333332e-05,3.335220305288817e-10
1196032,71480,26312704,932584,0.005315515333333333,-0.002383747733333333,1.7777487763333334e-05,3.0942459564570375e-10
1212416,71486,26673152,945364,0.0053588,-0.0023265990666666665,1.7232411633333333e-05,2.96496263778788e-10
1228800,71507,27033600,958084,0.005325704666666667,-0.0022791347999999998,1.6678650099999998e-05,2.8267038773664654e-10
1245184,71511,27394048,970795,0.005293019666666667,-0.0022427784666666666,1.633856223333333e-05,2.7496058487678594e-10
