n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
16384,32492,16384,0,-0.000518744333333333,0.0027564000000000004,0.00011481459736666667,1.649431370485117e-08
32768,32493,32768,1,0.0008182764666666665,0.002199112,2.3122443300000003e-05,1.584394631177616e-10
49152,32512,49152,3,0.0021552976666666668,0.0016418253333333336,2.008034833333333e-05,3.4593457352232965e-10
65536,32537,65536,5,0.004829340333333334,0.0005272519,4.554279799999999e-06,4.378406069532847e-13
81920,32539,81920,6,0.004933088666666667,-2.402799999999994e-05,8.810192033333334e-06,8.460339434899412e-11
98304,32539,98304,7,0.004915797666666667,6.785206666666667e-05,2.339422061e-06,1.7388550257654225e-12
114688,32550,114688,7,0.004213540333333334,5.8158933333333337e-05,9.434016200000001e-07,9.140036200888565e-13
131072,32554,131072,9,0.004503123,0.003541693976666666,3.1491676636666667e-05,1.8321461588587993e-09
147456,32555,147456,10,0.003590383666666667,0.003884547433333333,3.021147263e-05,1.762813158256758e-09
163840,32561,163840,11,0.004033558,0.0031617203,2.5545940933333338e-05,1.039910979088493e-09
180224,32565,180224,12,0.004105902000000001,0.002922223033333333,1.9046885000000005e-05,5.157312597556259e-10
196608,32565,196608,13,0.003720514666666666,0.0029084041666666664,1.5184538666666665e-05,3.501545514527002e-10
212992,32566,212992,14,0.003148818666666666,0.0031944784000000003,1.567979817e-05,1.994343361974576e-10
229376,32565,229376,15,0.003496912333333334,0.002727464366666667,1.3746528500000001e-05,1.0524129558594349e-10
245760,32566,245760,16,0.003976862666666667,0.0022484138666666667,1.1788746000000002e-05,5.1635202737585964e-11
262144,32573,262144,17,0.0038630150000000005,0.002210502,1.1778898466666666e-05,2.4119105048943098e-11
278528,32577,278528,18,0.0036052644000000005,0.002242613233333333,1.2135258333333334e-05,2.348017509382421e-11
294912,32582,294912,19,0.0038506459999999997,0.0019322613333333334,1.0234624666666665e-05,7.932415827947561e-12
311296,32585,311296,19,0.0037887193333333326,0.001771902,9.774529e-06,3.489459279688658e-12
327680,32584,327680,20,0.0037070479999999997,0.0017653983333333334,8.682015866666668e-06,5.218370300511083e-12
344064,32585,344064,21,0.0035058199666666667,0.0018125883333333336,9.198383566666666e-06,1.1091930284917373e-11
360448,32585,360448,22,0.0022563883333333334,0.0008086746333333334,2.4286663941733333e-05,5.36562371956932e-10
376832,32588,376832,24,0.002090622,0.001133045,2.6056603000000002e-05,7.36013243530968e-10
393216,32589,393216,27,0.0022945393333333335,0.0011762133333333333,2.4831189666666667e-05,5.451573319846138e-10
409600,32595,409600,28,0.002288969666666667,0.001194838,2.3782144e-05,4.986308262733808e-10
425984,32602,425984,30,0.002346773,0.0013811923333333332,2.3314994333333333e-05,5.60715499761689e-10
442368,32609,442368,31,0.002339681666666667,0.0013908453333333333,2.4653541e-05,6.762327822343283e-10
458752,32611,458752,33,0.002428597666666666,0.0013600026666666664,2.4166912e-05,6.045420606688667e-10
475136,32612,475136,34,0.0024012859999999994,0.0014647688666666666,1.9039799633333332e-05,4.2511588087540806e-10
491520,32611,491520,36,0.0031255989999999997,0.0018482697,2.4522847333333333e-05,2.956014728124863e-10
507904,32612,507904,37,0.003008039666666667,0.0018775646000000002,2.2073645333333334e-05,2.3444798561768096e-10
524288,32617,524288,39,0.0036321493999999996,0.0009274632000000003,1.4950744333333334e-05,5.855354333697687e-11
540672,32616,540672,39,0.0036031155666666668,0.0008655831333333333,1.4162418000000001e-05,5.453934530792065e-11
557056,32616,557056,40,0.0033879785666666665,0.0010350474999999998,1.4793221666666668e-05,5.8026464124933514e-11
573440,32617,573440,41,0.0035203832766666668,0.0009099395333333335,1.3530753e-05,4.993410618347262e-11
589824,32631,589824,42,0.0034968736333333334,0.0008537032,1.2397034666666668e-05,4.2915303504996195e-11
606208,32633,606208,43,0.0035328864333333335,0.0008448803000000001,1.1814544999999998e-05,3.908533818792073e-11
622592,32636,622592,45,0.0037917632666666663,0.0006759922333333335,1.0358576666666668e-05,3.2208541398142904e-11
638976,32637,638976,47,0.0036546354999999996,0.0008706895999999999,9.4306267e-06,3.785840260984385e-11
655360,32637,655360,47,0.003696971333333333,0.0007931937000000001,8.873186866666666e-06,3.044913728382285e-11
671744,32649,671744,48,0.003737242333333333,0.0007194783333333334,8.277767933333333e-06,2.7029195389576287e-11
688128,32649,688128,48,0.0035722419999999998,0.0007945135666666669,8.240784433333333e-06,2.789412473485124e-11
704512,32654,704512,50,0.003465039,0.0009042411999999998,8.3097974e-06,2.992906029806021e-11
720896,32658,720896,51,0.003556819666666667,0.0008703423633333334,7.626722133333333e-06,2.6130431040992985e-11
