trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,69773,360448,12837,5.873851e-04,1.661420e-03,9.353779e-06,1.114250e-06
32768,69789,720896,25600,-5.688613e-03,1.162023e-03,8.713089e-05,3.093400e-07
49152,69798,1081344,38308,2.543673e-03,9.675543e-03,1.214639e-06,8.225950e-05
65536,69815,1441792,51126,1.740139e-03,8.890652e-03,3.631467e-06,6.863811e-05
81920,69851,1802240,63784,-2.205641e-03,8.195061e-03,3.423912e-05,5.759628e-05
98304,69870,2162688,76582,-1.999510e-03,7.664095e-03,3.186930e-05,4.981897e-05
114688,69880,2523136,89465,-1.032476e-03,6.809634e-03,2.188608e-05,3.848706e-05
131072,69880,2883584,102213,-1.972628e-04,5.937129e-03,1.476898e-05,2.842264e-05
147456,69891,3244032,114964,1.191431e-03,4.802248e-03,6.023829e-06,1.760984e-05
163840,69896,3604480,127781,1.056002e-03,4.371357e-03,6.706950e-06,1.417912e-05
180224,69917,3964928,140519,1.292948e-03,3.984062e-03,5.535817e-06,1.141238e-05
196608,69921,4325376,153257,3.121914e-03,5.660416e-03,2.744355e-07,2.554874e-05
212992,69928,4685824,166077,3.162172e-03,5.134368e-03,2.338768e-07,2.050757e-05
229376,69938,5046272,178901,2.967966e-03,4.773367e-03,4.594318e-07,1.736828e-05
245760,69939,5406720,191808,5.154836e-03,5.805575e-03,2.277249e-06,2.703724e-05
262144,69960,5767168,204548,5.163237e-03,5.253476e-03,2.302674e-06,2.160052e-05
278528,69963,6127616,217366,5.148117e-03,5.001036e-03,2.257018e-06,1.931775e-05
294912,69972,6488064,230189,5.388615e-03,4.431920e-03,3.037474e-06,1.463889e-05
311296,69975,6848512,242995,5.377646e-03,4.232031e-03,2.999360e-06,1.314926e-05
327680,69990,7208960,255686,4.979020e-03,4.243711e-03,1.777529e-06,1.323410e-05
344064,70008,7569408,268481,4.673319e-03,4.130081e-03,1.055837e-06,1.242027e-05
360448,70014,7929856,281129,4.515962e-03,4.012697e-03,7.572162e-07,1.160667e-05
376832,70018,8290304,294006,4.302415e-03,2.580159e-03,4.311690e-07,3.897937e-06
393216,70041,8650752,306736,4.006747e-03,2.809070e-03,1.302973e-07,4.854224e-06
409600,70044,9011200,319429,4.034467e-03,2.621447e-03,1.510772e-07,4.062672e-06
425984,70048,9371648,332204,3.948635e-03,2.615695e-03,9.172139e-08,4.039517e-06
442368,70049,9732096,345007,3.790749e-03,2.756951e-03,2.101600e-08,4.627278e-06
458752,70048,10092544,357735,3.685868e-03,2.764345e-03,1.607054e-09,4.659144e-06
475136,70064,10452992,370433,3.779338e-03,2.607941e-03,1.783772e-08,4.008409e-06
491520,70070,10813440,383205,3.681282e-03,2.540457e-03,1.260410e-09,3.742742e-06
507904,70081,11173888,396052,3.687913e-03,2.391994e-03,1.775192e-09,3.190345e-06
524288,70093,11534336,408859,3.854623e-03,2.170843e-03,4.361522e-08,2.449235e-06
540672,70114,11894784,421551,3.656415e-03,2.218324e-03,1.130984e-10,2.600103e-06
557056,70116,12255232,434293,3.566497e-03,2.244973e-03,6.285835e-09,2.686756e-06
573440,70121,12615680,447068,4.061003e-03,1.287183e-03,1.724103e-07,4.642286e-07
589824,70126,12976128,459766,4.028522e-03,1.293171e-03,1.464917e-07,4.724235e-07
606208,70126,13336576,472700,3.574768e-03,1.778771e-03,5.042763e-09,1.375768e-06
622592,70127,13697024,485507,3.629498e-03,1.697836e-03,2.650985e-10,1.192456e-06
638976,70130,14057472,498301,2.351613e-03,2.117278e-03,1.674870e-06,2.284444e-06
655360,70131,14417920,511129,2.385434e-03,2.059316e-03,1.588473e-06,2.112592e-06
671744,70150,14778368,523775,2.397080e-03,1.985733e-03,1.559252e-06,1.904104e-06
688128,70158,15138816,536548,1.024352e-02,-7.206112e-03,4.353014e-05,6.102659e-05
704512,70160,15499264,549352,1.012079e-02,-9.304393e-03,4.192578e-05,9.821272e-05
