trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,23096,16384,0,0.000000e+00,0.000000e+00,1.329171e-05,3.670421e-07
32768,23097,32768,1,4.011063e-03,-1.671860e-03,1.334319e-07,5.187918e-06
49152,23097,49152,2,5.348084e-03,-2.229147e-03,2.897840e-06,8.037151e-06
65536,23116,65536,5,5.627537e-03,-4.404911e-04,3.927360e-06,1.094809e-06
81920,23119,81920,7,7.710880e-03,-1.689881e-03,1.652504e-05,5.270335e-06
98304,23122,98304,8,4.829340e-03,5.272520e-04,1.400815e-06,6.176078e-09
114688,23133,114688,8,4.139434e-03,4.519303e-04,2.436943e-07,2.368821e-08
131072,23135,131072,9,4.624771e-03,-2.252607e-05,9.584232e-07,3.948439e-07
147456,23156,147456,10,3.046645e-03,1.270301e-03,3.589624e-07,4.415085e-07
163840,23165,163840,10,2.741981e-03,1.143271e-03,8.168530e-07,2.888319e-07
180224,23181,180224,12,2.351234e-03,1.791082e-03,1.675849e-06,1.404799e-06
196608,23190,196608,12,2.155298e-03,1.641825e-03,2.221538e-06,1.073266e-06
212992,23200,212992,15,1.132998e-03,3.044924e-03,6.314071e-06,5.949133e-06
229376,23206,229376,15,1.052070e-03,2.827430e-03,6.727332e-06,4.935462e-06
245760,23219,245760,16,1.516740e-03,2.416020e-03,4.532810e-06,3.276751e-06
262144,23231,262144,18,1.324679e-03,2.781843e-03,5.387508e-06,4.734990e-06
278528,23231,278528,19,6.833242e-04,3.301318e-03,8.776145e-06,7.265603e-06
294912,23247,294912,20,1.091036e-03,2.932149e-03,6.526720e-06,5.411716e-06
311296,23288,311296,20,1.033613e-03,2.777826e-03,6.823419e-06,4.717522e-06
327680,23289,327680,21,1.383038e-03,2.471749e-03,5.120000e-06,3.481615e-06
344064,23302,344064,22,8.610669e-04,2.907042e-03,7.754627e-06,5.295532e-06
360448,23310,360448,23,-3.906870e-03,6.182829e-04,5.704253e-05,1.548252e-10
376832,23340,376832,28,-4.288781e-03,1.815371e-03,6.295726e-05,1.462965e-06
393216,23350,393216,31,-3.840670e-03,1.944959e-03,5.604693e-05,1.793239e-06
409600,23355,409600,31,-3.687043e-03,1.867161e-03,5.377030e-05,1.590930e-06
425984,23357,425984,35,-3.664944e-03,2.431439e-03,5.344669e-05,3.332811e-06
442368,23415,442368,36,-3.883959e-03,2.771494e-03,5.669697e-05,4.690055e-06
458752,23431,458752,36,-3.745247e-03,2.672512e-03,5.462727e-05,4.271132e-06
