trueR , trueI
-0.089935 , -0.025509
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 5120 , -0.106641 , -0.030247, 0.000279, 0.000022
2048 , 10240 , -0.104078 , -0.029520, 0.000200, 0.000016
3072 , 15360 , -0.093406 , -0.026493, 0.000012, 0.000001
4096 , 20480 , -0.095560 , -0.027104, 0.000032, 0.000003
5120 , 25600 , -0.096950 , -0.027498, 0.000049, 0.000004
6144 , 30720 , -0.096828 , -0.027464, 0.000048, 0.000004
7168 , 35840 , -0.095567 , -0.027106, 0.000032, 0.000003
8192 , 40960 , -0.096802 , -0.027456, 0.000047, 0.000004
9216 , 46080 , -0.094548 , -0.026817, 0.000021, 0.000002
10240 , 51200 , -0.094830 , -0.026897, 0.000024, 0.000002
11264 , 56320 , -0.094119 , -0.026695, 0.000018, 0.000001
12288 , 61440 , -0.094383 , -0.026770, 0.000020, 0.000002
13312 , 66560 , -0.092560 , -0.026253, 0.000007, 0.000001
14336 , 71680 , -0.093882 , -0.026628, 0.000016, 0.000001
15360 , 76800 , -0.093092 , -0.026404, 0.000010, 0.000001
16384 , 81920 , -0.093520 , -0.026525, 0.000013, 0.000001
17408 , 87040 , -0.093802 , -0.026605, 0.000015, 0.000001
18432 , 92160 , -0.093283 , -0.026458, 0.000011, 0.000001
19456 , 97280 , -0.092840 , -0.026333, 0.000008, 0.000001
20480 , 102400 , -0.092099 , -0.026122, 0.000005, 0.000000
21504 , 107520 , -0.091440 , -0.025935, 0.000002, 0.000000
22528 , 112640 , -0.091732 , -0.026018, 0.000003, 0.000000
23552 , 117760 , -0.090873 , -0.025775, 0.000001, 0.000000
24576 , 122880 , -0.091873 , -0.026058, 0.000004, 0.000000
25600 , 128000 , -0.092017 , -0.026099, 0.000004, 0.000000
26624 , 133120 , -0.092236 , -0.026161, 0.000005, 0.000000
27648 , 138240 , -0.092080 , -0.026117, 0.000005, 0.000000
28672 , 143360 , -0.092925 , -0.026357, 0.000009, 0.000001
29696 , 148480 , -0.092749 , -0.026307, 0.000008, 0.000001
30720 , 153600 , -0.092627 , -0.026272, 0.000007, 0.000001
31744 , 158720 , -0.092327 , -0.026187, 0.000006, 0.000000
32768 , 163840 , -0.092177 , -0.026144, 0.000005, 0.000000
33792 , 168960 , -0.092118 , -0.026128, 0.000005, 0.000000
34816 , 174080 , -0.091891 , -0.026063, 0.000004, 0.000000
35840 , 179200 , -0.091767 , -0.026028, 0.000003, 0.000000
36864 , 184320 , -0.091604 , -0.025982, 0.000003, 0.000000
37888 , 189440 , -0.091456 , -0.025940, 0.000002, 0.000000
38912 , 194560 , -0.092007 , -0.026096, 0.000004, 0.000000
39936 , 199680 , -0.092298 , -0.026179, 0.000006, 0.000000
40960 , 204800 , -0.092860 , -0.026338, 0.000009, 0.000001
41984 , 209920 , -0.092134 , -0.026132, 0.000005, 0.000000
43008 , 215040 , -0.092440 , -0.026219, 0.000006, 0.000001
44032 , 220160 , -0.092244 , -0.026164, 0.000005, 0.000000
45056 , 225280 , -0.092413 , -0.026211, 0.000006, 0.000000
46080 , 230400 , -0.092100 , -0.026123, 0.000005, 0.000000
47104 , 235520 , -0.091866 , -0.026056, 0.000004, 0.000000
48128 , 240640 , -0.091532 , -0.025961, 0.000003, 0.000000
49152 , 245760 , -0.091801 , -0.026038, 0.000003, 0.000000
50176 , 250880 , -0.091378 , -0.025918, 0.000002, 0.000000
51200 , 256000 , -0.091445 , -0.025937, 0.000002, 0.000000
52224 , 261120 , -0.091479 , -0.025947, 0.000002, 0.000000
53248 , 266240 , -0.091365 , -0.025914, 0.000002, 0.000000
54272 , 271360 , -0.091777 , -0.026031, 0.000003, 0.000000
55296 , 276480 , -0.092246 , -0.026164, 0.000005, 0.000000
56320 , 281600 , -0.092338 , -0.026190, 0.000006, 0.000000
57344 , 286720 , -0.092039 , -0.026105, 0.000004, 0.000000
58368 , 291840 , -0.091940 , -0.026077, 0.000004, 0.000000
59392 , 296960 , -0.091509 , -0.025955, 0.000002, 0.000000
60416 , 302080 , -0.091519 , -0.025958, 0.000003, 0.000000
61440 , 307200 , -0.091142 , -0.025851, 0.000001, 0.000000
62464 , 312320 , -0.091093 , -0.025837, 0.000001, 0.000000
63488 , 317440 , -0.091131 , -0.025848, 0.000001, 0.000000
64512 , 322560 , -0.090801 , -0.025754, 0.000001, 0.000000
65536 , 327680 , -0.091075 , -0.025832, 0.000001, 0.000000
66560 , 332800 , -0.090818 , -0.025759, 0.000001, 0.000000
67584 , 337920 , -0.090524 , -0.025676, 0.000000, 0.000000
68608 , 343040 , -0.090960 , -0.025799, 0.000001, 0.000000
69632 , 348160 , -0.091437 , -0.025935, 0.000002, 0.000000
70656 , 353280 , -0.091212 , -0.025871, 0.000002, 0.000000
71680 , 358400 , -0.090891 , -0.025780, 0.000001, 0.000000
72704 , 363520 , -0.090875 , -0.025775, 0.000001, 0.000000
73728 , 368640 , -0.090999 , -0.025810, 0.000001, 0.000000
74752 , 373760 , -0.090810 , -0.025757, 0.000001, 0.000000
75776 , 378880 , -0.090888 , -0.025779, 0.000001, 0.000000
76800 , 384000 , -0.090636 , -0.025707, 0.000000, 0.000000
77824 , 389120 , -0.090735 , -0.025736, 0.000001, 0.000000
78848 , 394240 , -0.090507 , -0.025671, 0.000000, 0.000000
79872 , 399360 , -0.090425 , -0.025648, 0.000000, 0.000000
80896 , 404480 , -0.090010 , -0.025530, 0.000000, 0.000000
81920 , 409600 , -0.089913 , -0.025502, 0.000000, 0.000000
82944 , 414720 , -0.089902 , -0.025499, 0.000000, 0.000000
83968 , 419840 , -0.089970 , -0.025519, 0.000000, 0.000000
84992 , 424960 , -0.090153 , -0.025570, 0.000000, 0.000000
86016 , 430080 , -0.089890 , -0.025496, 0.000000, 0.000000
87040 , 435200 , -0.089603 , -0.025414, 0.000000, 0.000000
88064 , 440320 , -0.089744 , -0.025454, 0.000000, 0.000000
89088 , 445440 , -0.089688 , -0.025438, 0.000000, 0.000000
90112 , 450560 , -0.089661 , -0.025431, 0.000000, 0.000000
91136 , 455680 , -0.089558 , -0.025402, 0.000000, 0.000000
92160 , 460800 , -0.089513 , -0.025389, 0.000000, 0.000000
93184 , 465920 , -0.089569 , -0.025405, 0.000000, 0.000000
94208 , 471040 , -0.089695 , -0.025440, 0.000000, 0.000000
95232 , 476160 , -0.089560 , -0.025402, 0.000000, 0.000000
96256 , 481280 , -0.089480 , -0.025380, 0.000000, 0.000000
97280 , 486400 , -0.089657 , -0.025430, 0.000000, 0.000000
98304 , 491520 , -0.089795 , -0.025469, 0.000000, 0.000000
99328 , 496640 , -0.089698 , -0.025441, 0.000000, 0.000000
100352 , 501760 , -0.089625 , -0.025421, 0.000000, 0.000000
101376 , 506880 , -0.089583 , -0.025409, 0.000000, 0.000000
102400 , 512000 , -0.089578 , -0.025407, 0.000000, 0.000000
103424 , 517120 , -0.089475 , -0.025378, 0.000000, 0.000000
104448 , 522240 , -0.089285 , -0.025324, 0.000000, 0.000000
105472 , 527360 , -0.089404 , -0.025358, 0.000000, 0.000000
106496 , 532480 , -0.089297 , -0.025328, 0.000000, 0.000000
107520 , 537600 , -0.089367 , -0.025348, 0.000000, 0.000000
108544 , 542720 , -0.089202 , -0.025301, 0.000001, 0.000000
109568 , 547840 , -0.089199 , -0.025300, 0.000001, 0.000000
110592 , 552960 , -0.089205 , -0.025302, 0.000001, 0.000000
111616 , 558080 , -0.089446 , -0.025370, 0.000000, 0.000000
112640 , 563200 , -0.089512 , -0.025389, 0.000000, 0.000000
113664 , 568320 , -0.089585 , -0.025409, 0.000000, 0.000000
114688 , 573440 , -0.089339 , -0.025340, 0.000000, 0.000000
115712 , 578560 , -0.089240 , -0.025311, 0.000000, 0.000000
116736 , 583680 , -0.088973 , -0.025236, 0.000001, 0.000000
117760 , 588800 , -0.089156 , -0.025288, 0.000001, 0.000000
118784 , 593920 , -0.089252 , -0.025315, 0.000000, 0.000000
119808 , 599040 , -0.089245 , -0.025313, 0.000000, 0.000000
120832 , 604160 , -0.089268 , -0.025320, 0.000000, 0.000000
121856 , 609280 , -0.089113 , -0.025276, 0.000001, 0.000000
122880 , 614400 , -0.089157 , -0.025288, 0.000001, 0.000000
123904 , 619520 , -0.089076 , -0.025265, 0.000001, 0.000000
124928 , 624640 , -0.089024 , -0.025250, 0.000001, 0.000000
125952 , 629760 , -0.089111 , -0.025275, 0.000001, 0.000000
126976 , 634880 , -0.089138 , -0.025283, 0.000001, 0.000000
128000 , 640000 , -0.089021 , -0.025249, 0.000001, 0.000000
129024 , 645120 , -0.089154 , -0.025287, 0.000001, 0.000000
130048 , 650240 , -0.089194 , -0.025299, 0.000001, 0.000000
131072 , 655360 , -0.089093 , -0.025270, 0.000001, 0.000000
132096 , 660480 , -0.089023 , -0.025250, 0.000001, 0.000000
133120 , 665600 , -0.089013 , -0.025247, 0.000001, 0.000000
134144 , 670720 , -0.089223 , -0.025307, 0.000001, 0.000000
135168 , 675840 , -0.089327 , -0.025336, 0.000000, 0.000000
136192 , 680960 , -0.089282 , -0.025323, 0.000000, 0.000000
137216 , 686080 , -0.089398 , -0.025356, 0.000000, 0.000000
138240 , 691200 , -0.089406 , -0.025358, 0.000000, 0.000000
