trueR , trueI
0.028675 , -0.032617
n_samples , estimateR , estimateI, varianceR, varianceI
1024 , 0.033390 , 0.001439, 0.000022, 0.001160
2048 , 0.055917 , -0.046804, 0.000742, 0.000201
3072 , 0.038058 , -0.038369, 0.000088, 0.000033
4096 , 0.037670 , -0.031315, 0.000081, 0.000002
5120 , 0.019861 , -0.031822, 0.000078, 0.000001
6144 , 0.022845 , -0.033737, 0.000034, 0.000001
7168 , 0.023589 , -0.036192, 0.000026, 0.000013
8192 , 0.020075 , -0.031352, 0.000074, 0.000002
9216 , 0.023928 , -0.026321, 0.000023, 0.000040
10240 , 0.021083 , -0.024711, 0.000058, 0.000062
11264 , 0.021741 , -0.026340, 0.000048, 0.000039
12288 , 0.025081 , -0.032868, 0.000013, 0.000000
13312 , 0.023875 , -0.030730, 0.000023, 0.000004
14336 , 0.023197 , -0.029418, 0.000030, 0.000010
15360 , 0.026375 , -0.029746, 0.000005, 0.000008
16384 , 0.027363 , -0.027790, 0.000002, 0.000023
17408 , 0.023657 , -0.028027, 0.000025, 0.000021
18432 , 0.023172 , -0.028864, 0.000030, 0.000014
19456 , 0.026056 , -0.028388, 0.000007, 0.000018
20480 , 0.024240 , -0.028896, 0.000020, 0.000014
21504 , 0.020261 , -0.026379, 0.000071, 0.000039
22528 , 0.020828 , -0.028637, 0.000062, 0.000016
23552 , 0.018197 , -0.029764, 0.000110, 0.000008
24576 , 0.019427 , -0.030953, 0.000086, 0.000003
25600 , 0.023640 , -0.029564, 0.000025, 0.000009
26624 , 0.023708 , -0.030089, 0.000025, 0.000006
27648 , 0.022773 , -0.028475, 0.000035, 0.000017
28672 , 0.021200 , -0.028459, 0.000056, 0.000017
29696 , 0.018900 , -0.027237, 0.000096, 0.000029
30720 , 0.018375 , -0.025519, 0.000106, 0.000050
31744 , 0.019375 , -0.025681, 0.000086, 0.000048
32768 , 0.020139 , -0.026690, 0.000073, 0.000035
33792 , 0.021077 , -0.027871, 0.000058, 0.000023
34816 , 0.020634 , -0.029267, 0.000065, 0.000011
35840 , 0.020443 , -0.027033, 0.000068, 0.000031
36864 , 0.019151 , -0.026663, 0.000091, 0.000035
37888 , 0.018035 , -0.027339, 0.000113, 0.000028
38912 , 0.017372 , -0.030209, 0.000128, 0.000006
39936 , 0.019700 , -0.031073, 0.000081, 0.000002
40960 , 0.020755 , -0.031086, 0.000063, 0.000002
41984 , 0.021339 , -0.032300, 0.000054, 0.000000
43008 , 0.023556 , -0.030950, 0.000026, 0.000003
44032 , 0.023260 , -0.033086, 0.000029, 0.000000
45056 , 0.024652 , -0.033874, 0.000016, 0.000002
46080 , 0.026288 , -0.033544, 0.000006, 0.000001
47104 , 0.026277 , -0.035048, 0.000006, 0.000006
48128 , 0.026414 , -0.035294, 0.000005, 0.000007
49152 , 0.027019 , -0.035712, 0.000003, 0.000010
50176 , 0.025376 , -0.035949, 0.000011, 0.000011
51200 , 0.024531 , -0.036606, 0.000017, 0.000016
52224 , 0.024126 , -0.035634, 0.000021, 0.000009
53248 , 0.024642 , -0.036162, 0.000016, 0.000013
54272 , 0.023867 , -0.036258, 0.000023, 0.000013
55296 , 0.025007 , -0.037431, 0.000013, 0.000023
56320 , 0.025226 , -0.036880, 0.000012, 0.000018
57344 , 0.025039 , -0.037252, 0.000013, 0.000021
58368 , 0.024629 , -0.039033, 0.000016, 0.000041
59392 , 0.022983 , -0.038987, 0.000032, 0.000041
60416 , 0.020563 , -0.038191, 0.000066, 0.000031
61440 , 0.019828 , -0.036919, 0.000078, 0.000019
62464 , 0.020743 , -0.037423, 0.000063, 0.000023
63488 , 0.019877 , -0.037281, 0.000077, 0.000022
64512 , 0.019596 , -0.038766, 0.000082, 0.000038
65536 , 0.020032 , -0.038593, 0.000075, 0.000036
66560 , 0.019672 , -0.037893, 0.000081, 0.000028
67584 , 0.019557 , -0.038375, 0.000083, 0.000033
68608 , 0.020101 , -0.038634, 0.000074, 0.000036
69632 , 0.019844 , -0.039065, 0.000078, 0.000042
70656 , 0.020015 , -0.037958, 0.000075, 0.000029
71680 , 0.020373 , -0.038095, 0.000069, 0.000030
72704 , 0.020222 , -0.037913, 0.000071, 0.000028
73728 , 0.020698 , -0.037945, 0.000064, 0.000028
74752 , 0.020099 , -0.038011, 0.000074, 0.000029
75776 , 0.020157 , -0.037850, 0.000073, 0.000027
76800 , 0.019353 , -0.037766, 0.000087, 0.000027
77824 , 0.019514 , -0.037051, 0.000084, 0.000020
78848 , 0.020976 , -0.037998, 0.000059, 0.000029
79872 , 0.021370 , -0.038396, 0.000053, 0.000033
80896 , 0.020574 , -0.038426, 0.000066, 0.000034
81920 , 0.019238 , -0.038193, 0.000089, 0.000031
82944 , 0.018707 , -0.037875, 0.000099, 0.000028
83968 , 0.019387 , -0.037060, 0.000086, 0.000020
84992 , 0.019035 , -0.036634, 0.000093, 0.000016
86016 , 0.019280 , -0.037252, 0.000088, 0.000021
87040 , 0.019310 , -0.036483, 0.000088, 0.000015
88064 , 0.019785 , -0.036905, 0.000079, 0.000018
89088 , 0.020152 , -0.036711, 0.000073, 0.000017
90112 , 0.020131 , -0.036901, 0.000073, 0.000018
91136 , 0.020100 , -0.036922, 0.000074, 0.000019
92160 , 0.020096 , -0.036161, 0.000074, 0.000013
93184 , 0.019876 , -0.035865, 0.000077, 0.000011
94208 , 0.020398 , -0.035674, 0.000069, 0.000009
95232 , 0.020426 , -0.035888, 0.000068, 0.000011
96256 , 0.020074 , -0.036616, 0.000074, 0.000016
97280 , 0.019631 , -0.036503, 0.000082, 0.000015
98304 , 0.020265 , -0.036454, 0.000071, 0.000015
99328 , 0.019599 , -0.036614, 0.000082, 0.000016
100352 , 0.020127 , -0.036864, 0.000073, 0.000018
101376 , 0.019583 , -0.036785, 0.000083, 0.000017
102400 , 0.020075 , -0.036171, 0.000074, 0.000013
103424 , 0.019675 , -0.036478, 0.000081, 0.000015
104448 , 0.019868 , -0.036073, 0.000078, 0.000012
105472 , 0.020138 , -0.035970, 0.000073, 0.000011
106496 , 0.020234 , -0.036131, 0.000071, 0.000012
107520 , 0.020563 , -0.036154, 0.000066, 0.000013
108544 , 0.020818 , -0.036168, 0.000062, 0.000013
109568 , 0.020846 , -0.036603, 0.000061, 0.000016
110592 , 0.021199 , -0.036154, 0.000056, 0.000013
111616 , 0.020811 , -0.035909, 0.000062, 0.000011
112640 , 0.020903 , -0.036138, 0.000060, 0.000012
113664 , 0.021590 , -0.035710, 0.000050, 0.000010
114688 , 0.021161 , -0.035265, 0.000056, 0.000007
115712 , 0.021400 , -0.034830, 0.000053, 0.000005
116736 , 0.021414 , -0.035538, 0.000053, 0.000009
117760 , 0.020733 , -0.035197, 0.000063, 0.000007
118784 , 0.021023 , -0.035419, 0.000059, 0.000008
119808 , 0.021303 , -0.035544, 0.000054, 0.000009
120832 , 0.021491 , -0.035601, 0.000052, 0.000009
121856 , 0.021170 , -0.034937, 0.000056, 0.000005
122880 , 0.021109 , -0.035005, 0.000057, 0.000006
123904 , 0.020224 , -0.034933, 0.000071, 0.000005
