trueR , trueI
0.013337 , -0.005524
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
524288 , 4194304 , -1.367979 , -0.467809, 1.908033, 0.213707
1048576 , 8388608 , -0.497563 , -0.616626, 0.261018, 0.373445
1572864 , 12582912 , -0.407109 , -0.124597, 0.176774, 0.014178
2097152 , 16777216 , -0.077061 , 0.270729, 0.008172, 0.076316
2621440 , 20971520 , 0.331062 , -0.035835, 0.100949, 0.000919
3145728 , 25165824 , 0.603414 , 0.225716, 0.348191, 0.053472
3670016 , 29360128 , 0.372043 , -0.084449, 0.128670, 0.006229
4194304 , 33554432 , 0.293504 , -0.026258, 0.078494, 0.000430
4718592 , 37748736 , 0.408517 , 0.063532, 0.156167, 0.004769
5242880 , 41943040 , 0.254250 , 0.059355, 0.058039, 0.004209
5767168 , 46137344 , 0.307443 , 0.268913, 0.086499, 0.075316
6291456 , 50331648 , 0.440544 , 0.244291, 0.182506, 0.062408
6815744 , 54525952 , 0.393276 , 0.093341, 0.144354, 0.009774
7340032 , 58720256 , 0.389724 , 0.124659, 0.141667, 0.016948
7864320 , 62914560 , 0.436183 , 0.080777, 0.178799, 0.007448
8388608 , 67108864 , 0.386310 , 0.199908, 0.139109, 0.042202
8912896 , 71303168 , 0.352060 , 0.196565, 0.114733, 0.040840
9437184 , 75497472 , 0.437197 , 0.177476, 0.179658, 0.033489
9961472 , 79691776 , 0.461490 , 0.136551, 0.200842, 0.020185
10485760 , 83886080 , 0.471421 , 0.158392, 0.209841, 0.026869
11010048 , 88080384 , 0.498913 , 0.096513, 0.235784, 0.010412
11534336 , 92274688 , 0.408597 , 0.124406, 0.156231, 0.016882
12058624 , 96468992 , 0.318277 , 0.144196, 0.092989, 0.022416
12582912 , 100663296 , 0.277503 , 0.126164, 0.069784, 0.017342
13107200 , 104857600 , 0.257077 , 0.023983, 0.059409, 0.000871
13631488 , 109051904 , 0.283343 , 0.027841, 0.072903, 0.001113
14155776 , 113246208 , 0.310465 , -0.000313, 0.088285, 0.000027
14680064 , 117440512 , 0.312316 , -0.031325, 0.089389, 0.000666
15204352 , 121634816 , 0.315726 , -0.114768, 0.091440, 0.011934
15728640 , 125829120 , 0.326013 , -0.114158, 0.097766, 0.011801
16252928 , 130023424 , 0.387990 , -0.104607, 0.140365, 0.009817
16777216 , 134217728 , 0.308957 , -0.122166, 0.087391, 0.013605
17301504 , 138412032 , 0.281313 , -0.129445, 0.071811, 0.015356
17825792 , 142606336 , 0.315920 , -0.132315, 0.091557, 0.016076
18350080 , 146800640 , 0.318154 , -0.152128, 0.092913, 0.021493
18874368 , 150994944 , 0.265782 , -0.201934, 0.063728, 0.038577
19398656 , 155189248 , 0.294613 , -0.213538, 0.079116, 0.043270
19922944 , 159383552 , 0.282056 , -0.208061, 0.072210, 0.041021
20447232 , 163577856 , 0.268668 , -0.248257, 0.065194, 0.058919
20971520 , 167772160 , 0.259468 , -0.266751, 0.060580, 0.068239
21495808 , 171966464 , 0.259659 , -0.269786, 0.060675, 0.069834
22020096 , 176160768 , 0.310968 , -0.282427, 0.088584, 0.076675
22544384 , 180355072 , 0.324914 , -0.274929, 0.097080, 0.072579
23068672 , 184549376 , 0.363147 , -0.244352, 0.122367, 0.057039
23592960 , 188743680 , 0.351733 , -0.209210, 0.114512, 0.041488
24117248 , 192937984 , 0.365116 , -0.148419, 0.123749, 0.020419
24641536 , 197132288 , 0.372300 , -0.113467, 0.128855, 0.011652
25165824 , 201326592 , 0.344254 , -0.103407, 0.109507, 0.009581
25690112 , 205520896 , 0.322244 , -0.124522, 0.095424, 0.014160
26214400 , 209715200 , 0.294407 , -0.138909, 0.079000, 0.017791
26738688 , 213909504 , 0.278964 , -0.103963, 0.070558, 0.009690
27262976 , 218103808 , 0.270024 , -0.119877, 0.065888, 0.013077
27787264 , 222298112 , 0.240602 , -0.131525, 0.051650, 0.015876
28311552 , 226492416 , 0.213713 , -0.123037, 0.040150, 0.013809
28835840 , 230686720 , 0.209961 , -0.162328, 0.038661, 0.024587
29360128 , 234881024 , 0.182262 , -0.168720, 0.028536, 0.026633
29884416 , 239075328 , 0.186680 , -0.145963, 0.030048, 0.019723
30408704 , 243269632 , 0.172959 , -0.128529, 0.025479, 0.015130
30932992 , 247463936 , 0.143207 , -0.083594, 0.016866, 0.006095
31457280 , 251658240 , 0.160940 , -0.080013, 0.021787, 0.005548
31981568 , 255852544 , 0.190157 , -0.067598, 0.031266, 0.003853
32505856 , 260046848 , 0.202339 , -0.086506, 0.035722, 0.006558
33030144 , 264241152 , 0.199373 , -0.107002, 0.034610, 0.010298
33554432 , 268435456 , 0.211433 , -0.137472, 0.039242, 0.017410
34078720 , 272629760 , 0.223905 , -0.135703, 0.044339, 0.016947
34603008 , 276824064 , 0.246328 , -0.114243, 0.054285, 0.011820
35127296 , 281018368 , 0.229836 , -0.110537, 0.046872, 0.011028
35651584 , 285212672 , 0.237934 , -0.117747, 0.050444, 0.012594
36175872 , 289406976 , 0.228265 , -0.117687, 0.046194, 0.012581
36700160 , 293601280 , 0.221460 , -0.120521, 0.043315, 0.013224
37224448 , 297795584 , 0.258945 , -0.106583, 0.060323, 0.010213
37748736 , 301989888 , 0.269024 , -0.080115, 0.065376, 0.005564
38273024 , 306184192 , 0.265004 , -0.093797, 0.063336, 0.007792
38797312 , 310378496 , 0.210302 , -0.083545, 0.038795, 0.006087
39321600 , 314572800 , 0.212570 , -0.076773, 0.039694, 0.005076
39845888 , 318767104 , 0.185105 , -0.084073, 0.029504, 0.006170
40370176 , 322961408 , 0.170589 , -0.062899, 0.024728, 0.003292
40894464 , 327155712 , 0.173636 , -0.058948, 0.025696, 0.002854
41418752 , 331350016 , 0.174168 , -0.079414, 0.025867, 0.005460
41943040 , 335544320 , 0.188639 , -0.065288, 0.030731, 0.003572
