trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,35713,278528,27863,-6.072758e-02,8.756050e-02,1.912699e-03,3.660909e-04
32768,35750,557056,56123,-9.614235e-02,9.511717e-02,6.921651e-05,1.340228e-04
49152,36910,835584,83842,-9.904283e-02,9.898929e-02,2.936743e-05,5.936248e-05
65536,36930,1114112,111812,-1.050835e-01,9.422728e-02,3.862871e-07,1.554190e-04
81920,36939,1392640,139507,-1.079875e-01,9.308423e-02,1.242907e-05,1.852258e-04
98304,36941,1671168,166938,-1.040899e-01,9.773664e-02,1.384339e-07,8.023423e-05
114688,36942,1949696,194719,-1.029355e-01,9.987453e-02,2.330285e-06,4.650509e-05
131072,36948,2228224,222161,-1.058202e-01,9.932053e-02,1.844616e-06,5.436802e-05
147456,36962,2506752,249726,-1.109531e-01,9.658769e-02,4.213489e-05,1.021375e-04
163840,40408,2785280,276817,-1.126922e-01,9.813601e-02,6.773610e-05,7.323919e-05
180224,40449,3063808,304334,-1.153999e-01,9.951363e-02,1.196388e-04,5.155772e-05
196608,40471,3342336,332126,-1.149573e-01,1.002295e-01,1.101519e-04,4.178952e-05
212992,40473,3620864,359851,-1.149182e-01,1.042427e-01,1.093316e-04,6.008619e-06
229376,40476,3899392,387355,-1.133916e-01,1.067082e-01,7.973714e-05,2.010286e-10
245760,40480,4177920,415294,-1.104342e-01,1.055315e-01,3.566716e-05,1.351335e-06
262144,40487,4456448,442912,-1.115519e-01,1.086768e-01,5.026718e-05,3.931440e-06
278528,40501,4734976,470901,-1.081352e-01,1.081973e-01,1.349237e-05,2.259967e-06
294912,40515,5013504,498596,-1.101789e-01,1.070810e-01,3.268317e-05,1.497848e-07
311296,40515,5292032,526387,-1.107165e-01,1.068580e-01,3.911907e-05,2.688694e-08
327680,40526,5570560,553649,-1.099694e-01,1.057286e-01,3.033172e-05,9.319569e-07
344064,40531,5849088,581257,-1.084955e-01,1.059291e-01,1.626899e-05,5.851046e-07
360448,40538,6127616,609458,-1.087702e-01,1.067438e-01,1.856041e-05,2.482235e-09
376832,40540,6406144,637027,-1.082372e-01,1.064341e-01,1.425249e-05,6.756277e-08
393216,40547,6684672,664892,-1.072475e-01,1.070107e-01,7.758866e-06,1.003000e-07
409600,40585,6963200,691896,-1.080286e-01,1.069993e-01,1.272032e-05,9.321413e-08
425984,40588,7241728,719856,-1.092767e-01,1.088709e-01,2.318104e-05,4.738713e-06
442368,40593,7520256,747669,-1.101080e-01,1.092884e-01,3.187712e-05,6.731125e-06
458752,40608,7798784,775417,-1.094790e-01,1.087178e-01,2.517071e-05,4.095711e-06
475136,41091,8077312,803501,-1.097697e-01,1.078380e-01,2.817133e-05,1.308701e-06
491520,41095,8355840,831196,-1.093969e-01,1.091129e-01,2.435323e-05,5.851176e-06
507904,41096,8634368,858346,-1.083264e-01,1.092600e-01,1.493336e-05,6.584406e-06
524288,41103,8912896,885818,-1.078101e-01,1.100714e-01,1.120946e-05,1.140683e-05
540672,41118,9191424,913520,-1.081907e-01,1.108747e-01,1.390322e-05,1.747794e-05
