trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,39320,278528,27836,-1.040385e-01,1.050981e-01,1.793699e-07,2.546895e-06
32768,39361,557056,55634,-9.022528e-02,9.246559e-02,2.026842e-04,2.024475e-04
49152,39390,835584,83597,-9.647762e-02,9.185181e-02,6.375028e-05,2.202906e-04
65536,39421,1114112,111394,-9.299957e-02,9.350537e-02,1.313872e-04,1.739400e-04
81920,39424,1392640,138813,-1.029306e-01,8.720670e-02,2.345163e-06,3.797548e-04
98304,39424,1671168,166394,-9.894702e-02,9.581760e-02,3.041500e-05,1.182960e-04
114688,39429,1949696,193660,-1.019852e-01,8.930556e-02,6.134521e-06,3.023576e-04
131072,39428,2228224,221259,-9.928851e-02,9.337424e-02,2.676499e-05,1.774158e-04
147456,39432,2506752,248910,-9.740414e-02,9.753182e-02,4.981340e-05,8.394555e-05
163840,39437,2785280,276121,-9.912260e-02,9.958511e-02,2.850918e-05,5.053631e-05
180224,39441,3063808,303735,-1.003369e-01,1.003078e-01,1.701679e-05,4.078295e-05
196608,39452,3342336,331527,-1.013743e-01,1.012333e-01,9.534117e-06,2.981951e-05
212992,39466,3620864,358943,-1.006543e-01,1.019982e-01,1.449836e-05,2.205022e-05
229376,39471,3899392,386373,-1.022795e-01,1.002446e-01,4.763398e-06,4.159487e-05
245760,39483,4177920,413987,-1.030582e-01,9.995336e-02,1.970616e-06,4.543619e-05
262144,39485,4456448,440974,-1.013708e-01,9.945244e-02,9.555571e-06,5.244022e-05
278528,39485,4734976,468345,-1.033097e-01,9.977826e-02,1.327742e-06,4.782747e-05
294912,39489,5013504,495959,-1.049265e-01,1.000066e-01,2.157386e-07,4.472185e-05
311296,39494,5292032,524102,-1.052453e-01,1.012946e-01,6.135618e-07,2.915375e-05
327680,39495,5570560,551973,-1.039487e-01,1.037787e-01,2.635231e-07,8.499063e-06
344064,39514,5849088,579524,-1.011139e-01,1.028934e-01,1.120960e-05,1.444428e-05
360448,39524,6127616,607449,-1.011347e-01,1.030538e-01,1.107084e-05,1.325093e-05
376832,39538,6406144,635153,-1.014750e-01,1.040108e-01,8.922287e-06,7.199482e-06
393216,39545,6684672,662708,-1.006608e-01,1.042062e-01,1.444932e-05,6.189043e-06
409600,39547,6963200,690328,-1.008138e-01,1.076137e-01,1.330968e-05,8.459160e-07
425984,39547,7241728,717655,-1.020689e-01,1.058844e-01,5.726840e-06,6.553958e-07
442368,39549,7520256,744997,-1.018282e-01,1.077430e-01,6.936720e-06,1.100348e-06
458752,39558,7798784,772515,-1.022639e-01,1.063773e-01,4.831742e-06,1.003236e-07
475136,39567,8077312,799916,-1.027944e-01,1.070732e-01,2.780778e-06,1.438245e-07
491520,39570,8355840,827192,-1.018559e-01,1.079532e-01,6.791648e-06,1.585585e-06
507904,39573,8634368,854929,-1.025030e-01,1.078114e-01,3.837491e-06,1.248485e-06
524288,39582,8912896,882531,-1.004125e-01,1.075062e-01,1.639817e-05,6.596006e-07
540672,39586,9191424,910155,-1.011605e-01,1.076293e-01,1.090011e-05,8.748162e-07
557056,39591,9469952,938380,-1.016005e-01,1.071421e-01,8.188138e-06,2.008072e-07
573440,39615,9748480,966034,-1.006030e-01,1.083761e-01,1.489210e-05,2.829595e-06
589824,39630,10027008,994198,-1.006944e-01,1.080526e-01,1.419466e-05,1.845891e-06
606208,39636,10305536,1021824,-9.960651e-02,1.080942e-01,2.357579e-05,1.960484e-06
622592,39636,10584064,1049921,-1.006368e-01,1.089637e-01,1.463212e-05,5.151539e-06
638976,39641,10862592,1077170,-1.011156e-01,1.083465e-01,1.119838e-05,2.730737e-06
655360,39654,11141120,1104774,-1.012514e-01,1.069159e-01,1.030803e-05,4.922667e-08
671744,39659,11419648,1132494,-1.007826e-01,1.070129e-01,1.353784e-05,1.016685e-07
688128,39666,11698176,1160193,-1.004280e-01,1.062180e-01,1.627308e-05,2.265431e-07
704512,39699,11976704,1187804,-1.014201e-01,1.055318e-01,9.253069e-06,1.350798e-06
720896,39701,12255232,1214776,-1.011208e-01,1.057400e-01,1.116365e-05,9.101343e-07
737280,39717,12533760,1242380,-1.002856e-01,1.060056e-01,1.744245e-05,4.738691e-07
753664,39719,12812288,1269982,-1.008950e-01,1.061344e-01,1.272335e-05,3.131919e-07
770048,39733,13090816,1297366,-1.012112e-01,1.070589e-01,1.056780e-05,1.331735e-07
786432,39735,13369344,1324764,-1.002436e-01,1.071755e-01,1.779458e-05,2.318506e-07
802816,39761,13647872,1353263,-1.013629e-01,1.066745e-01,9.604413e-06,3.816327e-10
819200,39772,13926400,1381428,-1.017022e-01,1.070751e-01,7.616492e-06,1.452067e-07
835584,39779,14204928,1408753,-1.016920e-01,1.071616e-01,7.673102e-06,2.186692e-07
851968,39782,14483456,1436061,-1.013818e-01,1.071224e-01,9.487703e-06,1.835401e-07
868352,39787,14761984,1463277,-1.015213e-01,1.072408e-01,8.647758e-06,2.990045e-07
884736,39800,15040512,1491020,-1.014527e-01,1.072509e-01,9.056092e-06,3.101222e-07
901120,39815,15319040,1518730,-1.022856e-01,1.067758e-01,4.736669e-06,6.688790e-09
917504,39821,15597568,1546860,-1.025710e-01,1.056674e-01,3.576058e-06,1.053924e-06
933888,39827,15876096,1574988,-1.021166e-01,1.058276e-01,5.500683e-06,7.506975e-07
950272,39830,16154624,1603384,-1.028734e-01,1.062218e-01,2.523762e-06,2.230108e-07
966656,39834,16433152,1630957,-1.026357e-01,1.062446e-01,3.335376e-06,2.019909e-07
983040,39858,16711680,1658463,-1.026878e-01,1.064702e-01,3.147836e-06,5.009669e-08
999424,39864,16990208,1686338,-1.026044e-01,1.065894e-01,3.450710e-06,1.094245e-08
1015808,39867,17268736,1713571,-1.028374e-01,1.065676e-01,2.639395e-06,1.597862e-08
1032192,39875,17547264,1741201,-1.022288e-01,1.065189e-01,4.987281e-06,3.064560e-08
1048576,39888,17825792,1768855,-1.019971e-01,1.066679e-01,6.075612e-06,6.815668e-10
1064960,39892,18104320,1796812,-1.020688e-01,1.066865e-01,5.727304e-06,5.662693e-11
1081344,39896,18382848,1824763,-1.018321e-01,1.064754e-01,6.916562e-06,4.778597e-08
1097728,39922,18661376,1852451,-1.018782e-01,1.065592e-01,6.675839e-06,1.817596e-08
1114112,39931,18939904,1880399,-1.015874e-01,1.068574e-01,8.263313e-06,2.671618e-08
1130496,39933,19218432,1907797,-1.018402e-01,1.066887e-01,6.873951e-06,2.798317e-11
1146880,39934,19496960,1935499,-1.014487e-01,1.077175e-01,9.080144e-06,1.047600e-06
1163264,39935,19775488,1963119,-1.020653e-01,1.069952e-01,5.744363e-06,9.071974e-08
1179648,39940,20054016,1990486,-1.020266e-01,1.069013e-01,5.931106e-06,4.295990e-08
1196032,39952,20332544,2018346,-1.029322e-01,1.066045e-01,2.340191e-06,8.009601e-09
1212416,39953,20611072,2045934,-1.030080e-01,1.063568e-01,2.114039e-06,1.136927e-07
1228800,39960,20889600,2073361,-1.030415e-01,1.061695e-01,2.017751e-06,2.750831e-07
1245184,39970,21168128,2100771,-1.031707e-01,1.062938e-01,1.667526e-06,1.601306e-07
1261568,39970,21446656,2128768,-1.034994e-01,1.067416e-01,9.265560e-07,2.268766e-09
1277952,39986,21725184,2156248,-1.036235e-01,1.060186e-01,7.031501e-07,4.561787e-07
1294336,39987,22003712,2184109,-1.035797e-01,1.059827e-01,7.785151e-07,5.060106e-07
1310720,39990,22282240,2211684,-1.038035e-01,1.056414e-01,4.336088e-07,1.108036e-06
1327104,39991,22560768,2238728,-1.042626e-01,1.052908e-01,3.974843e-08,1.968964e-06
1343488,39993,22839296,2266513,-1.044737e-01,1.056032e-01,1.371783e-10,1.189784e-06
1359872,39998,23117824,2294439,-1.046545e-01,1.060827e-01,3.705076e-08,3.736941e-07
1376256,40027,23396352,2322371,-1.047853e-01,1.059389e-01,1.045152e-07,5.701107e-07
1392640,40037,23674880,2349899,-1.045615e-01,1.059127e-01,9.900749e-09,6.104028e-07
1409024,40038,23953408,2377674,-1.045589e-01,1.064263e-01,9.384271e-09,7.164300e-08
1425408,40040,24231936,2405346,-1.043126e-01,1.062867e-01,2.232230e-08,1.658940e-07
1441792,40046,24510464,2433187,-1.038632e-01,1.060176e-01,3.585831e-07,4.574880e-07
1458176,40047,24788992,2460835,-1.036519e-01,1.058360e-01,6.562526e-07,7.361409e-07
1474560,40049,25067520,2488331,-1.032487e-01,1.057389e-01,1.472000e-06,9.122537e-07
1490944,40049,25346048,2516172,-1.031566e-01,1.055057e-01,1.703995e-06,1.412005e-06
1507328,40054,25624576,2543851,-1.038327e-01,1.055505e-01,3.960258e-07,1.307508e-06
1523712,40055,25903104,2571558,-1.033802e-01,1.056671e-01,1.170231e-06,1.054582e-06
1540096,40065,26181632,2599349,-1.038453e-01,1.059106e-01,3.803274e-07,6.137370e-07
1556480,40066,26460160,2627008,-1.039233e-01,1.056538e-01,2.901890e-07,1.082089e-06
1572864,40071,26738688,2654400,-1.038835e-01,1.055610e-01,3.346023e-07,1.283661e-06
1589248,40072,27017216,2682083,-1.037530e-01,1.055352e-01,5.026771e-07,1.342757e-06
1605632,40075,27295744,2709649,-1.036745e-01,1.053765e-01,6.201978e-07,1.735927e-06
1622016,40080,27574272,2737097,-1.036443e-01,1.056276e-01,6.685866e-07,1.137276e-06
1638400,40093,27852800,2765256,-1.036775e-01,1.055469e-01,6.153724e-07,1.315750e-06
1654784,40116,28131328,2792643,-1.037065e-01,1.053508e-01,5.708085e-07,1.804061e-06
1671168,40115,28409856,2820718,-1.039167e-01,1.055854e-01,2.973771e-07,1.228932e-06
1687552,40128,28688384,2848084,-1.036775e-01,1.057252e-01,6.153841e-07,9.385859e-07
1703936,40134,28966912,2876131,-1.039120e-01,1.059704e-01,3.025348e-07,5.235867e-07
1720320,40159,29245440,2903976,-1.040747e-01,1.060210e-01,1.499925e-07,4.529538e-07
1736704,40201,29523968,2931648,-1.041387e-01,1.063099e-01,1.045200e-07,1.475098e-07
1753088,40295,29802496,2959216,-1.044710e-01,1.057993e-01,8.140827e-11,8.004267e-07
1769472,40328,30081024,2987010,-1.046002e-01,1.055876e-01,1.910771e-08,1.224195e-06
1785856,41257,30359552,3014430,-1.047601e-01,1.054202e-01,8.884893e-08,1.622518e-06
1802240,47742,30638080,3041839,-1.048013e-01,1.051537e-01,1.151241e-07,2.372511e-06
1818624,48170,30916608,3069103,-1.048563e-01,1.047736e-01,1.555016e-07,3.688116e-06
1835008,50666,31195136,3097018,-1.051911e-01,1.045769e-01,5.316396e-07,4.481912e-06
