trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,19166,16384,1970,-1.099849e-01,9.103612e-02,3.050217e-05,2.451692e-04
32768,19173,32768,3998,-9.961538e-02,1.060873e-01,2.348970e-05,3.680858e-07
49152,19175,49152,6105,-9.928266e-02,1.090482e-01,2.682554e-05,5.542244e-06
65536,19177,65536,8103,-1.003855e-01,1.073627e-01,1.661794e-05,4.471558e-07
81920,19180,81920,10166,-9.689270e-02,1.068634e-01,5.729427e-05,2.868252e-08
98304,19182,98304,12227,-9.654892e-02,1.124383e-01,6.261676e-05,3.299733e-05
114688,19193,114688,14250,-1.014807e-01,1.067848e-01,8.888358e-06,8.248740e-09
131072,19194,131072,16293,-1.038391e-01,1.096281e-01,3.880302e-07,8.608670e-06
147456,19206,147456,18368,-1.060708e-01,1.089846e-01,2.588394e-06,5.246673e-06
163840,19221,163840,20413,-1.049683e-01,1.116545e-01,2.563062e-07,2.460641e-05
180224,19219,180224,22496,-1.052792e-01,1.091572e-01,6.677826e-07,6.067497e-06
196608,19220,196608,24488,-1.061548e-01,1.081777e-01,2.865502e-06,2.201281e-06
212992,19222,212992,26511,-1.071890e-01,1.058344e-01,7.436661e-06,7.388538e-07
229376,19270,229376,28593,-1.066304e-01,1.046019e-01,4.702000e-06,4.376698e-06
245760,19713,245760,30606,-1.060767e-01,1.050184e-01,2.607175e-06,2.807630e-06
262144,19717,262144,32689,-1.067763e-01,1.053708e-01,5.356154e-06,1.750880e-06
278528,19732,278528,34665,-1.053763e-01,1.047148e-01,8.359681e-07,3.917182e-06
294912,19743,294912,36679,-1.042604e-01,1.063296e-01,4.065670e-08,1.327985e-07
311296,19753,311296,38781,-1.044122e-01,1.057092e-01,2.484463e-09,9.698954e-07
327680,19754,327680,40783,-1.032365e-01,1.065592e-01,1.501744e-06,1.817194e-08
344064,19766,344064,42821,-1.020480e-01,1.074199e-01,5.827374e-06,5.269130e-07
360448,19769,360448,44903,-1.020094e-01,1.067556e-01,6.015415e-06,3.792897e-09
376832,19770,376832,46970,-1.018836e-01,1.073149e-01,6.648262e-06,3.855003e-07
393216,19770,393216,49004,-1.023278e-01,1.068577e-01,4.554922e-06,2.679173e-08
409600,19770,409600,51097,-1.027910e-01,1.067310e-01,2.792320e-06,1.369520e-09
425984,19772,425984,53132,-1.028006e-01,1.070921e-01,2.760242e-06,1.584535e-07
442368,19772,442368,55174,-1.035018e-01,1.076198e-01,9.219288e-07,8.570260e-07
458752,19783,458752,57249,-1.035957e-01,1.081325e-01,7.504909e-07,2.069428e-06
475136,19784,475136,59294,-1.031187e-01,1.076241e-01,1.804321e-06,8.650180e-07
491520,19784,491520,61356,-1.033606e-01,1.080655e-01,1.212993e-06,1.880898e-06
507904,19786,507904,63427,-1.032014e-01,1.080766e-01,1.589171e-06,1.911553e-06
524288,19787,524288,65457,-1.026926e-01,1.083115e-01,3.130649e-06,2.616326e-06
540672,19794,540672,67553,-1.023748e-01,1.087715e-01,4.356427e-06,4.315903e-06
557056,19795,557056,69579,-1.027670e-01,1.092045e-01,2.873150e-06,6.302700e-06
573440,19798,573440,71642,-1.026627e-01,1.086293e-01,3.237455e-06,3.745254e-06
589824,19798,589824,73618,-1.024479e-01,1.089761e-01,4.056781e-06,5.207767e-06
