trueR , trueI
-0.001282 , -0.000086
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
10922 , 264263 , 600710 , 10934 ,0.00222,-0.005466,1.2264003999999999e-05,2.8944400000000004e-05,4.1208404e-05,0.006419377228361019
21844 , 264557 , 1201420 , 21910 ,0.001353,0.000572,6.943225000000001e-06,4.329640000000001e-07,7.3761890000000005e-06,0.002715914026621609
32766 , 264592 , 1802130 , 32834 ,-0.000775,-0.00039,2.5704899999999996e-07,9.241600000000001e-08,3.49465e-07,0.0005911556478627266
43688 , 264646 , 2402840 , 43770 ,-0.000745,-0.002833,2.8836899999999995e-07,7.546008999999999e-06,7.834377999999999e-06,0.0027989958913867664
54610 , 264678 , 3003550 , 54739 ,0.00036,-0.001266,2.696164e-06,1.3924000000000002e-06,4.088564e-06,0.0020220197822968995
65532 , 264816 , 3604260 , 65663 ,0.000405,-0.000963,2.8459689999999997e-06,7.691289999999999e-07,3.615098e-06,0.001901341105640963
76454 , 264880 , 4204970 , 76611 ,0.001232,-0.000511,6.320195999999999e-06,1.8062499999999994e-07,6.500820999999999e-06,0.0025496707630594186
87376 , 265078 , 4805680 , 87592 ,0.001353,-0.000682,6.943225000000001e-06,3.5521599999999997e-07,7.298441000000001e-06,0.0027015626959224917
98298 , 265812 , 5406390 , 98524 ,0.000699,-0.001114,3.924361000000001e-06,1.0567840000000002e-06,4.981145000000001e-06,0.0022318478890820496
109220 , 265863 , 6007100 , 109532 ,0.000282,-0.001222,2.4460959999999996e-06,1.290496e-06,3.7365919999999997e-06,0.0019330266423409688
120142 , 276974 , 6607810 , 120502 ,4e-05,-0.001354,1.7476840000000002e-06,1.6078240000000001e-06,3.3555080000000005e-06,0.0018318045747295207
131064 , 282471 , 7208520 , 131427 ,0.000233,-0.001201,2.2952249999999997e-06,1.2432250000000003e-06,3.53845e-06,0.001881076819271345
141986 , 528126 , 7809230 , 142358 ,-2e-06,-0.000757,1.6383999999999996e-06,4.502409999999999e-07,2.0886409999999994e-06,0.0014452131330706898
