trueR , trueI
-0.001282 , -0.000086
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
2796202 , 26666229 , 2796202 , 325 ,0.008252,0.015387,9.089715600000002e-05,0.00023941372899999997,0.000330310885,0.01817445693824165
5592404 , 26687770 , 5592404 , 677 ,0.01242,0.020797,0.000187744804,0.00043609968899999997,0.000623844493,0.024976879168543055
8388606 , 26696632 , 8388606 , 1013 ,0.012971,0.022945,0.000203148009,0.0005304269609999999,0.0007335749699999999,0.027084589160627854
11184808 , 26697451 , 11184808 , 1340 ,0.006882,0.010363,6.665089599999999e-05,0.000109181601,0.00017583249699999997,0.013260184651806324
13981010 , 26700826 , 13981010 , 1698 ,-0.00297,0.025117,2.8493440000000003e-06,0.0006351912089999999,0.0006380405529999999,0.025259464622196567
16777212 , 26706393 , 16777212 , 2034 ,-0.002416,0.026485,1.2859560000000005e-06,0.000706018041,0.0007073039970000001,0.026595187478188606
19573414 , 26715849 , 19573414 , 2392 ,-0.000297,0.023588,9.702249999999999e-07,0.000560458276,0.0005614285009999999,0.023694482501206898
22369616 , 26720247 , 22369616 , 2742 ,0.000503,0.024623,3.1862249999999997e-06,0.0006105346809999999,0.000613720906,0.024773391088020225
25165818 , 26726355 , 25165818 , 3101 ,0.001158,0.016576,5.953599999999999e-06,0.000277622244,0.000283575844,0.016839710330050217
27962020 , 26727914 , 27962020 , 3440 ,-0.001771,0.017479,2.3912100000000007e-07,0.000308529225,0.00030876834600000004,0.017571805428014505
30758222 , 26732148 , 30758222 , 3790 ,-0.000671,0.016948,3.733209999999999e-07,0.000290157156,0.000290530477,0.0170449545907286
33554424 , 26740992 , 33554424 , 4152 ,-0.00323,0.010669,3.7947039999999995e-06,0.00011567002499999998,0.00011946472899999998,0.010929992177490338
36350626 , 26751976 , 36350626 , 4518 ,-0.000386,0.012223,8.028159999999998e-07,0.00015151148099999998,0.00015231429699999997,0.012341567850155829
39146828 , 26760836 , 39146828 , 4857 ,-0.003096,0.010067,3.2905959999999994e-06,0.00010308340899999998,0.00010637400499999997,0.010313777436031863
41943030 , 26766710 , 41943030 , 5209 ,0.001291,0.008313,6.6203289999999984e-06,7.054320099999997e-05,7.716352999999998e-05,0.00878427743186655
44739232 , 26773460 , 44739232 , 5519 ,0.004291,0.007903,3.1058329e-05,6.3824121e-05,9.488245e-05,0.009740762290498623
47535434 , 26774101 , 47535434 , 5867 ,0.005926,0.008283,5.1955264e-05,7.0040161e-05,0.000121995425,0.011045153914726585
50331636 , 26778117 , 50331636 , 6233 ,0.003985,0.00574,2.7741289e-05,3.3942276e-05,6.1683565e-05,0.007853888527347457
53127838 , 26779945 , 53127838 , 6578 ,0.000192,0.002955,2.172676e-06,9.247681000000003e-06,1.1420357000000002e-05,0.0033794018701539482
55924040 , 26809522 , 55924040 , 6910 ,-0.001174,0.00012,1.1664000000000004e-08,4.243600000000001e-08,5.4100000000000015e-08,0.00023259406699226018
58720242 , 26812460 , 58720242 , 7228 ,-0.001317,-0.00023,1.2250000000000064e-09,2.0736e-08,2.1961000000000007e-08,0.0001481924424523734
61516444 , 26865674 , 61516444 , 7588 ,-0.002594,0.001432,1.721344e-06,2.3043239999999995e-06,4.025667999999999e-06,0.002006406738425686
64312646 , 27481015 , 64312646 , 7936 ,0.000201,-0.000839,2.1992889999999998e-06,5.67009e-07,2.7662979999999996e-06,0.0016632191677587171
67108848 , 27681139 , 67108848 , 8299 ,-0.001371,1.3e-05,7.921000000000018e-09,9.801000000000001e-09,1.7722000000000018e-08,0.00013312400234367962
69905050 , 53320733 , 69905050 , 8626 ,-0.001155,0.001608,1.6128999999999985e-08,2.8696359999999997e-06,2.8857649999999996e-06,0.0016987539551094502
72701252 , 53323878 , 72701252 , 8997 ,-0.000991,0.002305,8.468100000000002e-08,5.716881000000002e-06,5.8015620000000016e-06,0.00240864318652639
75497454 , 53344246 , 75497454 , 9343 ,0.001194,0.001738,6.1305759999999996e-06,3.3269759999999994e-06,9.457552e-06,0.0030753133173710935
78293656 , 53370991 , 78293656 , 9709 ,0.002178,0.000337,1.1971599999999997e-05,1.7892899999999997e-07,1.2150528999999998e-05,0.003485760892545557
81089858 , 53371257 , 81089858 , 10023 ,0.00216,0.00029,1.1847363999999998e-05,1.4137600000000003e-07,1.1988739999999997e-05,0.0034624759926965556
83886060 , 53373071 , 83886060 , 10324 ,0.001294,0.000741,6.635776000000001e-06,6.839290000000001e-07,7.319705000000001e-06,0.002705495333575721
86682262 , 53377136 , 86682262 , 10661 ,0.000417,0.000576,2.886601e-06,4.3824400000000004e-07,3.3248449999999997e-06,0.0018234157507271893
89478464 , 53380905 , 89478464 , 11004 ,0.000133,-0.000802,2.002225e-06,5.126559999999999e-07,2.514881e-06,0.0015858376335552136
92274666 , 53384007 , 92274666 , 11340 ,-0.00156,-0.000952,7.728400000000002e-08,7.499560000000001e-07,8.272400000000001e-07,0.0009095273497811928
95070868 , 53384448 , 95070868 , 11708 ,-0.00042,-0.000998,7.430439999999999e-07,8.317439999999999e-07,1.5747879999999998e-06,0.0012549055741369547
97867070 , 53423310 , 97867070 , 12063 ,-0.001733,-0.000673,2.03401e-07,3.4456899999999994e-07,5.479699999999999e-07,0.000740249957784531
100663272 , 53437706 , 100663272 , 12378 ,-0.0014,-0.001061,1.3924000000000011e-08,9.506250000000001e-07,9.645490000000001e-07,0.000982114555436381
103459474 , 53459587 , 103459474 , 12697 ,-0.001939,-0.001065,4.3164900000000006e-07,9.58441e-07,1.3900900000000002e-06,0.0011790207801391798
106255676 , 53472345 , 106255676 , 13029 ,-0.002297,-0.002197,1.0302250000000002e-06,4.456321e-06,5.486546e-06,0.0023423377211666124
109051878 , 53478493 , 109051878 , 13367 ,-0.002044,-0.001192,5.806439999999998e-07,1.223236e-06,1.8038799999999997e-06,0.0013430859987357473
