trueR , trueI
1.000000 , 0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
4096 , 221184 , 1.250002 , 0.000000, 0.062501, 0.000000
8192 , 442368 , 1.171299 , 0.000000, 0.029343, 0.000000
12288 , 663552 , 0.836421 , 0.000000, 0.026758, 0.000000
16384 , 884736 , 0.925928 , 0.000000, 0.005487, 0.000000
20480 , 1105920 , 1.001854 , 0.000000, 0.000003, 0.000000
24576 , 1327104 , 1.030352 , 0.000000, 0.000921, 0.000000
28672 , 1548288 , 1.055558 , 0.000000, 0.003087, 0.000000
32768 , 1769472 , 1.018906 , 0.000000, 0.000357, 0.000000
36864 , 1990656 , 1.065845 , 0.000000, 0.004336, 0.000000
40960 , 2211840 , 1.165741 , 0.000000, 0.027470, 0.000000
45056 , 2433024 , 1.131033 , 0.000000, 0.017170, 0.000000
49152 , 2654208 , 1.182871 , 0.000000, 0.033442, 0.000000
53248 , 2875392 , 1.223647 , 0.000000, 0.050018, 0.000000
57344 , 3096576 , 1.216490 , 0.000000, 0.046868, 0.000000
61440 , 3317760 , 1.206585 , 0.000000, 0.042677, 0.000000
65536 , 3538944 , 1.194252 , 0.000000, 0.037734, 0.000000
69632 , 3760128 , 1.209332 , 0.000000, 0.043820, 0.000000
73728 , 3981312 , 1.237997 , 0.000000, 0.056643, 0.000000
77824 , 4202496 , 1.238954 , 0.000000, 0.057099, 0.000000
81920 , 4423680 , 1.263271 , 0.000000, 0.069312, 0.000000
86016 , 4644864 , 1.250588 , 0.000000, 0.062794, 0.000000
90112 , 4866048 , 1.237935 , 0.000000, 0.056613, 0.000000
94208 , 5087232 , 1.239802 , 0.000000, 0.057505, 0.000000
98304 , 5308416 , 1.225052 , 0.000000, 0.050648, 0.000000
102400 , 5529600 , 1.205926 , 0.000000, 0.042406, 0.000000
106496 , 5750784 , 1.160019 , 0.000000, 0.025606, 0.000000
110592 , 5971968 , 1.136831 , 0.000000, 0.018723, 0.000000
114688 , 6193152 , 1.131504 , 0.000000, 0.017293, 0.000000
118784 , 6414336 , 1.129843 , 0.000000, 0.016859, 0.000000
122880 , 6635520 , 1.116461 , 0.000000, 0.013563, 0.000000
126976 , 6856704 , 1.111211 , 0.000000, 0.012368, 0.000000
131072 , 7077888 , 1.101274 , 0.000000, 0.010256, 0.000000
135168 , 7299072 , 1.084362 , 0.000000, 0.007117, 0.000000
139264 , 7520256 , 1.093682 , 0.000000, 0.008776, 0.000000
143360 , 7741440 , 1.080247 , 0.000000, 0.006440, 0.000000
147456 , 7962624 , 1.078189 , 0.000000, 0.006114, 0.000000
151552 , 8183808 , 1.078329 , 0.000000, 0.006135, 0.000000
155648 , 8404992 , 1.084877 , 0.000000, 0.007204, 0.000000
159744 , 8626176 , 1.079535 , 0.000000, 0.006326, 0.000000
163840 , 8847360 , 1.069213 , 0.000000, 0.004790, 0.000000
167936 , 9068544 , 1.066848 , 0.000000, 0.004469, 0.000000
172032 , 9289728 , 1.074442 , 0.000000, 0.005542, 0.000000
176128 , 9510912 , 1.076084 , 0.000000, 0.005789, 0.000000
180224 , 9732096 , 1.077792 , 0.000000, 0.006052, 0.000000
184320 , 9953280 , 1.074349 , 0.000000, 0.005528, 0.000000
188416 , 10174464 , 1.079912 , 0.000000, 0.006386, 0.000000
192512 , 10395648 , 1.079591 , 0.000000, 0.006335, 0.000000
196608 , 10616832 , 1.085327 , 0.000000, 0.007281, 0.000000
200704 , 10838016 , 1.071114 , 0.000000, 0.005057, 0.000000
204800 , 11059200 , 1.068087 , 0.000000, 0.004636, 0.000000
208896 , 11280384 , 1.060095 , 0.000000, 0.003611, 0.000000
212992 , 11501568 , 1.047425 , 0.000000, 0.002249, 0.000000
217088 , 11722752 , 1.043502 , 0.000000, 0.001892, 0.000000
221184 , 11943936 , 1.033494 , 0.000000, 0.001122, 0.000000
