trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
87381 , 1299283 , 4893336 , 7929 ,1.001329,0.0,1.7662409999997702e-06,0.0,1.7662409999997702e-06,0.0013289999999999136
174762 , 1320743 , 9786672 , 16472 ,1.046033,0.0,0.002119037088999999,0.0,0.002119037088999999,0.04603299999999999
262143 , 1324757 , 14680008 , 25166 ,1.049442,0.0,0.0024445113639999985,0.0,0.0024445113639999985,0.049441999999999986
349524 , 1361842 , 19573344 , 33870 ,1.029658,0.0,0.0008795969639999977,0.0,0.0008795969639999977,0.029657999999999962
436905 , 1391654 , 24466680 , 42091 ,1.038912,0.0,0.0015141437440000045,0.0,0.0015141437440000045,0.03891200000000006
524286 , 1403036 , 29360016 , 50153 ,1.019979,0.0,0.00039916044099999875,0.0,0.00039916044099999875,0.01997899999999997
611667 , 1404232 , 34253352 , 58716 ,1.01387,0.0,0.00019237690000000135,0.0,0.00019237690000000135,0.013870000000000049
699048 , 1449093 , 39146688 , 67343 ,0.986974,0.0,0.00016967667599999953,0.0,0.00016967667599999953,0.013025999999999982
786429 , 1449208 , 44040024 , 75691 ,0.991807,0.0,6.71252490000001e-05,0.0,6.71252490000001e-05,0.008193000000000006
873810 , 1450778 , 48933360 , 84399 ,0.98171,0.0,0.00033452410000000106,0.0,0.00033452410000000106,0.01829000000000003
961191 , 1502370 , 53826696 , 93323 ,1.018826,0.0,0.00035441827600000037,0.0,0.00035441827600000037,0.01882600000000001
1048572 , 1534496 , 58720032 , 101345 ,1.013706,0.0,0.00018785443599999988,0.0,0.00018785443599999988,0.013705999999999996
1135953 , 2599039 , 63613368 , 109603 ,1.014975,0.0,0.0002242506249999988,0.0,0.0002242506249999988,0.01497499999999996
1223334 , 2639459 , 68506704 , 118350 ,1.005174,0.0,2.6770276000000123e-05,0.0,2.6770276000000123e-05,0.005174000000000012
1310715 , 2644987 , 73400040 , 127363 ,1.021031,0.0,0.0004423029610000009,0.0,0.0004423029610000009,0.021031000000000022
1398096 , 2701215 , 78293376 , 135598 ,1.020117,0.0,0.0004046936889999976,0.0,0.0004046936889999976,0.02011699999999994
1485477 , 2720789 , 83186712 , 143772 ,1.021917,0.0,0.00048035488899999846,0.0,0.00048035488899999846,0.021916999999999964
1572858 , 2752268 , 88080048 , 152565 ,1.030806,0.0,0.0009490096359999931,0.0,0.0009490096359999931,0.03080599999999989
1660239 , 2753564 , 92973384 , 161063 ,1.01639,0.0,0.0002686320999999969,0.0,0.0002686320999999969,0.016389999999999905
1747620 , 2765725 , 97866720 , 169933 ,1.016853,0.0,0.0002840236090000002,0.0,0.0002840236090000002,0.016853000000000007
1835001 , 2772731 , 102760056 , 178226 ,1.008865,0.0,7.858822499999823e-05,0.0,7.858822499999823e-05,0.0088649999999999
1922382 , 2806212 , 107653392 , 186248 ,1.013999,0.0,0.00019597200100000264,0.0,0.00019597200100000264,0.013999000000000095
2009763 , 2893831 , 112546728 , 194532 ,1.033355,0.0,0.0011125560250000016,0.0,0.0011125560250000016,0.033355000000000024
2097144 , 2965179 , 117440064 , 202977 ,1.028773,0.0,0.0008278855289999964,0.0,0.0008278855289999964,0.028772999999999938
