trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
65536 , 21765819 , 2818048 , 0.000000 , 0.000000, 1.000000, 0.000000
131072 , 21777236 , 5636096 , 0.000000 , 0.000000, 1.000000, 0.000000
196608 , 21794090 , 8454144 , 0.000000 , 0.000000, 1.000000, 0.000000
262144 , 21821297 , 11272192 , 0.000000 , 0.000000, 1.000000, 0.000000
327680 , 21822539 , 14090240 , 0.000000 , 0.000000, 1.000000, 0.000000
393216 , 21829432 , 16908288 , 0.000000 , 0.000000, 1.000000, 0.000000
458752 , 21856237 , 19726336 , 0.000000 , 0.000000, 1.000000, 0.000000
524288 , 21909478 , 22544384 , 0.000000 , 0.000000, 1.000000, 0.000000
589824 , 43518062 , 25362432 , 0.000000 , 0.000000, 1.000000, 0.000000
655360 , 43569284 , 28180480 , 0.000000 , 0.000000, 1.000000, 0.000000
720896 , 43593456 , 30998528 , 0.000000 , 0.000000, 1.000000, 0.000000
786432 , 43593474 , 33816576 , 0.000000 , 0.000000, 1.000000, 0.000000
851968 , 43638090 , 36634624 , 0.000000 , 0.000000, 1.000000, 0.000000
917504 , 43678850 , 39452672 , 0.000000 , 0.000000, 1.000000, 0.000000
983040 , 43750009 , 42270720 , 0.000000 , 0.000000, 1.000000, 0.000000
1048576 , 43775998 , 45088768 , 0.000000 , 0.000000, 1.000000, 0.000000
1114112 , 65251679 , 47906816 , 0.000000 , 0.000000, 1.000000, 0.000000
1179648 , 65348983 , 50724864 , 0.000000 , 0.000000, 1.000000, 0.000000
1245184 , 65352428 , 53542912 , 0.000000 , 0.000000, 1.000000, 0.000000
1310720 , 65415936 , 56360960 , 0.000000 , 0.000000, 1.000000, 0.000000
1376256 , 65434253 , 59179008 , 0.000000 , 0.000000, 1.000000, 0.000000
1441792 , 65529210 , 61997056 , 0.000000 , 0.000000, 1.000000, 0.000000
1507328 , 65569299 , 64815104 , 0.000000 , 0.000000, 1.000000, 0.000000
1572864 , 65608704 , 67633152 , 0.000000 , 0.000000, 1.000000, 0.000000
1638400 , 86999560 , 70451200 , 0.000000 , 0.000000, 1.000000, 0.000000
1703936 , 87103738 , 73269248 , 0.000000 , 0.000000, 1.000000, 0.000000
1769472 , 87113516 , 76087296 , 0.000000 , 0.000000, 1.000000, 0.000000
1835008 , 87174942 , 78905344 , 0.000000 , 0.000000, 1.000000, 0.000000
1900544 , 87179179 , 81723392 , 0.000000 , 0.000000, 1.000000, 0.000000
1966080 , 87367213 , 84541440 , 0.000000 , 0.000000, 1.000000, 0.000000
2031616 , 87368867 , 87359488 , 0.000000 , 0.000000, 1.000000, 0.000000
2097152 , 87438945 , 90177536 , 0.000000 , 0.000000, 1.000000, 0.000000
2162688 , 108981360 , 92995584 , 0.000000 , 0.000000, 1.000000, 0.000000
2228224 , 109059232 , 95813632 , 0.000000 , 0.000000, 1.000000, 0.000000
2293760 , 109088297 , 98631680 , 0.000000 , 0.000000, 1.000000, 0.000000
2359296 , 109097150 , 101449728 , 0.000000 , 0.000000, 1.000000, 0.000000
2424832 , 109137748 , 104267776 , 0.000000 , 0.000000, 1.000000, 0.000000
2490368 , 109366432 , 107085824 , 0.000000 , 0.000000, 1.000000, 0.000000
2555904 , 109428720 , 109903872 , 0.000000 , 0.000000, 1.000000, 0.000000
2621440 , 109428764 , 112721920 , 0.000000 , 0.000000, 1.000000, 0.000000
2686976 , 130973054 , 115539968 , 0.000000 , 0.000000, 1.000000, 0.000000
2752512 , 131036502 , 118358016 , 0.000000 , 0.000000, 1.000000, 0.000000
2818048 , 131081920 , 121176064 , 0.000000 , 0.000000, 1.000000, 0.000000
2883584 , 131129517 , 123994112 , 0.000000 , 0.000000, 1.000000, 0.000000
2949120 , 131169657 , 126812160 , 0.000000 , 0.000000, 1.000000, 0.000000
3014656 , 131424862 , 129630208 , 0.000000 , 0.000000, 1.000000, 0.000000
3080192 , 131434875 , 132448256 , 0.000000 , 0.000000, 1.000000, 0.000000
3145728 , 131506123 , 135266304 , 0.000000 , 0.000000, 1.000000, 0.000000
3211264 , 152749482 , 138084352 , 0.000000 , 0.000000, 1.000000, 0.000000
3276800 , 152773847 , 140902400 , 0.000000 , 0.000000, 1.000000, 0.000000
3342336 , 152877629 , 143720448 , 0.000000 , 0.000000, 1.000000, 0.000000
3407872 , 152894157 , 146538496 , 0.000000 , 0.000000, 1.000000, 0.000000
3473408 , 152964805 , 149356544 , 0.000000 , 0.000000, 1.000000, 0.000000
3538944 , 153255627 , 152174592 , 0.000000 , 0.000000, 1.000000, 0.000000
3604480 , 153276915 , 154992640 , 0.000000 , 0.000000, 1.000000, 0.000000
3670016 , 153382318 , 157810688 , 0.000000 , 0.000000, 1.000000, 0.000000
3735552 , 174481599 , 160628736 , 0.000000 , 0.000000, 1.000000, 0.000000
3801088 , 174503828 , 163446784 , 0.000000 , 0.000000, 1.000000, 0.000000
3866624 , 174592222 , 166264832 , 0.000000 , 0.000000, 1.000000, 0.000000
3932160 , 174604164 , 169082880 , 0.000000 , 0.000000, 1.000000, 0.000000
3997696 , 174654202 , 171900928 , 0.000000 , 0.000000, 1.000000, 0.000000
4063232 , 174971511 , 174718976 , 0.000000 , 0.000000, 1.000000, 0.000000
4128768 , 174989288 , 177537024 , 0.000000 , 0.000000, 1.000000, 0.000000
4194304 , 175099807 , 180355072 , 0.000000 , 0.000000, 1.000000, 0.000000
