n_samples , n_paths , estimateR , estimateI
4096 , 237568 , -0.242424 , 0.000000
8192 , 475136 , -0.303030 , 0.000000
12288 , 712704 , -0.161616 , 0.000000
16384 , 950272 , -0.303030 , 0.000000
20480 , 1187840 , -0.121212 , 0.000000
24576 , 1425408 , -0.121212 , 0.000000
28672 , 1662976 , 0.865801 , 0.000000
32768 , 1900544 , 0.742424 , 0.000000
36864 , 2138112 , 0.996633 , 0.000000
40960 , 2375680 , 0.933333 , 0.000000
45056 , 2613248 , 0.947658 , 0.000000
49152 , 2850816 , 1.131313 , 0.000000
53248 , 3088384 , 0.895105 , 0.000000
57344 , 3325952 , 0.839827 , 0.000000
61440 , 3563520 , 0.840404 , 0.000000
65536 , 3801088 , 0.833333 , 0.000000
69632 , 4038656 , 0.877005 , 0.000000
73728 , 4276224 , 0.882155 , 0.000000
77824 , 4513792 , 0.912280 , 0.000000
81920 , 4751360 , 0.909091 , 0.000000
86016 , 4988928 , 0.929293 , 0.000000
90112 , 5226496 , 0.925619 , 0.000000
94208 , 5464064 , 1.217391 , 0.000000
98304 , 5701632 , 1.126262 , 0.000000
102400 , 5939200 , 1.173333 , 0.000000
106496 , 6176768 , 1.202797 , 0.000000
110592 , 6414336 , 1.230078 , 0.000000
114688 , 6651904 , 1.255411 , 0.000000
118784 , 6889472 , 1.270637 , 0.000000
122880 , 7127040 , 1.329292 , 0.000000
126976 , 7364608 , 1.270772 , 0.000000
131072 , 7602176 , 1.272727 , 0.000000
135168 , 7839744 , 1.263544 , 0.000000
139264 , 8077312 , 1.233511 , 0.000000
143360 , 8314880 , 1.205194 , 0.000000
147456 , 8552448 , 1.175084 , 0.000000
151552 , 8790016 , 1.162981 , 0.000000
155648 , 9027584 , 1.224880 , 0.000000
159744 , 9265152 , 1.193473 , 0.000000
163840 , 9502720 , 1.169696 , 0.000000
167936 , 9740288 , 1.129342 , 0.000000
172032 , 9977856 , 1.148629 , 0.000000
176128 , 10215424 , 1.147286 , 0.000000
180224 , 10452992 , 1.140495 , 0.000000
184320 , 10690560 , 1.155555 , 0.000000
188416 , 10928128 , 1.111989 , 0.000000
192512 , 11165696 , 1.168278 , 0.000000
196608 , 11403264 , 1.151515 , 0.000000
200704 , 11640832 , 1.217068 , 0.000000
204800 , 11878400 , 1.141818 , 0.000000
208896 , 12115968 , 1.155080 , 0.000000
212992 , 12353536 , 1.160839 , 0.000000
217088 , 12591104 , 1.090909 , 0.000000
221184 , 12828672 , 1.158249 , 0.000000
225280 , 13066240 , 1.154820 , 0.000000
229376 , 13303808 , 1.170995 , 0.000000
233472 , 13541376 , 1.220627 , 0.000000
237568 , 13778944 , 1.258098 , 0.000000
241664 , 14016512 , 1.286080 , 0.000000
245760 , 14254080 , 1.301009 , 0.000000
249856 , 14491648 , 1.363139 , 0.000000
253952 , 14729216 , 1.343108 , 0.000000
258048 , 14966784 , 1.304473 , 0.000000
262144 , 15204352 , 1.248105 , 0.000000
266240 , 15441920 , 1.271794 , 0.000000
270336 , 15679488 , 1.250688 , 0.000000
274432 , 15917056 , 1.237448 , 0.000000
278528 , 16154624 , 1.240641 , 0.000000
282624 , 16392192 , 1.234958 , 0.000000
286720 , 16629760 , 1.227705 , 0.000000
290816 , 16867328 , 1.213828 , 0.000000
294912 , 17104896 , 1.195285 , 0.000000
299008 , 17342464 , 1.227064 , 0.000000
303104 , 17580032 , 1.172809 , 0.000000
307200 , 17817600 , 1.168484 , 0.000000
311296 , 18055168 , 1.157894 , 0.000000
315392 , 18292736 , 1.103502 , 0.000000
319488 , 18530304 , 1.101786 , 0.000000
323584 , 18767872 , 1.107786 , 0.000000
327680 , 19005440 , 1.056060 , 0.000000
331776 , 19243008 , 1.056490 , 0.000000
335872 , 19480576 , 1.053954 , 0.000000
339968 , 19718144 , 1.055859 , 0.000000
344064 , 19955712 , 1.046175 , 0.000000
348160 , 20193280 , 1.060962 , 0.000000
352256 , 20430848 , 1.042987 , 0.000000
356352 , 20668416 , 1.050504 , 0.000000
360448 , 20905984 , 1.030303 , 0.000000
364544 , 21143552 , 1.009193 , 0.000000
368640 , 21381120 , 1.022222 , 0.000000
372736 , 21618688 , 1.008325 , 0.000000
376832 , 21856256 , 0.993412 , 0.000000
380928 , 22093824 , 0.987944 , 0.000000
385024 , 22331392 , 0.982591 , 0.000000
389120 , 22568960 , 1.005422 , 0.000000
393216 , 22806528 , 1.003787 , 0.000000
397312 , 23044096 , 0.994689 , 0.000000
401408 , 23281664 , 0.967223 , 0.000000
405504 , 23519232 , 0.963575 , 0.000000
409600 , 23756800 , 0.953939 , 0.000000
413696 , 23994368 , 0.946894 , 0.000000
417792 , 24231936 , 0.939988 , 0.000000
421888 , 24469504 , 0.960282 , 0.000000
425984 , 24707072 , 0.906759 , 0.000000
430080 , 24944640 , 0.893506 , 0.000000
434176 , 25182208 , 0.891938 , 0.000000
438272 , 25419776 , 0.909657 , 0.000000
442368 , 25657344 , 0.902356 , 0.000000
446464 , 25894912 , 0.906310 , 0.000000
450560 , 26132480 , 0.931129 , 0.000000
454656 , 26370048 , 0.946764 , 0.000000
458752 , 26607616 , 0.981601 , 0.000000
462848 , 26845184 , 0.970769 , 0.000000
466944 , 27082752 , 0.969696 , 0.000000
471040 , 27320320 , 0.977075 , 0.000000
475136 , 27557888 , 0.972831 , 0.000000
479232 , 27795456 , 0.971768 , 0.000000
483328 , 28033024 , 0.955315 , 0.000000
487424 , 28270592 , 0.980901 , 0.000000
491520 , 28508160 , 0.983838 , 0.000000
495616 , 28745728 , 0.966691 , 0.000000
499712 , 28983296 , 0.994535 , 0.000000
503808 , 29220864 , 1.003202 , 0.000000
507904 , 29458432 , 0.995112 , 0.000000
512000 , 29696000 , 1.012363 , 0.000000
516096 , 29933568 , 1.003366 , 0.000000
520192 , 30171136 , 1.035552 , 0.000000
524288 , 30408704 , 1.022727 , 0.000000
528384 , 30646272 , 1.025135 , 0.000000
532480 , 30883840 , 1.045221 , 0.000000
536576 , 31121408 , 1.040943 , 0.000000
540672 , 31358976 , 1.051423 , 0.000000
544768 , 31596544 , 1.073592 , 0.000000
548864 , 31834112 , 1.109000 , 0.000000
552960 , 32071680 , 1.101683 , 0.000000
557056 , 32309248 , 1.092691 , 0.000000
561152 , 32546816 , 1.071444 , 0.000000
565248 , 32784384 , 1.066315 , 0.000000
569344 , 33021952 , 1.059515 , 0.000000
573440 , 33259520 , 1.048484 , 0.000000
577536 , 33497088 , 1.055662 , 0.000000
581632 , 33734656 , 1.070422 , 0.000000
585728 , 33972224 , 1.046831 , 0.000000
589824 , 34209792 , 1.042087 , 0.000000
593920 , 34447360 , 1.044932 , 0.000000
598016 , 34684928 , 1.036114 , 0.000000
602112 , 34922496 , 1.062048 , 0.000000
606208 , 35160064 , 1.053234 , 0.000000
610304 , 35397632 , 1.038844 , 0.000000
614400 , 35635200 , 1.048888 , 0.000000
618496 , 35872768 , 1.049167 , 0.000000
622592 , 36110336 , 1.043859 , 0.000000
626688 , 36347904 , 1.025153 , 0.000000
630784 , 36585472 , 1.022432 , 0.000000
634880 , 36823040 , 1.015835 , 0.000000
638976 , 37060608 , 1.023309 , 0.000000
643072 , 37298176 , 0.994402 , 0.000000
647168 , 37535744 , 0.993479 , 0.000000
651264 , 37773312 , 0.990280 , 0.000000
655360 , 38010880 , 1.006060 , 0.000000
659456 , 38248448 , 1.019386 , 0.000000
663552 , 38486016 , 1.022820 , 0.000000
667648 , 38723584 , 1.018776 , 0.000000
671744 , 38961152 , 1.033259 , 0.000000
675840 , 39198720 , 1.040954 , 0.000000
679936 , 39436288 , 1.032493 , 0.000000
684032 , 39673856 , 1.040827 , 0.000000
688128 , 39911424 , 1.055555 , 0.000000
692224 , 40148992 , 1.057199 , 0.000000
696320 , 40386560 , 1.057397 , 0.000000
700416 , 40624128 , 1.061137 , 0.000000
704512 , 40861696 , 1.064129 , 0.000000
708608 , 41099264 , 1.064984 , 0.000000
712704 , 41336832 , 1.058167 , 0.000000
