trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
349525 , 4092137 , 349525 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
699050 , 4159895 , 699050 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
1048575 , 4169582 , 1048575 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
1398100 , 4169908 , 1398100 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
1747625 , 4229927 , 1747625 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
2097150 , 4285851 , 2097150 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
2446675 , 4322183 , 2446675 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
2796200 , 4338364 , 2796200 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
3145725 , 4353966 , 3145725 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
3495250 , 4468147 , 3495250 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
3844775 , 4481921 , 3844775 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
4194300 , 4558607 , 4194300 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
4543825 , 4568711 , 4543825 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
4893350 , 4597620 , 4893350 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
5242875 , 4604244 , 5242875 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
5592400 , 4623961 , 5592400 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
5941925 , 4780296 , 5941925 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
6291450 , 4784606 , 6291450 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
6640975 , 5100209 , 6640975 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
6990500 , 6901580 , 6990500 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
7340025 , 7887534 , 7340025 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
7689550 , 8172642 , 7689550 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
8039075 , 8178493 , 8039075 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
8388600 , 8229722 , 8388600 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
8738125 , 8241170 , 8738125 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
9087650 , 8267348 , 9087650 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
9437175 , 8321256 , 9437175 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
9786700 , 8403177 , 9786700 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
10136225 , 8421689 , 10136225 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
10485750 , 8437108 , 10485750 , 0 ,0.0,0.0,1.0,0.0,1.0,1.0
