trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI
87381 , 24261733553 , 3757383 , 2 , 0.749898 , 0.000000 , 0.062551 , 0.000000
174762 , 24263750995 , 7514766 , 3 , 0.562423 , 0.000000 , 0.191473 , 0.000000
262143 , 24265395041 , 11272149 , 5 , 0.624915 , 0.000000 , 0.140689 , 0.000000
349524 , 24266176863 , 15029532 , 9 , 0.843635 , 0.000000 , 0.024450 , 0.000000
436905 , 24266779821 , 18786915 , 11 , 0.824887 , 0.000000 , 0.030664 , 0.000000
524286 , 24267957868 , 22544298 , 14 , 0.874881 , 0.000000 , 0.015655 , 0.000000
611667 , 24268212908 , 26301681 , 19 , 1.017718 , 0.000000 , 0.000314 , 0.000000
699048 , 24268457284 , 30059064 , 19 , 0.890503 , 0.000000 , 0.011990 , 0.000000
786429 , 24268849020 , 33816447 , 21 , 0.874881 , 0.000000 , 0.015655 , 0.000000
873810 , 24269409616 , 37573830 , 23 , 0.862382 , 0.000000 , 0.018939 , 0.000000
961191 , 24269675287 , 41331213 , 26 , 0.886243 , 0.000000 , 0.012941 , 0.000000
1048572 , 24270232635 , 45088596 , 28 , 0.874881 , 0.000000 , 0.015655 , 0.000000
1135953 , 24270553809 , 48845979 , 30 , 0.865266 , 0.000000 , 0.018153 , 0.000000
1223334 , 24271080707 , 52603362 , 30 , 0.803462 , 0.000000 , 0.038627 , 0.000000
1310715 , 24273349291 , 56360745 , 34 , 0.849884 , 0.000000 , 0.022535 , 0.000000
1398096 , 24273509464 , 60118128 , 36 , 0.843635 , 0.000000 , 0.024450 , 0.000000
1485477 , 24273674704 , 63875511 , 40 , 0.882232 , 0.000000 , 0.013869 , 0.000000
1572858 , 24275368119 , 67632894 , 43 , 0.895711 , 0.000000 , 0.010876 , 0.000000
1660239 , 24275506154 , 71390277 , 43 , 0.848568 , 0.000000 , 0.022932 , 0.000000
1747620 , 24276328604 , 75147660 , 43 , 0.806140 , 0.000000 , 0.037582 , 0.000000
1835001 , 24276768889 , 78905043 , 46 , 0.821316 , 0.000000 , 0.031928 , 0.000000
1922382 , 24277273003 , 82662426 , 46 , 0.783984 , 0.000000 , 0.046663 , 0.000000
2009763 , 24277379375 , 86419809 , 48 , 0.782502 , 0.000000 , 0.047305 , 0.000000
2097144 , 24277471795 , 90177192 , 53 , 0.828012 , 0.000000 , 0.029580 , 0.000000
2184525 , 24277522438 , 93934575 , 55 , 0.824887 , 0.000000 , 0.030664 , 0.000000
2271906 , 24277803716 , 97691958 , 60 , 0.865266 , 0.000000 , 0.018153 , 0.000000
2359287 , 24278115209 , 101449341 , 65 , 0.902655 , 0.000000 , 0.009476 , 0.000000
2446668 , 24279477506 , 105206724 , 68 , 0.910590 , 0.000000 , 0.007994 , 0.000000
2534049 , 24280196226 , 108964107 , 71 , 0.917978 , 0.000000 , 0.006728 , 0.000000
2621430 , 24280524382 , 112721490 , 73 , 0.912375 , 0.000000 , 0.007678 , 0.000000
2708811 , 24280866460 , 116478873 , 76 , 0.919229 , 0.000000 , 0.006524 , 0.000000
2796192 , 24281640368 , 120236256 , 77 , 0.902221 , 0.000000 , 0.009561 , 0.000000
2883573 , 24281871443 , 123993639 , 79 , 0.897605 , 0.000000 , 0.010485 , 0.000000
2970954 , 24282670750 , 127751022 , 80 , 0.882232 , 0.000000 , 0.013869 , 0.000000
3058335 , 24284359647 , 131508405 , 82 , 0.878452 , 0.000000 , 0.014774 , 0.000000
3145716 , 24287989731 , 135265788 , 87 , 0.906126 , 0.000000 , 0.008812 , 0.000000
3233097 , 24288217851 , 139023171 , 93 , 0.942439 , 0.000000 , 0.003313 , 0.000000
3320478 , 24290173882 , 142780554 , 94 , 0.927505 , 0.000000 , 0.005256 , 0.000000
3407859 , 24295987619 , 146537937 , 97 , 0.932565 , 0.000000 , 0.004547 , 0.000000
3495240 , 24297275041 , 150295320 , 100 , 0.937372 , 0.000000 , 0.003922 , 0.000000
3582621 , 24297808014 , 154052703 , 104 , 0.951090 , 0.000000 , 0.002392 , 0.000000
3670002 , 24298929946 , 157810086 , 105 , 0.937372 , 0.000000 , 0.003922 , 0.000000
3757383 , 24299710458 , 161567469 , 107 , 0.933012 , 0.000000 , 0.004487 , 0.000000
3844764 , 24304655893 , 165324852 , 109 , 0.928850 , 0.000000 , 0.005062 , 0.000000
3932145 , 24307477664 , 169082235 , 111 , 0.924874 , 0.000000 , 0.005644 , 0.000000
4019526 , 24315892974 , 172839618 , 115 , 0.937372 , 0.000000 , 0.003922 , 0.000000
4106907 , 24321511377 , 176597001 , 119 , 0.949338 , 0.000000 , 0.002567 , 0.000000
4194288 , 24323241973 , 180354384 , 120 , 0.937372 , 0.000000 , 0.003922 , 0.000000
4281669 , 48534604287 , 184111767 , 122 , 0.933546 , 0.000000 , 0.004416 , 0.000000
4369050 , 48542446232 , 187869150 , 123 , 0.922374 , 0.000000 , 0.006026 , 0.000000
4456431 , 48543174671 , 191626533 , 125 , 0.918992 , 0.000000 , 0.006562 , 0.000000
4543812 , 48547743716 , 195383916 , 126 , 0.908530 , 0.000000 , 0.008367 , 0.000000
4631193 , 48547969120 , 199141299 , 133 , 0.940909 , 0.000000 , 0.003492 , 0.000000
4718574 , 48550191069 , 202898682 , 134 , 0.930429 , 0.000000 , 0.004840 , 0.000000
4805955 , 48550722798 , 206656065 , 137 , 0.933963 , 0.000000 , 0.004361 , 0.000000
4893336 , 48550863997 , 210413448 , 138 , 0.923981 , 0.000000 , 0.005779 , 0.000000
4980717 , 48551422925 , 214170831 , 141 , 0.927505 , 0.000000 , 0.005256 , 0.000000
5068098 , 48556512252 , 217928214 , 145 , 0.937372 , 0.000000 , 0.003922 , 0.000000
5155479 , 48557254230 , 221685597 , 151 , 0.959615 , 0.000000 , 0.001631 , 0.000000
5242860 , 48557260775 , 225442980 , 153 , 0.956119 , 0.000000 , 0.001926 , 0.000000
5330241 , 48557280908 , 229200363 , 155 , 0.952739 , 0.000000 , 0.002234 , 0.000000
5417622 , 48557522365 , 232957746 , 157 , 0.949467 , 0.000000 , 0.002554 , 0.000000
5505003 , 48557647206 , 236715129 , 160 , 0.952251 , 0.000000 , 0.002280 , 0.000000
5592384 , 48557838454 , 240472512 , 162 , 0.949089 , 0.000000 , 0.002592 , 0.000000
5679765 , 48559057923 , 244229895 , 166 , 0.957562 , 0.000000 , 0.001801 , 0.000000
5767146 , 48560033949 , 247987278 , 168 , 0.954415 , 0.000000 , 0.002078 , 0.000000
5854527 , 48560571725 , 251744661 , 171 , 0.956959 , 0.000000 , 0.001853 , 0.000000
5941908 , 48560729282 , 255502044 , 175 , 0.964942 , 0.000000 , 0.001229 , 0.000000
6029289 , 48561359187 , 259259427 , 176 , 0.956391 , 0.000000 , 0.001902 , 0.000000
6116670 , 48563651003 , 263016810 , 178 , 0.953441 , 0.000000 , 0.002168 , 0.000000
6204051 , 48564561295 , 266774193 , 180 , 0.950574 , 0.000000 , 0.002443 , 0.000000
6291432 , 48565287827 , 270531576 , 182 , 0.947787 , 0.000000 , 0.002726 , 0.000000
6378813 , 48566404520 , 274288959 , 185 , 0.950213 , 0.000000 , 0.002479 , 0.000000
6466194 , 48567327089 , 278046342 , 190 , 0.962706 , 0.000000 , 0.001391 , 0.000000
6553575 , 48567412440 , 281803725 , 193 , 0.964868 , 0.000000 , 0.001234 , 0.000000
6640956 , 48567990636 , 285561108 , 198 , 0.976840 , 0.000000 , 0.000536 , 0.000000
6728337 , 48568198499 , 289318491 , 199 , 0.969024 , 0.000000 , 0.000960 , 0.000000
6815718 , 48569884384 , 293075874 , 200 , 0.961407 , 0.000000 , 0.001489 , 0.000000
6903099 , 48572969106 , 296833257 , 206 , 0.977715 , 0.000000 , 0.000497 , 0.000000
6990480 , 48573233626 , 300590640 , 207 , 0.970180 , 0.000000 , 0.000889 , 0.000000
7077861 , 48574066189 , 304348023 , 209 , 0.967461 , 0.000000 , 0.001059 , 0.000000
7165242 , 48576941602 , 308105406 , 210 , 0.960235 , 0.000000 , 0.001581 , 0.000000
7252623 , 48577754819 , 311862789 , 210 , 0.948666 , 0.000000 , 0.002635 , 0.000000
7340004 , 48583657383 , 315620172 , 211 , 0.941836 , 0.000000 , 0.003383 , 0.000000
7427385 , 48586733275 , 319377555 , 212 , 0.935166 , 0.000000 , 0.004203 , 0.000000
7514766 , 48590424952 , 323134938 , 214 , 0.933012 , 0.000000 , 0.004487 , 0.000000
7602147 , 48592726148 , 326892321 , 215 , 0.926598 , 0.000000 , 0.005388 , 0.000000
7689528 , 48593736564 , 330649704 , 219 , 0.933111 , 0.000000 , 0.004474 , 0.000000
7776909 , 48595792176 , 334407087 , 222 , 0.935266 , 0.000000 , 0.004191 , 0.000000
7864290 , 48596248615 , 338164470 , 227 , 0.945704 , 0.000000 , 0.002948 , 0.000000
7951671 , 48600651706 , 341921853 , 230 , 0.947673 , 0.000000 , 0.002738 , 0.000000
8039052 , 48602028037 , 345679236 , 234 , 0.953674 , 0.000000 , 0.002146 , 0.000000
8126433 , 48612139794 , 349436619 , 235 , 0.947451 , 0.000000 , 0.002761 , 0.000000
8213814 , 48633913632 , 353194002 , 236 , 0.941361 , 0.000000 , 0.003439 , 0.000000
8301195 , 48650911680 , 356951385 , 244 , 0.963026 , 0.000000 , 0.001367 , 0.000000
8388576 , 48664306939 , 360708768 , 247 , 0.964712 , 0.000000 , 0.001245 , 0.000000
8475957 , 72811909742 , 364466151 , 249 , 0.962497 , 0.000000 , 0.001406 , 0.000000
8563338 , 72822018280 , 368223534 , 250 , 0.956502 , 0.000000 , 0.001892 , 0.000000
8650719 , 72830161259 , 371980917 , 251 , 0.950628 , 0.000000 , 0.002438 , 0.000000
8738100 , 72832683869 , 375738300 , 254 , 0.952370 , 0.000000 , 0.002269 , 0.000000
8825481 , 72838547700 , 379495683 , 256 , 0.950365 , 0.000000 , 0.002464 , 0.000000
8912862 , 72839155402 , 383253066 , 258 , 0.948400 , 0.000000 , 0.002663 , 0.000000
9000243 , 72839494083 , 387010449 , 261 , 0.950113 , 0.000000 , 0.002489 , 0.000000
9087624 , 72840362814 , 390767832 , 262 , 0.944583 , 0.000000 , 0.003071 , 0.000000
9175005 , 72840720495 , 394525215 , 265 , 0.946299 , 0.000000 , 0.002884 , 0.000000
9262386 , 72840959321 , 398282598 , 268 , 0.947984 , 0.000000 , 0.002706 , 0.000000
9349767 , 72842103768 , 402039981 , 272 , 0.953141 , 0.000000 , 0.002196 , 0.000000
9437148 , 72846516944 , 405797364 , 277 , 0.961674 , 0.000000 , 0.001469 , 0.000000
9524529 , 72848076930 , 409554747 , 278 , 0.956291 , 0.000000 , 0.001910 , 0.000000
9611910 , 72848441607 , 413312130 , 279 , 0.951007 , 0.000000 , 0.002400 , 0.000000
9699291 , 72850701551 , 417069513 , 283 , 0.955951 , 0.000000 , 0.001940 , 0.000000
9786672 , 72851230839 , 420826896 , 286 , 0.957459 , 0.000000 , 0.001810 , 0.000000
9874053 , 72851697036 , 424584279 , 289 , 0.958940 , 0.000000 , 0.001686 , 0.000000
9961434 , 72853073638 , 428341662 , 294 , 0.966973 , 0.000000 , 0.001091 , 0.000000
10048815 , 72854015453 , 432099045 , 294 , 0.958565 , 0.000000 , 0.001717 , 0.000000
10136196 , 72854337731 , 435856428 , 295 , 0.953534 , 0.000000 , 0.002159 , 0.000000
10223577 , 72854805043 , 439613811 , 296 , 0.948588 , 0.000000 , 0.002643 , 0.000000
