trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
349525 , 810363378 , 15029575 , 12 ,1.124998,0.0,0.015624500003999986,0.0,0.015624500003999986,0.12499799999999994
699050 , 810775885 , 30059150 , 25 ,1.031248,0.0,0.0009764375039999964,0.0,0.0009764375039999964,0.031247999999999942
1048575 , 811116458 , 45088725 , 34 ,0.999998,0.0,3.9999999997859564e-12,0.0,3.9999999997859564e-12,1.999999999946489e-06
1398100 , 811192132 , 60118300 , 45 ,0.960936,0.0,0.0015259960959999991,0.0,0.0015259960959999991,0.03906399999999999
1747625 , 811252127 , 75147875 , 56 ,0.974998,0.0,0.0006251000039999984,0.0,0.0006251000039999984,0.02500199999999997
2097150 , 811293936 , 90177450 , 69 ,0.999998,0.0,3.9999999997859564e-12,0.0,3.9999999997859564e-12,1.999999999946489e-06
2446675 , 811434211 , 105207025 , 78 ,0.99107,0.0,7.974489999999989e-05,0.0,7.974489999999989e-05,0.008929999999999993
2796200 , 811583826 , 120236600 , 89 ,1.042967,0.0,0.001846163088999998,0.0,0.001846163088999998,0.04296699999999998
3145725 , 811696288 , 135266175 , 98 ,1.020831,0.0,0.00043393056100000184,0.0,0.00043393056100000184,0.020831000000000044
3495250 , 811759105 , 150295750 , 109 ,1.012498,0.0,0.00015620000399999747,0.0,0.00015620000399999747,0.012497999999999898
3844775 , 811790930 , 165325325 , 123 ,1.014203,0.0,0.000201725208999999,0.0,0.000201725208999999,0.014202999999999966
4194300 , 811959674 , 180354900 , 133 ,1.039061,0.0,0.001525761721000001,0.0,0.001525761721000001,0.03906100000000001
4543825 , 812041600 , 195384475 , 148 ,1.067306,0.0,0.004530097636000012,0.0,0.004530097636000012,0.06730600000000009
4893350 , 812149101 , 210414050 , 155 ,1.037945,0.0,0.001439823024999992,0.0,0.001439823024999992,0.037944999999999895
5242875 , 812161095 , 225443625 , 167 ,1.043748,0.0,0.001913887503999991,0.0,0.001913887503999991,0.0437479999999999
5592400 , 812171993 , 240473200 , 180 ,1.042967,0.0,0.001846163088999998,0.0,0.001846163088999998,0.04296699999999998
5941925 , 812194083 , 255502775 , 190 ,1.042278,0.0,0.001787429284000003,0.0,0.001787429284000003,0.04227800000000004
6291450 , 812253536 , 270532350 , 204 ,1.020831,0.0,0.00043393056100000184,0.0,0.00043393056100000184,0.020831000000000044
6640975 , 812349847 , 285561925 , 215 ,1.016446,0.0,0.0002704709159999987,0.0,0.0002704709159999987,0.01644599999999996
6990500 , 812501003 , 300591500 , 229 ,0.998436,0.0,2.4460960000000306e-06,0.0,2.4460960000000306e-06,0.0015640000000000098
7340025 , 812579762 , 315621075 , 243 ,0.986605,0.0,0.00017942602500000123,0.0,0.00017942602500000123,0.013395000000000046
7689550 , 812611229 , 330650650 , 259 ,0.988635,0.0,0.00012916322499999906,0.0,0.00012916322499999906,0.011364999999999958
8039075 , 812686115 , 345680225 , 267 ,1.006792,0.0,4.6131263999998765e-05,0.0,4.6131263999998765e-05,0.006791999999999909
8388600 , 812837346 , 360709800 , 281 ,1.007811,0.0,6.101172100000019e-05,0.0,6.101172100000019e-05,0.007811000000000012
8738125 , 812924116 , 375739375 , 287 ,1.023748,0.0,0.0005639675040000049,0.0,0.0005639675040000049,0.023748000000000102
9087650 , 813037757 , 390768950 , 297 ,1.024037,0.0,0.0005777773690000042,0.0,0.0005777773690000042,0.024037000000000086
9437175 , 813112914 , 405798525 , 309 ,1.024304,0.0,0.000590684416000005,0.0,0.000590684416000005,0.024304000000000103
9786700 , 813218992 , 420828100 , 316 ,1.021204,0.0,0.00044960961600000004,0.0,0.00044960961600000004,0.021204
10136225 , 813220616 , 435857675 , 327 ,1.011852,0.0,0.00014046990399999937,0.0,0.00014046990399999937,0.011851999999999974
10485750 , 813382383 , 450887250 , 334 ,1.012498,0.0,0.00015620000399999747,0.0,0.00015620000399999747,0.012497999999999898
10835275 , 813507757 , 465916825 , 353 ,1.007055,0.0,4.9773025000000475e-05,0.0,4.9773025000000475e-05,0.0070550000000000335
11184800 , 813665139 , 480946400 , 361 ,0.999022,0.0,9.564840000000672e-07,0.0,9.564840000000672e-07,0.0009780000000000344
11534325 , 813684342 , 495975975 , 370 ,0.994316,0.0,3.230785600000025e-05,0.0,3.230785600000025e-05,0.005684000000000022
11883850 , 813905195 , 511005550 , 380 ,0.99816,0.0,3.385599999999826e-06,0.0,3.385599999999826e-06,0.0018399999999999528
12233375 , 813908936 , 526035125 , 394 ,0.988391,0.0,0.00013476888099999955,0.0,0.00013476888099999955,0.01160899999999998
12582900 , 813947535 , 541064700 , 402 ,0.99479,0.0,2.7144100000000498e-05,0.0,2.7144100000000498e-05,0.005210000000000048
12932425 , 814001193 , 556094275 , 416 ,0.993241,0.0,4.568408099999945e-05,0.0,4.568408099999945e-05,0.0067589999999999595
13281950 , 814130091 , 571123850 , 428 ,1.006577,0.0,4.325692900000073e-05,0.0,4.325692900000073e-05,0.006577000000000055
13631475 , 814217954 , 586153425 , 434 ,1.002402,0.0,5.769604000000074e-06,0.0,5.769604000000074e-06,0.0024020000000000152
13981000 , 815218752 , 601183000 , 444 ,1.000779,0.0,6.068410000001327e-07,0.0,6.068410000001327e-07,0.0007790000000000852
14330525 , 815242117 , 616212575 , 454 ,0.994663,0.0,2.8483569000000388e-05,0.0,2.8483569000000388e-05,0.005337000000000036
14680050 , 815950856 , 631242150 , 470 ,0.997766,0.0,4.990755999999813e-06,0.0,4.990755999999813e-06,0.0022339999999999582
15029575 , 816247038 , 646271725 , 482 ,1.002905,0.0,8.439024999999624e-06,0.0,8.439024999999624e-06,0.0029049999999999354
15379100 , 817410819 , 661301300 , 495 ,0.999288,0.0,5.069440000000654e-07,0.0,5.069440000000654e-07,0.0007120000000000459
15728625 , 817489641 , 676330875 , 505 ,0.999998,0.0,3.9999999997859564e-12,0.0,3.9999999997859564e-12,1.999999999946489e-06
16078150 , 818335923 , 691360450 , 518 ,0.994563,0.0,2.9560969000000273e-05,0.0,2.9560969000000273e-05,0.005437000000000025
16427675 , 1621930996 , 706390025 , 528 ,0.991355,0.0,7.473602500000024e-05,0.0,7.473602500000024e-05,0.008645000000000014
16777200 , 1622362127 , 721419600 , 540 ,1.007811,0.0,6.101172100000019e-05,0.0,6.101172100000019e-05,0.007811000000000012
17126725 , 1622362223 , 736449175 , 550 ,1.019769,0.0,0.00039081336099999704,0.0,0.00039081336099999704,0.019768999999999926
17476250 , 1622376551 , 751478750 , 560 ,1.004998,0.0,2.498000400000058e-05,0.0,2.498000400000058e-05,0.004998000000000058
17825775 , 1622603202 , 766508325 , 566 ,1.005513,0.0,3.0393169000001116e-05,0.0,3.0393169000001116e-05,0.005513000000000101
18175300 , 1622674444 , 781537900 , 579 ,1.007811,0.0,6.101172100000019e-05,0.0,6.101172100000019e-05,0.007811000000000012
18524825 , 1623037024 , 796567475 , 597 ,1.015328,0.0,0.00023494758400000027,0.0,0.00023494758400000027,0.015328000000000008
18874350 , 1623285772 , 811597050 , 609 ,1.013887,0.0,0.00019284876899999952,0.0,0.00019284876899999952,0.013886999999999983
19223875 , 1623294444 , 826626625 , 620 ,1.017612,0.0,0.00031018254399999863,0.0,0.00031018254399999863,0.01761199999999996
19573400 , 1623397275 , 841656200 , 631 ,1.009485,0.0,8.996522499999936e-05,0.0,8.996522499999936e-05,0.009484999999999966
19922925 , 1623552375 , 856685775 , 646 ,1.003288,0.0,1.0810943999999721e-05,0.0,1.0810943999999721e-05,0.0032879999999999576
20272450 , 1623594513 , 871715350 , 655 ,1.008619,0.0,7.428716099999883e-05,0.0,7.428716099999883e-05,0.008618999999999932
20621975 , 1623717861 , 886744925 , 662 ,1.001058,0.0,1.119364000000007e-06,0.0,1.119364000000007e-06,0.0010580000000000034
20971500 , 1623772167 , 901774500 , 672 ,1.001561,0.0,2.4367209999997614e-06,0.0,2.4367209999997614e-06,0.0015609999999999236
21321025 , 1623947509 , 916804075 , 685 ,1.003584,0.0,1.2845056000000227e-05,0.0,1.2845056000000227e-05,0.0035840000000000316
21670550 , 1623953931 , 931833650 , 699 ,1.008567,0.0,7.339348899999986e-05,0.0,7.339348899999986e-05,0.008566999999999991
22020075 , 1623980352 , 946863225 , 710 ,1.010415,0.0,0.00010847222500000131,0.0,0.00010847222500000131,0.010415000000000063
22369600 , 1624027196 , 961892800 , 717 ,1.004881,0.0,2.382416099999915e-05,0.0,2.382416099999915e-05,0.004880999999999913
22719125 , 1624511626 , 976922375 , 723 ,1.008171,0.0,6.676524099999882e-05,0.0,6.676524099999882e-05,0.008170999999999928
23068650 , 1624520073 , 991951950 , 737 ,1.008521,0.0,7.260744100000002e-05,0.0,7.260744100000002e-05,0.008521
