trueR , trueI
1.000000 , 0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
65536 , 65536 , 0.000000 , 0.000000, 1.000000, 0.000000
131072 , 131072 , 0.000000 , 0.000000, 1.000000, 0.000000
196608 , 196608 , -10.666655 , 0.000000, 136.110825, 0.000000
262144 , 262144 , -7.999991 , 0.000000, 80.999832, 0.000000
327680 , 327680 , -6.399993 , 0.000000, 54.759895, 0.000000
393216 , 393216 , -5.333327 , 0.000000, 40.111034, 0.000000
458752 , 458752 , -4.571424 , 0.000000, 31.040760, 0.000000
524288 , 524288 , -3.999995 , 0.000000, 24.999952, 0.000000
589824 , 589824 , -3.555552 , 0.000000, 20.753050, 0.000000
655360 , 655360 , -3.199996 , 0.000000, 17.639971, 0.000000
720896 , 720896 , -2.909088 , 0.000000, 15.280967, 0.000000
786432 , 786432 , -2.666664 , 0.000000, 13.444423, 0.000000
851968 , 851968 , -2.461536 , 0.000000, 11.982229, 0.000000
917504 , 917504 , -2.285712 , 0.000000, 10.795902, 0.000000
983040 , 983040 , -2.133331 , 0.000000, 9.817762, 0.000000
1048576 , 1048576 , -1.999998 , 0.000000, 8.999986, 0.000000
1114112 , 1114112 , -1.882351 , 0.000000, 8.307947, 0.000000
1179648 , 1179648 , -1.777776 , 0.000000, 7.716038, 0.000000
1245184 , 1245184 , -1.684209 , 0.000000, 7.204976, 0.000000
1310720 , 1310720 , -1.599998 , 0.000000, 6.759991, 0.000000
1376256 , 1376256 , -1.523808 , 0.000000, 6.369606, 0.000000
1441792 , 1441792 , 0.000000 , 0.000000, 0.999999, 0.000000
1507328 , 1507328 , 1.391303 , 0.000000, 0.153118, 0.000000
1572864 , 1572864 , 1.333332 , 0.000000, 0.111111, 0.000000
1638400 , 1638400 , 1.279999 , 0.000000, 0.078400, 0.000000
1703936 , 1703936 , 1.230768 , 0.000000, 0.053254, 0.000000
1769472 , 1769472 , 1.185184 , 0.000000, 0.034293, 0.000000
1835008 , 1835008 , 1.142856 , 0.000000, 0.020408, 0.000000
1900544 , 1900544 , 1.103447 , 0.000000, 0.010701, 0.000000
1966080 , 1966080 , 1.066666 , 0.000000, 0.004444, 0.000000
2031616 , 2031616 , 0.000000 , 0.000000, 1.000000, 0.000000
2097152 , 2097152 , 0.000000 , 0.000000, 1.000000, 0.000000
2162688 , 2162688 , 0.000000 , 0.000000, 1.000000, 0.000000
2228224 , 2228224 , 0.000000 , 0.000000, 1.000000, 0.000000
2293760 , 2293760 , 0.000000 , 0.000000, 1.000000, 0.000000
2359296 , 2359296 , 0.000000 , 0.000000, 1.000000, 0.000000
2424832 , 2424832 , 0.000000 , 0.000000, 1.000000, 0.000000
2490368 , 2490368 , 0.000000 , 0.000000, 1.000000, 0.000000
2555904 , 2555904 , 0.000000 , 0.000000, 1.000000, 0.000000
2621440 , 2621440 , 0.000000 , 0.000000, 1.000000, 0.000000
2686976 , 2686976 , 0.000000 , 0.000000, 1.000000, 0.000000
