trueR , trueI
-0.044194 , 0.106694
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
5592405 , 11361230 , 50331645 , 2033572 ,-0.044601,0.106355,1.6564900000000374e-07,1.1492099999999464e-07,2.805699999999984e-07,0.0005296885877569936
11184810 , 11539191 , 100663290 , 4065312 ,-0.04457,0.105962,1.4137600000000101e-07,5.35823999999995e-07,6.77199999999996e-07,0.000822921624457637
16777215 , 11621414 , 150994935 , 6097808 ,-0.044307,0.106228,1.276900000000045e-08,2.171559999999946e-07,2.2992499999999504e-07,0.0004795049530505342
22369620 , 11689685 , 201326580 , 8130458 ,-0.044568,0.106046,1.3987600000000469e-07,4.1990399999999455e-07,5.597799999999993e-07,0.0007481844692320198
27962025 , 11746067 , 251658225 , 10161331 ,-0.044468,0.106134,7.507600000000187e-08,3.1359999999999e-07,3.8867599999999185e-07,0.0006234388502491578
33554430 , 11758842 , 301989870 , 12195279 ,-0.043774,0.105956,1.763999999999973e-07,5.446440000000038e-07,7.210440000000011e-07,0.0008491430974812203
39146835 , 11767317 , 352321515 , 14225797 ,-0.043719,0.106162,2.2562499999999644e-07,2.830239999999902e-07,5.086489999999866e-07,0.0007131963264066821
44739240 , 11776220 , 402653160 , 16257774 ,-0.043901,0.106471,8.584899999999687e-08,4.972900000000044e-08,1.355779999999973e-07,0.0003682091796791564
50331645 , 11786634 , 452984805 , 18289647 ,-0.043814,0.106405,1.4439999999999878e-07,8.352099999999861e-08,2.2792099999999737e-07,0.0004774107246386463
55924050 , 11787810 , 503316450 , 20320312 ,-0.043843,0.106467,1.23200999999998e-07,5.152899999999596e-08,1.7472999999999397e-07,0.0004180071769718721
61516455 , 11788729 , 553648095 , 22350848 ,-0.043921,0.106387,7.452899999999753e-08,9.424900000000106e-08,1.6877799999999857e-07,0.0004108259972299691
67108860 , 11853821 , 603979740 , 24385398 ,-0.044029,0.106391,2.7224999999999498e-08,9.180899999999862e-08,1.1903399999999813e-07,0.0003450130432316989
72701265 , 11865863 , 654311385 , 26418935 ,-0.044283,0.106603,7.921000000001023e-09,8.280999999998883e-09,1.6201999999999906e-08,0.0001272870771131143
78293670 , 11883657 , 704643030 , 28449241 ,-0.044265,0.106507,5.041000000000229e-09,3.496899999999728e-08,4.000999999999751e-08,0.00020002499843768906
83886075 , 11891123 , 754974675 , 30479185 ,-0.044302,0.106488,1.1664000000000848e-08,4.243599999999912e-08,5.409999999999996e-08,0.00023259406699226005
89478480 , 11904547 , 805306320 , 32510658 ,-0.044206,0.106526,1.4400000000012149e-10,2.8224000000000498e-08,2.836800000000062e-08,0.00016842802617142024
95070885 , 11927889 , 855637965 , 34542498 ,-0.04447,0.106579,7.617600000000298e-08,1.3225000000000917e-08,8.94010000000039e-08,0.0002990000000000065
100663290 , 11932421 , 905969610 , 36576515 ,-0.044743,0.106657,3.0140100000000097e-07,1.3689999999996575e-09,3.0277000000000064e-07,0.0005502453997990357
106255695 , 11971892 , 956301255 , 38609551 ,-0.044717,0.106604,2.7352900000000277e-07,8.099999999998716e-09,2.8162900000000147e-07,0.0005306872902190154
