trueR , trueI
0.100000 , -0.200000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
16 , 144 , -1.174783 , 0.688172, 1.625071, 0.788849
32 , 288 , -0.759434 , 0.293696, 0.738627, 0.243735
48 , 432 , -0.563637 , 0.253145, 0.440414, 0.205340
64 , 576 , -0.197238 , 0.232869, 0.088350, 0.187376
80 , 720 , -0.186295 , 0.186295, 0.081965, 0.149224
96 , 864 , -0.253145 , 0.057348, 0.124711, 0.066228
112 , 1008 , -0.251739 , 0.216981, 0.123720, 0.173873
128 , 1152 , -0.116435 , 0.220272, 0.046844, 0.176628
144 , 1296 , -0.157565 , 0.168763, 0.066340, 0.135986
160 , 1440 , -0.176217 , 0.186295, 0.076296, 0.149224
176 , 1584 , -0.182316 , 0.191478, 0.079702, 0.153255
192 , 1728 , -0.181460 , 0.063286, 0.079220, 0.069320
208 , 1872 , -0.154268 , 0.052936, 0.064652, 0.063977
224 , 2016 , -0.118671 , 0.066534, 0.047817, 0.071040
240 , 2160 , -0.161389 , 0.050629, 0.068324, 0.062815
256 , 2304 , -0.119044 , 0.094929, 0.047980, 0.086983
272 , 2448 , -0.150785 , 0.085153, 0.062893, 0.081312
288 , 2592 , -0.094619 , 0.062947, 0.037876, 0.069141
304 , 2736 , -0.071529 , 0.052132, 0.029422, 0.063571
320 , 2880 , -0.043622 , 0.061691, 0.020627, 0.068482
336 , 3024 , -0.064717 , 0.058753, 0.027132, 0.066953
352 , 3168 , -0.019435 , 0.131601, 0.014265, 0.109959
368 , 3312 , -0.014208 , 0.161996, 0.013044, 0.131041
384 , 3456 , -0.038091 , 0.155246, 0.019069, 0.126200
400 , 3600 , -0.011891 , 0.189146, 0.012520, 0.151435
416 , 3744 , -0.000941 , 0.133946, 0.010189, 0.111520
432 , 3888 , -0.009917 , 0.125253, 0.012082, 0.105789
448 , 4032 , -0.042830 , 0.115689, 0.020400, 0.099660
464 , 4176 , -0.024573 , 0.120090, 0.015519, 0.102457
480 , 4320 , -0.018019 , 0.138042, 0.013929, 0.114272
496 , 4464 , -0.034087 , 0.158087, 0.017979, 0.128226
512 , 4608 , -0.041548 , 0.158523, 0.020036, 0.128539
528 , 4752 , -0.039394 , 0.158933, 0.019431, 0.128833
544 , 4896 , -0.026020 , 0.149198, 0.015881, 0.121939
560 , 5040 , 0.006253 , 0.120358, 0.008789, 0.102629
576 , 5184 , -0.007438 , 0.126572, 0.011543, 0.106650
592 , 5328 , -0.023112 , 0.132451, 0.015157, 0.110524
608 , 5472 , -0.005171 , 0.124438, 0.011061, 0.105260
624 , 5616 , -0.007622 , 0.121247, 0.011583, 0.103200
640 , 5760 , -0.007432 , 0.130381, 0.011542, 0.109152
656 , 5904 , -0.013185 , 0.133136, 0.012811, 0.110979
672 , 6048 , -0.007078 , 0.118380, 0.011466, 0.101366
688 , 6192 , -0.008571 , 0.119628, 0.011788, 0.102162
704 , 6336 , -0.006756 , 0.107469, 0.011397, 0.094537
720 , 6480 , -0.005023 , 0.111144, 0.011030, 0.096810
736 , 6624 , 0.004116 , 0.107178, 0.009194, 0.094359
752 , 6768 , -0.001148 , 0.120428, 0.010231, 0.102674
768 , 6912 , -0.001124 , 0.117919, 0.010226, 0.101073
784 , 7056 , 0.002410 , 0.104980, 0.009524, 0.093013
800 , 7200 , -0.001079 , 0.099439, 0.010217, 0.089664
816 , 7344 , -0.005829 , 0.109007, 0.011200, 0.095485
832 , 7488 , -0.010396 , 0.106910, 0.012187, 0.094194
848 , 7632 , 0.007375 , 0.096500, 0.008579, 0.087912
864 , 7776 , 0.007239 , 0.085701, 0.008605, 0.081625
880 , 7920 , 0.002683 , 0.081552, 0.009471, 0.079271
896 , 8064 , 0.000090 , 0.086240, 0.009982, 0.081933
912 , 8208 , 0.001857 , 0.084727, 0.009632, 0.081069
928 , 8352 , 0.010215 , 0.087461, 0.008061, 0.082634
944 , 8496 , 0.005918 , 0.077731, 0.008851, 0.077134
960 , 8640 , 0.010366 , 0.089093, 0.008034, 0.083575
976 , 8784 , 0.006208 , 0.095609, 0.008797, 0.087385
992 , 8928 , -0.000116 , 0.101916, 0.010023, 0.091153
1008 , 9072 , 0.008079 , 0.101429, 0.008449, 0.090860
1024 , 9216 , 0.005264 , 0.107909, 0.008975, 0.094808
1040 , 9360 , 0.002537 , 0.108896, 0.009499, 0.095416
1056 , 9504 , 0.011398 , 0.104192, 0.007850, 0.092533
1072 , 9648 , 0.002461 , 0.092365, 0.009514, 0.085478
1088 , 9792 , -0.000105 , 0.076261, 0.010021, 0.076320
1104 , 9936 , -0.001137 , 0.074123, 0.010229, 0.075143
1120 , 10080 , 0.001337 , 0.072046, 0.009734, 0.074009
1136 , 10224 , -0.013392 , 0.059747, 0.012858, 0.067469
1152 , 10368 , -0.018975 , 0.076803, 0.014155, 0.076620
1168 , 10512 , -0.021072 , 0.078108, 0.014658, 0.077344
1184 , 10656 , -0.010924 , 0.080340, 0.012304, 0.078591
1200 , 10800 , -0.012122 , 0.093589, 0.012571, 0.086195
1216 , 10944 , -0.018365 , 0.096885, 0.014010, 0.088141
1232 , 11088 , -0.015892 , 0.090233, 0.013431, 0.084235
1248 , 11232 , -0.020100 , 0.084664, 0.014424, 0.081034
1264 , 11376 , -0.025103 , 0.081415, 0.015651, 0.079194
1280 , 11520 , -0.045035 , 0.064453, 0.021035, 0.069935
1296 , 11664 , -0.044479 , 0.070909, 0.020874, 0.073392
1312 , 11808 , -0.046034 , 0.070913, 0.021326, 0.073394
1328 , 11952 , -0.046338 , 0.082140, 0.021415, 0.079603
1344 , 12096 , -0.039994 , 0.085258, 0.019598, 0.081372
1360 , 12240 , -0.043571 , 0.088303, 0.020613, 0.083119
1376 , 12384 , -0.043065 , 0.096936, 0.020467, 0.088171
1392 , 12528 , -0.043728 , 0.096980, 0.020658, 0.088197
1408 , 12672 , -0.040466 , 0.098643, 0.019731, 0.089188
1424 , 12816 , -0.040012 , 0.100268, 0.019603, 0.090161
1440 , 12960 , -0.030009 , 0.106009, 0.016902, 0.093641
1456 , 13104 , -0.033460 , 0.105951, 0.017812, 0.093606
1472 , 13248 , -0.025163 , 0.102155, 0.015666, 0.091298
1488 , 13392 , -0.028275 , 0.100290, 0.016454, 0.090174
1504 , 13536 , -0.026144 , 0.103642, 0.015912, 0.092198
1520 , 13680 , -0.023307 , 0.095307, 0.015205, 0.087206
1536 , 13824 , -0.023065 , 0.097899, 0.015145, 0.088744
1552 , 13968 , -0.022092 , 0.105149, 0.014906, 0.093116
1568 , 14112 , -0.013390 , 0.110070, 0.012857, 0.096143
1584 , 14256 , -0.011815 , 0.108958, 0.012503, 0.095455
1600 , 14400 , -0.010689 , 0.103002, 0.012252, 0.091810
1616 , 14544 , -0.007882 , 0.109502, 0.011639, 0.095791
1632 , 14688 , -0.014552 , 0.105055, 0.013122, 0.093058
1648 , 14832 , -0.004962 , 0.104035, 0.011017, 0.092437
1664 , 14976 , -0.010562 , 0.107713, 0.012224, 0.094687
1680 , 15120 , -0.008144 , 0.099736, 0.011695, 0.089842
1696 , 15264 , -0.008067 , 0.103386, 0.011679, 0.092043
1712 , 15408 , -0.021521 , 0.104027, 0.014767, 0.092433
1728 , 15552 , -0.022915 , 0.101471, 0.015108, 0.090885
1744 , 15696 , -0.027823 , 0.093573, 0.016339, 0.086185
1760 , 15840 , -0.029782 , 0.092722, 0.016843, 0.085686
1776 , 15984 , -0.030155 , 0.088145, 0.016940, 0.083028
1792 , 16128 , -0.019660 , 0.088894, 0.014319, 0.083460
1808 , 16272 , -0.015811 , 0.095720, 0.013412, 0.087450
1824 , 16416 , -0.011145 , 0.094621, 0.012353, 0.086802
1840 , 16560 , -0.008056 , 0.101898, 0.011676, 0.091143
1856 , 16704 , -0.005020 , 0.096825, 0.011029, 0.088105
1872 , 16848 , 0.004811 , 0.105786, 0.009061, 0.093505
1888 , 16992 , 0.006833 , 0.106951, 0.008680, 0.094219
1904 , 17136 , 0.004731 , 0.101117, 0.009076, 0.090671
1920 , 17280 , 0.009586 , 0.103141, 0.008175, 0.091895
1936 , 17424 , 0.007496 , 0.109154, 0.008557, 0.095576
1952 , 17568 , 0.004614 , 0.111080, 0.009098, 0.096771
1968 , 17712 , -0.002756 , 0.111576, 0.010559, 0.097079
1984 , 17856 , -0.000772 , 0.110676, 0.010155, 0.096519
2000 , 18000 , 0.001181 , 0.107038, 0.009765, 0.094272
2016 , 18144 , 0.000372 , 0.105057, 0.009926, 0.093060
