Alg,Circuit,DType,R_label,qubits,depth,time,init,final,samples,nodes,threads,paths,nzero_paths,estR,estI,varR,varI
BD_MIS_V,510,SP,1,10,13,731151,0,0,67108864,1,64,872415232,7670879,2.68136989e-02,4.85955290e-02,2.22463968e-05,2.25773165e-05
BD_MIS_V,510,SP,2,10,13,697955,0,0,67108864,1,64,872415232,7659308,1.62219144e-02,5.15140444e-02,3.45176923e-05,3.36005019e-06
BD_MIS_V,510,SP,3,10,13,694580,0,0,67108864,1,64,872415232,7670034,1.32931182e-02,6.40914664e-02,7.75099252e-05,1.15441660e-04
BD_MIS_V,510,SP,4,10,13,708844,0,0,67108864,1,64,872415232,7669169,1.48837063e-02,5.02627268e-02,5.20329086e-05,9.51328639e-06
BD_MIS_V,510,SP,5,10,13,694541,0,0,67108864,1,64,872415232,7665253,2.35648192e-02,3.96795645e-02,2.15422847e-06,1.86801204e-04
BD_MIS_V,510,SP,1,10,13,885390,0,0,134217728,1,128,1744830464,15334370,1.97087601e-02,5.07543944e-02,5.70412112e-06,6.72206215e-06
BD_MIS_V,510,SP,2,10,13,930346,0,0,134217728,1,128,1744830464,15342086,2.28126310e-02,5.46497442e-02,5.11998508e-07,1.69691214e-06
BD_MIS_V,510,SP,3,10,13,875304,0,0,134217728,1,128,1744830464,15331356,1.35268997e-02,4.49875034e-02,7.34481655e-05,6.98826625e-05
BD_MIS_V,510,SP,4,10,13,847459,0,0,134217728,1,128,1744830464,15332302,2.13938840e-02,4.81469706e-02,4.94499091e-07,2.70412256e-05
BD_MIS_V,510,SP,5,10,13,979917,0,0,134217728,1,128,1744830464,15338424,2.07213983e-02,5.70193157e-02,1.89252842e-06,1.34852535e-05
BD_MIS_V,510,SP,1,10,13,1668352,0,0,134217728,1,128,1744830464,15333987,1.93926133e-02,5.15106656e-02,7.31419550e-06,3.37244887e-06
BD_MIS_V,510,SP,2,10,13,1764882,0,0,134217728,1,128,1744830464,15334334,2.64772195e-02,5.44332601e-02,1.91855324e-05,1.17976901e-06
BD_MIS_V,510,SP,3,10,13,2263830,0,0,134217728,1,128,1744830464,15337293,1.87730491e-02,5.35917245e-02,1.10492492e-05,5.98468191e-08
BD_MIS_V,510,SP,4,10,13,1658570,0,0,134217728,1,128,1744830464,15336319,2.33255420e-02,4.97537889e-02,1.50909364e-06,1.29118016e-05
BD_MIS_V,510,SP,5,10,13,1573082,0,0,134217728,1,128,1744830464,15327781,1.24420589e-02,6.62922710e-02,9.32196344e-05,1.67577760e-04
