trueR,trueI
2.209709e-02,5.334709e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,41220,212992,1790,3.862613e-01,-6.097212e-01,1.326156e-01,4.396596e-01
32768,41260,425984,3711,8.495077e-01,6.687044e-01,6.846083e-01,3.786646e-01
49152,41273,638976,5577,6.625227e-01,5.715708e-01,4.101450e-01,2.685558e-01
65536,41275,851968,7517,8.221115e-01,6.524119e-01,6.400231e-01,3.588786e-01
81920,41277,1064960,9349,7.262613e-01,4.103240e-01,4.958472e-01,1.274325e-01
98304,41288,1277952,11164,5.137362e-01,4.044627e-01,2.417091e-01,1.232822e-01
114688,41315,1490944,13011,3.904050e-01,4.460924e-01,1.356507e-01,1.542489e-01
131072,41319,1703936,14877,4.030371e-01,3.825064e-01,1.451153e-01,1.083459e-01
147456,41325,1916928,16737,3.313875e-01,5.265045e-01,9.566054e-02,2.238779e-01
163840,41369,2129920,18602,3.955713e-01,5.104542e-01,1.394830e-01,2.089469e-01
180224,41368,2342912,20436,2.444718e-01,5.200434e-01,4.945051e-02,2.178055e-01
196608,41374,2555904,22236,1.710108e-01,4.526555e-01,2.217530e-02,1.594472e-01
212992,41375,2768896,24150,1.725778e-01,4.197318e-01,2.264445e-02,1.342378e-01
229376,41374,2981888,26005,1.207169e-01,3.678059e-01,9.725861e-03,9.888437e-02
245760,41378,3194880,27954,2.051088e-01,3.401114e-01,3.349329e-02,8.223378e-02
262144,41387,3407872,29736,2.070531e-01,4.036981e-01,3.420873e-02,1.227458e-01
278528,41391,3620864,31725,2.125378e-01,4.142362e-01,3.626766e-02,1.302410e-01
294912,41405,3833856,33613,2.113721e-01,4.139884e-01,3.582504e-02,1.300622e-01
311296,41410,4046848,35408,2.011170e-01,3.643169e-01,3.204814e-02,9.670220e-02
327680,41410,4259840,37301,2.209505e-01,4.129952e-01,3.954269e-02,1.293468e-01
344064,41410,4472832,39201,2.197900e-01,3.515154e-01,3.908249e-02,8.890437e-02
360448,41411,4685824,41143,2.261792e-01,3.288110e-01,4.164949e-02,7.588038e-02
376832,41411,4898816,43028,2.308182e-01,3.469821e-01,4.356452e-02,8.622152e-02
393216,41415,5111808,44925,2.287265e-01,3.688119e-01,4.269569e-02,9.951805e-02
409600,41418,5324800,46801,1.867350e-01,3.337550e-01,2.710564e-02,7.862858e-02
425984,41419,5537792,48705,1.345496e-01,2.895877e-01,1.264558e-02,5.580965e-02
442368,41420,5750784,50604,1.551962e-01,2.925021e-01,1.771536e-02,5.719513e-02
458752,41430,5963776,52542,1.596164e-01,3.202298e-01,1.891157e-02,7.122637e-02
475136,41431,6176768,54431,1.686235e-01,2.989825e-01,2.147000e-02,6.033676e-02
491520,41434,6389760,56224,1.506242e-01,2.864829e-01,1.651922e-02,5.435232e-02
507904,41452,6602752,58110,1.535190e-01,2.364122e-01,1.727173e-02,3.351283e-02
524288,41456,6815744,60006,1.412088e-01,2.234327e-01,1.418761e-02,2.892912e-02
540672,41464,7028736,61857,1.459650e-01,2.265320e-01,1.534325e-02,2.999300e-02
557056,41466,7241728,63695,1.579262e-01,2.281447e-01,1.844954e-02,3.055421e-02
573440,41468,7454720,65498,1.580021e-01,2.425283e-01,1.847018e-02,3.578954e-02
589824,41472,7667712,67322,1.733709e-01,2.521848e-01,2.288378e-02,3.953645e-02
606208,41475,7880704,69230,1.914400e-01,2.502526e-01,2.867703e-02,3.877177e-02
622592,41479,8093696,71198,1.709071e-01,2.312011e-01,2.214440e-02,3.163205e-02
638976,41485,8306688,73067,1.715235e-01,2.393274e-01,2.232826e-02,3.458867e-02
655360,41485,8519680,74877,1.643631e-01,2.380076e-01,2.023962e-02,3.409949e-02
671744,41487,8732672,76702,1.673300e-01,2.257943e-01,2.109258e-02,2.973803e-02
688128,41490,8945664,78586,1.775468e-01,2.036511e-01,2.416461e-02,2.259130e-02
704512,41495,9158656,80404,1.607957e-01,2.050974e-01,1.923731e-02,2.302816e-02
