trueR , trueI
0.009153 , -0.022097
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI
89478485 , 15876942699 , 1342177275 , 8848371 , -0.259882 , -0.436273 , 0.072380 , 0.171542
178956970 , 15877998769 , 2684354550 , 17699565 , -0.418700 , 0.051004 , 0.183058 , 0.005344
268435455 , 15886792944 , 4026531825 , 26548895 , -0.250530 , 0.285695 , 0.067435 , 0.094736
357913940 , 15889494126 , 5368709100 , 35396990 , -0.312589 , 0.308811 , 0.103518 , 0.109500
447392425 , 15897882233 , 6710886375 , 44244630 , -0.387744 , 0.263946 , 0.157527 , 0.081820
536870910 , 15898660113 , 8053063650 , 53094061 , -0.338634 , 0.278977 , 0.120956 , 0.090645
626349395 , 15915024719 , 9395240925 , 61941621 , -0.252280 , 0.255096 , 0.068347 , 0.076836
715827880 , 15920930586 , 10737418200 , 70794050 , -0.222148 , 0.154889 , 0.053500 , 0.031324
805306365 , 15933911560 , 12079595475 , 79643432 , -0.196606 , 0.100967 , 0.042337 , 0.015145
894784850 , 15934056709 , 13421772750 , 88491741 , -0.227604 , 0.037835 , 0.056054 , 0.003592
984263335 , 15934380263 , 14763950025 , 97336516 , -0.232422 , -0.015023 , 0.058358 , 0.000050
1073741820 , 15935858207 , 16106127300 , 106186841 , -0.213876 , 0.005184 , 0.049742 , 0.000744
1163220305 , 15935987473 , 17448304575 , 115037369 , -0.201605 , -0.011526 , 0.044419 , 0.000112
1252698790 , 15936086937 , 18790481850 , 123888434 , -0.203211 , 0.009731 , 0.045098 , 0.001013
1342177275 , 15938413002 , 20132659125 , 132730275 , -0.167765 , -0.023813 , 0.031300 , 0.000003
1431655760 , 15938484326 , 21474836400 , 141575451 , -0.149316 , -0.026814 , 0.025112 , 0.000022
1521134245 , 15939462716 , 22817013675 , 150420525 , -0.161597 , -0.047267 , 0.029156 , 0.000634
1610612730 , 15940380371 , 24159190950 , 159268480 , -0.142618 , -0.049637 , 0.023034 , 0.000758
1700091215 , 15941868676 , 25501368225 , 168120075 , -0.149314 , -0.025174 , 0.025112 , 0.000009
1789569700 , 15953363032 , 26843545500 , 176969598 , -0.135199 , -0.030999 , 0.020837 , 0.000079
1879048185 , 15963640431 , 28185722775 , 185820010 , -0.115665 , -0.044217 , 0.015580 , 0.000489
1968526670 , 15963854058 , 29527900050 , 194672344 , -0.101373 , -0.043557 , 0.012216 , 0.000461
2058005155 , 15964554261 , 30870077325 , 203521554 , -0.106943 , -0.050268 , 0.013478 , 0.000794
2147483640 , 15965275018 , 32212254600 , 212364735 , -0.106612 , -0.043490 , 0.013401 , 0.000458
2236962125 , 15966500997 , 33554431875 , 221215443 , -0.090494 , -0.052561 , 0.009929 , 0.000928
2326440610 , 15969332419 , 34896609150 , 230063263 , -0.088900 , -0.073401 , 0.009614 , 0.002632
2415919095 , 15982016849 , 36238786425 , 238911271 , -0.104712 , -0.062393 , 0.012965 , 0.001624
2505397580 , 15983246871 , 37580963700 , 247759763 , -0.082707 , -0.077791 , 0.008438 , 0.003102
2594876065 , 15989049285 , 38923140975 , 256607635 , -0.069105 , -0.061776 , 0.006124 , 0.001574
2684354550 , 15997476426 , 40265318250 , 265452068 , -0.060208 , -0.067747 , 0.004811 , 0.002084
2773833035 , 15998766318 , 41607495525 , 274296511 , -0.066386 , -0.068622 , 0.005706 , 0.002165
2863311520 , 16003332571 , 42949672800 , 283135876 , -0.039641 , -0.049509 , 0.002381 , 0.000751
2952790005 , 16004267373 , 44291850075 , 291983621 , -0.036635 , -0.045976 , 0.002097 , 0.000570
3042268490 , 16009037973 , 45634027350 , 300827846 , -0.050489 , -0.053853 , 0.003557 , 0.001008
3131746975 , 16018192922 , 46976204625 , 309674375 , -0.056852 , -0.040027 , 0.004357 , 0.000321
3221225460 , 16018603517 , 48318381900 , 318520220 , -0.055606 , -0.042736 , 0.004194 , 0.000426
3310703945 , 16046855492 , 49660559175 , 327365437 , -0.044994 , -0.033005 , 0.002932 , 0.000119
3400182430 , 16053756646 , 51002736450 , 336216035 , -0.047549 , -0.031158 , 0.003215 , 0.000082
3489660915 , 16056978728 , 52344913725 , 345070072 , -0.032571 , -0.025254 , 0.001741 , 0.000010
3579139400 , 16058004963 , 53687091000 , 353914796 , -0.016707 , -0.031450 , 0.000669 , 0.000087
3668617885 , 16069865805 , 55029268275 , 362764702 , -0.027996 , -0.026244 , 0.001380 , 0.000017
3758096370 , 16077857664 , 56371445550 , 371607081 , -0.017023 , -0.020174 , 0.000685 , 0.000004
3847574855 , 16083798049 , 57713622825 , 380456292 , -0.031732 , -0.030654 , 0.001672 , 0.000073
3937053340 , 16091506977 , 59055800100 , 389303740 , -0.031400 , -0.005447 , 0.001645 , 0.000277
4026531825 , 16109176402 , 60397977375 , 398157316 , -0.023274 , -0.016768 , 0.001051 , 0.000028
4116010310 , 16114546744 , 61740154650 , 407008540 , -0.024818 , -0.020587 , 0.001154 , 0.000002
4205488795 , 16128749604 , 63082331925 , 415864701 , -0.039497 , -0.020999 , 0.002367 , 0.000001
4294967280 , 16171772665 , 64424509200 , 424712217 , -0.024137 , -0.021835 , 0.001108 , 0.000000
4384445765 , 31783313460 , 65766686475 , 433560044 , -0.008490 , -0.021210 , 0.000311 , 0.000001
4473924250 , 31788577049 , 67108863750 , 442409126 , -0.011994 , -0.019065 , 0.000447 , 0.000009
4563402735 , 31794506431 , 68451041025 , 451254834 , -0.016962 , -0.022905 , 0.000682 , 0.000001
4652881220 , 31816084500 , 69793218300 , 460101135 , -0.004670 , -0.028081 , 0.000191 , 0.000036
4742359705 , 31817126597 , 71135395575 , 468944823 , 0.000240 , -0.030829 , 0.000079 , 0.000076
4831838190 , 31862827357 , 72477572850 , 477800659 , 0.009791 , -0.031169 , 0.000000 , 0.000082
4921316675 , 31866370234 , 73819750125 , 486653107 , 0.007339 , -0.026624 , 0.000003 , 0.000020
5010795160 , 31867917459 , 75161927400 , 495506194 , 0.008534 , -0.028297 , 0.000000 , 0.000038
5100273645 , 31869796999 , 76504104675 , 504353932 , 0.016061 , -0.040271 , 0.000048 , 0.000330
5189752130 , 31874382508 , 77846281950 , 513195650 , 0.019203 , -0.034702 , 0.000101 , 0.000159
5279230615 , 31875032661 , 79188459225 , 522043425 , 0.024809 , -0.041196 , 0.000245 , 0.000365
5368709100 , 31879820942 , 80530636500 , 530899953 , 0.025473 , -0.045671 , 0.000266 , 0.000556
5458187585 , 31881448406 , 81872813775 , 539745055 , 0.027775 , -0.036274 , 0.000347 , 0.000201
5547666070 , 31881597992 , 83214991050 , 548589133 , 0.036115 , -0.027109 , 0.000727 , 0.000025
5637144555 , 31882089674 , 84557168325 , 557433807 , 0.044505 , -0.020504 , 0.001250 , 0.000003
5726623040 , 31883184231 , 85899345600 , 566282413 , 0.031033 , -0.022328 , 0.000479 , 0.000000
5816101525 , 31886970464 , 87241522875 , 575130112 , 0.039037 , -0.024248 , 0.000893 , 0.000005
5905580010 , 31890765407 , 88583700150 , 583981678 , 0.035172 , -0.028135 , 0.000677 , 0.000036
5995058495 , 31898580920 , 89925877425 , 592826205 , 0.029757 , -0.029799 , 0.000425 , 0.000059
6084536980 , 31911318812 , 91268054700 , 601673416 , 0.022590 , -0.026426 , 0.000181 , 0.000019
6174015465 , 31916590942 , 92610231975 , 610523750 , 0.024687 , -0.024543 , 0.000241 , 0.000006
6263493950 , 31929582704 , 93952409250 , 619370600 , 0.035215 , -0.026657 , 0.000679 , 0.000021
6352972435 , 31936707799 , 95294586525 , 628214702 , 0.038263 , -0.030177 , 0.000847 , 0.000065
6442450920 , 31940062250 , 96636763800 , 637063442 , 0.040077 , -0.023947 , 0.000956 , 0.000003
6531929405 , 31960715092 , 97978941075 , 645908629 , 0.032225 , -0.025029 , 0.000532 , 0.000009
