trueR , trueI
0.009153 , -0.022097
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
178956970 , 464055254 , 178956970 , 87048 ,-0.840948,-0.186049,0.722671710201,0.026880258303999996,0.7495519685049999,0.8657666940377182
357913940 , 465056230 , 357913940 , 174356 ,-0.952528,-0.48278,0.924830345761,0.21222882648900002,1.13705917225,1.0663297671217848
536870910 , 466373910 , 536870910 , 261964 ,-0.869445,-0.654125,0.7719344456039999,0.3994593927839999,1.1713938383879998,1.0823094928845445
715827880 , 467664813 , 715827880 , 348971 ,-0.551733,-0.905344,0.314593104996,0.780125263009,1.094718368005,1.046287899196488
894784850 , 467842933 , 894784850 , 436856 ,-0.382249,-0.432178,0.15319552560400002,0.16816642656100003,0.3213619521650001,0.5668879538012781
1073741820 , 467863747 , 1073741820 , 523747 ,-0.119202,-0.602476,0.016475006025,0.336839783641,0.353314789666,0.5944028849744927
1252698790 , 468318693 , 1252698790 , 611039 ,-0.067565,-0.668722,0.005885651523999999,0.418123890625,0.424009542149,0.6511601509221829
1431655760 , 468549074 , 1431655760 , 698236 ,-0.042442,-0.716776,0.002662044025,0.4825789130409999,0.4852409570659999,0.6965923894689059
1610612730 , 468564010 , 1610612730 , 785099 ,-0.003443,-0.716338,0.000158659216,0.481970566081,0.482129225297,0.6943552587091135
1789569700 , 468805717 , 1789569700 , 872671 ,-0.066001,-0.586708,0.005648123715999999,0.318785581321,0.324433705037,0.569590822465566
1968526670 , 468953822 , 1968526670 , 960046 ,0.068078,-0.406971,0.003472155625,0.14812799587600003,0.15160015150100004,0.38935864123067826
2147483640 , 469165920 , 2147483640 , 1047644 ,0.020382,-0.446652,0.00012609044100000003,0.18024694802500002,0.18037303846600003,0.4247034712196264
2326440610 , 469469887 , 2326440610 , 1135053 ,-0.018947,-0.386248,0.00078961,0.132605950801,0.13339556080099998,0.3652335701999475
2505397580 , 469834171 , 2505397580 , 1222170 ,-0.002942,-0.24446,0.000146289025,0.049445303769000006,0.04959159279400001,0.22269169897865526
2684354550 , 469914616 , 2684354550 , 1309789 ,-0.017649,-0.241573,0.000718347204,0.048169714576,0.04888806178,0.22110644897876677
2863311520 , 470200697 , 2863311520 , 1397231 ,0.012409,-0.275893,1.0601536000000002e-05,0.064412409616,0.064423011152,0.25381688508056355
3042268490 , 470349177 , 3042268490 , 1484862 ,0.011372,-0.240338,4.923961000000002e-06,0.047629134080999995,0.047634058041999994,0.21825228072576927
3221225460 , 470371649 , 3221225460 , 1572167 ,0.064319,-0.324582,0.003043287556,0.091497175225,0.094540462781,0.3074743286536292
3400182430 , 470577832 , 3400182430 , 1659676 ,0.113699,-0.339634,0.010929866116,0.10082974636900001,0.111759612485,0.33430467015134563
3579139400 , 470649991 , 3579139400 , 1747272 ,0.036064,-0.408527,0.0007242019209999998,0.1493281449,0.150052346821,0.3873659081811408
3758096370 , 470681884 , 3758096370 , 1834973 ,0.023054,-0.380557,0.00019323780100000005,0.1284935716,0.128686809401,0.3587294376002616
3937053340 , 470709994 , 3937053340 , 1922397 ,0.107271,-0.331191,0.009627141924000002,0.09553910083600002,0.10516624276000003,0.324293451614429
4116010310 , 470715573 , 4116010310 , 2009829 ,0.084846,-0.247178,0.005729430249000002,0.050661456561000004,0.056390886810000006,0.23746765423947744
4294967280 , 470733035 , 4294967280 , 2097030 ,0.105178,-0.25842,0.009220800625,0.05584856032899999,0.065069360954,0.2550869674326777
4473924250 , 470826238 , 4473924250 , 2184615 ,0.119465,-0.211194,0.012168737344000001,0.035757675408999996,0.047926412753,0.21892101944080197
4652881220 , 470878767 , 4652881220 , 2271977 ,0.123516,-0.253914,0.013078895769000001,0.05373912148899999,0.06681801725799999,0.25849181274848915
4831838190 , 471016406 , 4831838190 , 2358932 ,0.139078,-0.231681,0.016880505625000004,0.043925453056,0.060805958681,0.24658864264397903
5010795160 , 471072787 , 5010795160 , 2446443 ,0.112517,-0.234133,0.010684116496000002,0.044959265296,0.055643381792,0.23588849440360588
5189752130 , 471231114 , 5189752130 , 2533506 ,0.134808,-0.219408,0.015789179025000002,0.038931630721,0.054720809746,0.2339247950645677
5368709100 , 471424937 , 5368709100 , 2620575 ,0.073611,-0.20596,0.0041548337640000006,0.033805602769,0.037960436533,0.19483438231739283
5547666070 , 471513448 , 5547666070 , 2708654 ,0.095931,-0.178536,0.007530421284000001,0.024473160721,0.032003582005,0.17889544992816336
5726623040 , 471784516 , 5726623040 , 2796132 ,0.12847,-0.188568,0.014236546489000001,0.027712593841000003,0.04194914033,0.2048148928422931
5905580010 , 471889078 , 5905580010 , 2883400 ,0.169081,-0.260222,0.025576965184000006,0.056703515625,0.08228048080900001,0.2868457439269407
6084536980 , 471892689 , 6084536980 , 2970683 ,0.139052,-0.197163,0.016873750201000005,0.030648104356,0.047521854557000004,0.2179950792036371
6263493950 , 471927362 , 6263493950 , 3058506 ,0.142907,-0.205917,0.017890132516000003,0.03378979239999999,0.05167992491599999,0.22733219067259258
6442450920 , 471974047 , 6442450920 , 3146167 ,0.150304,-0.205052,0.019923604801,0.033472532025,0.053396136826,0.23107604122020092
6621407890 , 472092464 , 6621407890 , 3233523 ,0.158853,-0.230083,0.02241009,0.043258176196,0.065668266196,0.25625820220238804
6800364860 , 472123654 , 6800364860 , 3321064 ,0.116144,-0.227209,0.011447074081,0.042070932543999996,0.053518006624999996,0.23133959156400358
6979321830 , 472160850 , 6979321830 , 3408363 ,0.158211,-0.198998,0.022218287364,0.031293963801,0.053512251165000004,0.23132715181102284
7158278800 , 472214547 , 7158278800 , 3495940 ,0.186974,-0.185685,0.031620308041,0.026761033743999994,0.058381341785,0.24162231226647923
7337235770 , 472233889 , 7337235770 , 3583014 ,0.19992,-0.156621,0.036392048288999994,0.018096706576000002,0.054488754864999996,0.2334282649230808
7516192740 , 472573982 , 7516192740 , 3670550 ,0.158943,-0.120606,0.0224370441,0.009704023081000003,0.032141067181,0.17927929936554304
