trueR , trueI
0.250000 , -0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 4096 , 0.283437 , 0.200378, 0.001118, 0.040151
2048 , 8192 , 0.273387 , 0.125669, 0.000547, 0.015793
3072 , 12288 , 0.170553 , 0.139146, 0.006312, 0.019362
4096 , 16384 , 0.185166 , 0.070495, 0.004203, 0.004970
5120 , 20480 , 0.220472 , 0.077350, 0.000872, 0.005983
6144 , 24576 , 0.222884 , 0.055996, 0.000735, 0.003136
7168 , 28672 , 0.228941 , 0.044296, 0.000443, 0.001962
8192 , 32768 , 0.228714 , 0.036828, 0.000453, 0.001356
9216 , 36864 , 0.233160 , 0.002911, 0.000284, 0.000008
10240 , 40960 , 0.230391 , 0.002603, 0.000385, 0.000007
11264 , 45056 , 0.230929 , 0.011302, 0.000364, 0.000128
12288 , 49152 , 0.234638 , 0.006893, 0.000236, 0.000048
13312 , 53248 , 0.233230 , 0.017761, 0.000281, 0.000315
14336 , 57344 , 0.243764 , -0.001091, 0.000039, 0.000001
15360 , 61440 , 0.239708 , 0.006044, 0.000106, 0.000037
16384 , 65536 , 0.239602 , 0.005103, 0.000108, 0.000026
17408 , 69632 , 0.250033 , 0.006321, 0.000000, 0.000040
18432 , 73728 , 0.248623 , 0.012645, 0.000002, 0.000160
19456 , 77824 , 0.251961 , 0.020879, 0.000004, 0.000436
20480 , 81920 , 0.252887 , 0.016091, 0.000008, 0.000259
21504 , 86016 , 0.248733 , 0.010840, 0.000002, 0.000118
22528 , 90112 , 0.247906 , 0.013871, 0.000004, 0.000192
23552 , 94208 , 0.254496 , 0.020045, 0.000020, 0.000402
24576 , 98304 , 0.252414 , 0.021213, 0.000006, 0.000450
25600 , 102400 , 0.249900 , 0.021779, 0.000000, 0.000474
26624 , 106496 , 0.248167 , 0.019311, 0.000003, 0.000373
27648 , 110592 , 0.247844 , 0.014158, 0.000005, 0.000200
28672 , 114688 , 0.250312 , 0.012153, 0.000000, 0.000148
29696 , 118784 , 0.253566 , 0.015594, 0.000013, 0.000243
30720 , 122880 , 0.254832 , 0.019546, 0.000023, 0.000382
31744 , 126976 , 0.253088 , 0.013935, 0.000010, 0.000194
32768 , 131072 , 0.253270 , 0.015167, 0.000011, 0.000230
